,index,High,Low,Open,Close,Volume
0,2020-05-08,42800.0,41550.0,42800.0,41850.0,532105.0
1,2020-05-11,45800.0,42100.0,42100.0,44400.0,1183031.0
2,2020-05-12,49350.0,45000.0,45200.0,46800.0,1799274.0
3,2020-05-13,49300.0,46850.0,47000.0,49100.0,942391.0
4,2020-05-14,59300.0,48500.0,49250.0,56400.0,3041403.0
5,2020-05-15,60000.0,52900.0,55000.0,56800.0,1966677.0
6,2020-05-18,58000.0,51500.0,56400.0,52100.0,1423648.0
7,2020-05-19,50900.0,47250.0,50600.0,48800.0,1551801.0
8,2020-05-20,50600.0,48850.0,49800.0,49000.0,853406.0
9,2020-05-21,51000.0,47500.0,49550.0,50000.0,1120941.0
10,2020-05-22,49950.0,48300.0,49700.0,48900.0,588025.0
11,2020-05-25,55000.0,49400.0,49700.0,54000.0,2275950.0
12,2020-05-26,55500.0,52100.0,54800.0,55000.0,1420494.0
13,2020-05-27,54100.0,52700.0,53900.0,53200.0,598810.0
14,2020-05-28,54000.0,49500.0,54000.0,50500.0,992267.0
15,2020-05-29,53100.0,49900.0,50500.0,52700.0,774112.0
16,2020-06-01,52900.0,51500.0,52700.0,52700.0,434614.0
17,2020-06-02,54100.0,51500.0,52500.0,51800.0,491547.0
18,2020-06-03,52300.0,49800.0,52300.0,50200.0,733925.0
19,2020-06-04,51300.0,48900.0,50200.0,49150.0,657256.0
20,2020-06-05,49100.0,47300.0,49100.0,48100.0,716840.0
21,2020-06-08,49000.0,47500.0,48450.0,48100.0,471449.0
22,2020-06-09,48550.0,46600.0,48200.0,47100.0,514746.0
23,2020-06-10,50700.0,47850.0,47850.0,50000.0,1297998.0
24,2020-06-11,50800.0,48000.0,50800.0,48800.0,712511.0
25,2020-06-12,52800.0,45650.0,45750.0,50600.0,1735742.0
26,2020-06-15,51300.0,47500.0,50600.0,47750.0,706808.0
27,2020-06-16,50100.0,48850.0,49450.0,49700.0,446050.0
28,2020-06-17,51400.0,48750.0,49150.0,51400.0,716910.0
29,2020-06-18,52100.0,49950.0,52100.0,49950.0,522912.0
30,2020-06-19,50700.0,49650.0,50700.0,50600.0,318718.0
31,2020-06-22,52300.0,50000.0,50600.0,51600.0,547842.0
32,2020-06-23,52300.0,50100.0,52200.0,50700.0,468893.0
33,2020-06-24,51300.0,49550.0,51300.0,49650.0,618266.0
34,2020-06-25,50900.0,49450.0,49650.0,49650.0,332158.0
35,2020-06-26,50200.0,48800.0,50000.0,49300.0,237491.0
36,2020-06-29,50700.0,48100.0,48100.0,49300.0,393364.0
37,2020-06-30,49950.0,48650.0,49850.0,49350.0,212575.0
38,2020-07-01,49600.0,48700.0,49400.0,48700.0,180557.0
39,2020-07-02,49450.0,48550.0,49000.0,48950.0,184366.0
40,2020-07-03,51900.0,49000.0,49450.0,51500.0,1046830.0
41,2020-07-06,52000.0,50500.0,51900.0,51500.0,426882.0
42,2020-07-07,56400.0,51700.0,52200.0,55900.0,2215956.0
43,2020-07-08,56300.0,53500.0,56100.0,55000.0,903558.0
44,2020-07-09,59300.0,55200.0,55300.0,57500.0,1386761.0
45,2020-07-10,60200.0,57700.0,58300.0,59600.0,938325.0
46,2020-07-13,62100.0,59500.0,61200.0,60100.0,615817.0
47,2020-07-14,60500.0,57000.0,58500.0,60200.0,626968.0
48,2020-07-15,60800.0,58100.0,60200.0,58100.0,461860.0
49,2020-07-16,57200.0,53700.0,57100.0,54000.0,712267.0
50,2020-07-17,55600.0,53200.0,54200.0,54600.0,384365.0
51,2020-07-20,55800.0,52800.0,54800.0,55100.0,366645.0
52,2020-07-21,56600.0,55400.0,56600.0,56300.0,286236.0
53,2020-07-22,57500.0,53500.0,56200.0,57100.0,388144.0
54,2020-07-23,59400.0,57000.0,57300.0,59200.0,376407.0
55,2020-07-24,59800.0,56700.0,58200.0,57000.0,312024.0
56,2020-07-27,57900.0,55500.0,57400.0,56800.0,206946.0
57,2020-07-28,57600.0,56000.0,57600.0,56100.0,205431.0
58,2020-07-29,57900.0,56200.0,56800.0,57800.0,232396.0
59,2020-07-30,58900.0,57200.0,58300.0,57900.0,243100.0
60,2020-07-31,63100.0,58400.0,59300.0,62200.0,1312159.0
61,2020-08-03,65400.0,61500.0,63000.0,64700.0,734339.0
62,2020-08-04,66600.0,62600.0,65400.0,64200.0,427749.0
63,2020-08-05,67500.0,63600.0,64200.0,67200.0,467328.0
64,2020-08-06,68400.0,66500.0,67500.0,67600.0,343794.0
65,2020-08-07,67200.0,64500.0,65500.0,65800.0,620222.0
66,2020-08-10,65800.0,63800.0,65800.0,65500.0,291712.0
67,2020-08-11,70500.0,65200.0,65500.0,66200.0,592550.0
68,2020-08-12,65800.0,62900.0,65100.0,63400.0,406555.0
69,2020-08-13,64800.0,63400.0,64300.0,63800.0,158734.0
70,2020-08-14,64800.0,62700.0,62800.0,64100.0,168144.0
71,2020-08-18,65800.0,61700.0,65800.0,62700.0,364903.0
72,2020-08-19,70000.0,64600.0,64700.0,70000.0,1368113.0
73,2020-08-20,69600.0,65800.0,69600.0,68000.0,553721.0
74,2020-08-21,69800.0,66200.0,68800.0,67300.0,334183.0
75,2020-08-24,71500.0,67600.0,68800.0,68400.0,530667.0
76,2020-08-25,69200.0,67700.0,69200.0,68900.0,178020.0
77,2020-08-26,71300.0,68800.0,69600.0,68900.0,321356.0
78,2020-08-27,73000.0,69000.0,69400.0,72500.0,548284.0
79,2020-08-28,74400.0,70300.0,72800.0,73500.0,464828.0
80,2020-08-31,75000.0,71100.0,74200.0,71900.0,306476.0
81,2020-09-01,71900.0,69600.0,71900.0,69700.0,262018.0
82,2020-09-02,71600.0,69700.0,70500.0,70400.0,156943.0
83,2020-09-03,70500.0,69000.0,70300.0,69700.0,196496.0
84,2020-09-04,70800.0,67000.0,67000.0,69100.0,290192.0
85,2020-09-07,71000.0,68900.0,70800.0,69200.0,159881.0
86,2020-09-08,70600.0,68800.0,69200.0,69400.0,187029.0
87,2020-09-09,68400.0,67200.0,68300.0,67200.0,179685.0
88,2020-09-10,68400.0,67400.0,68200.0,68400.0,110453.0
89,2020-09-11,68500.0,66500.0,68500.0,67300.0,141147.0
90,2020-09-14,67200.0,65000.0,67200.0,65800.0,185216.0
91,2020-09-15,68100.0,65900.0,66000.0,67000.0,177840.0
92,2020-09-16,67600.0,65800.0,67000.0,65800.0,129654.0
93,2020-09-17,66700.0,65000.0,66200.0,65500.0,161323.0
94,2020-09-18,67200.0,65300.0,65400.0,67000.0,357421.0
95,2020-09-21,67700.0,64000.0,66400.0,64300.0,153827.0
96,2020-09-22,65000.0,60700.0,64300.0,62000.0,200883.0
97,2020-09-23,66400.0,62400.0,62900.0,66000.0,352051.0
98,2020-09-24,65400.0,61600.0,64400.0,63000.0,299986.0
99,2020-09-25,65000.0,61500.0,63700.0,64000.0,164858.0
100,2020-09-28,68200.0,65000.0,65900.0,68200.0,289077.0
101,2020-09-29,68600.0,67200.0,68300.0,68500.0,188186.0
102,2020-10-05,69000.0,67600.0,68500.0,68400.0,115284.0
103,2020-10-06,69900.0,68500.0,68600.0,68700.0,156734.0
104,2020-10-07,72400.0,69100.0,69200.0,71600.0,447456.0
105,2020-10-08,72100.0,70800.0,71300.0,71800.0,198327.0
106,2020-10-12,71900.0,69600.0,71100.0,71400.0,182093.0
107,2020-10-13,72900.0,71400.0,71900.0,71600.0,166886.0
108,2020-10-14,72000.0,69700.0,72000.0,70700.0,166467.0
109,2020-10-15,70400.0,68700.0,69900.0,69600.0,103752.0
110,2020-10-16,70300.0,67200.0,69900.0,68800.0,91901.0
111,2020-10-19,69600.0,65400.0,68500.0,65900.0,166122.0
112,2020-10-20,66400.0,63200.0,64800.0,66300.0,157665.0
113,2020-10-21,68900.0,65900.0,66400.0,68700.0,123641.0
114,2020-10-22,69700.0,66700.0,69600.0,66700.0,102351.0
115,2020-10-23,67100.0,64900.0,66900.0,64900.0,113937.0
