,index,High,Low,Open,Close,Volume
0,2020-04-22,1375.0,1300.0,1350.0,1340.0,604570.0
1,2020-04-23,1370.0,1300.0,1340.0,1340.0,410769.0
2,2020-04-24,1370.0,1270.0,1340.0,1325.0,691323.0
3,2020-04-27,1340.0,1245.0,1330.0,1260.0,496645.0
4,2020-04-28,1300.0,1215.0,1245.0,1280.0,421958.0
5,2020-04-29,1320.0,1250.0,1280.0,1250.0,312578.0
6,2020-05-04,1340.0,1195.0,1195.0,1305.0,521270.0
7,2020-05-06,1355.0,1290.0,1300.0,1340.0,566295.0
8,2020-05-07,1355.0,1290.0,1340.0,1290.0,497868.0
9,2020-05-08,1345.0,1285.0,1300.0,1325.0,316361.0
10,2020-05-11,1335.0,1290.0,1305.0,1290.0,302368.0
11,2020-05-12,1305.0,1265.0,1290.0,1290.0,127295.0
12,2020-05-13,1300.0,1265.0,1290.0,1285.0,191698.0
13,2020-05-14,1285.0,1235.0,1285.0,1260.0,311434.0
14,2020-05-15,1370.0,1175.0,1270.0,1225.0,1685786.0
15,2020-05-18,1495.0,1235.0,1240.0,1370.0,5300219.0
16,2020-05-19,1385.0,1300.0,1330.0,1360.0,1284695.0
17,2020-05-20,1395.0,1340.0,1365.0,1360.0,493758.0
18,2020-05-21,1385.0,1350.0,1360.0,1355.0,529709.0
19,2020-05-22,1465.0,1340.0,1340.0,1420.0,1968404.0
20,2020-05-25,1455.0,1400.0,1430.0,1415.0,758340.0
21,2020-05-26,1415.0,1365.0,1410.0,1390.0,494453.0
22,2020-05-27,1475.0,1365.0,1380.0,1450.0,1292847.0
23,2020-05-28,1555.0,1400.0,1480.0,1495.0,2435897.0
24,2020-05-29,1550.0,1455.0,1530.0,1455.0,1711665.0
25,2020-06-01,1530.0,1470.0,1470.0,1515.0,716220.0
26,2020-06-02,1650.0,1515.0,1540.0,1640.0,1736081.0
27,2020-06-03,1840.0,1650.0,1650.0,1805.0,4158766.0
28,2020-06-04,1920.0,1815.0,1815.0,1870.0,2697254.0
29,2020-06-05,1905.0,1740.0,1870.0,1895.0,1902177.0
30,2020-06-08,1995.0,1910.0,1925.0,1995.0,2134412.0
31,2020-06-09,2000.0,1915.0,2000.0,1935.0,1395212.0
32,2020-06-10,1995.0,1915.0,1960.0,1975.0,1018395.0
33,2020-06-11,2195.0,1975.0,1975.0,2145.0,5752837.0
