,index,High,Low,Open,Close,Volume
0,2020-04-22,3260.0,3100.0,3190.0,3235.0,4317.0
1,2020-04-23,3300.0,3195.0,3235.0,3270.0,8846.0
2,2020-04-24,3330.0,3220.0,3300.0,3300.0,4255.0
3,2020-04-27,3355.0,3255.0,3255.0,3320.0,5676.0
4,2020-04-28,3340.0,3260.0,3275.0,3285.0,5503.0
5,2020-04-29,3360.0,3295.0,3295.0,3320.0,3259.0
6,2020-05-04,3365.0,3300.0,3350.0,3315.0,5070.0
7,2020-05-06,3365.0,3315.0,3315.0,3340.0,2582.0
8,2020-05-07,3375.0,3310.0,3360.0,3365.0,2876.0
9,2020-05-08,3410.0,3350.0,3365.0,3380.0,6643.0
10,2020-05-11,3500.0,3355.0,3410.0,3410.0,7830.0
11,2020-05-12,3505.0,3380.0,3425.0,3500.0,9538.0
12,2020-05-13,4040.0,3465.0,3500.0,3640.0,500729.0
13,2020-05-14,3695.0,3535.0,3630.0,3550.0,30080.0
14,2020-05-15,3590.0,3440.0,3520.0,3445.0,23245.0
15,2020-05-18,3635.0,3390.0,3635.0,3400.0,25958.0
16,2020-05-19,3545.0,3425.0,3440.0,3490.0,26954.0
17,2020-05-20,3595.0,3480.0,3500.0,3535.0,16132.0
18,2020-05-21,3560.0,3485.0,3535.0,3550.0,16171.0
19,2020-05-22,3620.0,3500.0,3580.0,3540.0,27615.0
20,2020-05-25,3595.0,3470.0,3510.0,3545.0,30695.0
21,2020-05-26,3610.0,3490.0,3555.0,3530.0,17036.0
22,2020-05-27,3550.0,3395.0,3550.0,3400.0,28033.0
23,2020-05-28,3440.0,3370.0,3400.0,3390.0,35076.0
24,2020-05-29,3420.0,3360.0,3390.0,3375.0,7983.0
25,2020-06-01,3445.0,3335.0,3335.0,3435.0,10577.0
26,2020-06-02,3500.0,3435.0,3440.0,3470.0,13699.0
27,2020-06-03,3570.0,3470.0,3500.0,3515.0,23039.0
28,2020-06-04,3580.0,3485.0,3560.0,3540.0,12196.0
29,2020-06-05,3590.0,3510.0,3560.0,3550.0,9271.0
30,2020-06-08,3580.0,3505.0,3550.0,3515.0,16655.0
