,index,High,Low,Open,Close,Volume
0,2020-05-04,1335.0,1250.0,1315.0,1270.0,86440.0
1,2020-05-06,1320.0,1270.0,1315.0,1300.0,38654.0
2,2020-05-07,1390.0,1295.0,1370.0,1300.0,62166.0
3,2020-05-08,1320.0,1280.0,1300.0,1300.0,66853.0
4,2020-05-11,1340.0,1285.0,1300.0,1315.0,45420.0
5,2020-05-12,1320.0,1275.0,1315.0,1295.0,32083.0
6,2020-05-13,1365.0,1260.0,1285.0,1285.0,58491.0
7,2020-05-14,1315.0,1240.0,1290.0,1270.0,61752.0
8,2020-05-15,1315.0,1260.0,1315.0,1270.0,96727.0
9,2020-05-18,1390.0,1275.0,1330.0,1350.0,160435.0
10,2020-05-19,1400.0,1320.0,1400.0,1350.0,43735.0
11,2020-05-20,1410.0,1355.0,1375.0,1380.0,30130.0
12,2020-05-21,1400.0,1330.0,1400.0,1340.0,74887.0
13,2020-05-22,1375.0,1300.0,1340.0,1330.0,78139.0
14,2020-05-25,1365.0,1330.0,1330.0,1355.0,33682.0
15,2020-05-26,1395.0,1340.0,1395.0,1365.0,36909.0
16,2020-05-27,1380.0,1345.0,1365.0,1370.0,42349.0
17,2020-05-28,1410.0,1335.0,1370.0,1370.0,74852.0
18,2020-05-29,1450.0,1360.0,1370.0,1405.0,99501.0
19,2020-06-01,1420.0,1390.0,1405.0,1405.0,24823.0
20,2020-06-02,1465.0,1395.0,1465.0,1405.0,34465.0
21,2020-06-03,1420.0,1390.0,1405.0,1410.0,54009.0
22,2020-06-04,1435.0,1390.0,1410.0,1400.0,42803.0
23,2020-06-05,1430.0,1390.0,1390.0,1400.0,36897.0
24,2020-06-08,1445.0,1395.0,1400.0,1440.0,68142.0
25,2020-06-09,1480.0,1425.0,1450.0,1440.0,44934.0
26,2020-06-10,1475.0,1395.0,1475.0,1395.0,58968.0
27,2020-06-11,1450.0,1370.0,1395.0,1390.0,66342.0
28,2020-06-12,1385.0,1320.0,1385.0,1335.0,54205.0
29,2020-06-15,1380.0,1245.0,1380.0,1280.0,33659.0
30,2020-06-16,1340.0,1300.0,1300.0,1330.0,23299.0
31,2020-06-17,1345.0,1300.0,1345.0,1340.0,12211.0
32,2020-06-18,1385.0,1325.0,1325.0,1330.0,55293.0
33,2020-06-19,1360.0,1310.0,1345.0,1320.0,46357.0
34,2020-06-22,1365.0,1305.0,1320.0,1315.0,19368.0
35,2020-06-23,1340.0,1295.0,1310.0,1315.0,21003.0
36,2020-06-24,1320.0,1235.0,1305.0,1255.0,87931.0
37,2020-06-25,1350.0,1240.0,1270.0,1295.0,28188.0
38,2020-06-26,1310.0,1265.0,1280.0,1295.0,40095.0
39,2020-06-29,1315.0,1210.0,1275.0,1280.0,53625.0
40,2020-06-30,1280.0,1250.0,1265.0,1250.0,12361.0
41,2020-07-01,1310.0,1245.0,1250.0,1275.0,50253.0
42,2020-07-02,1280.0,1245.0,1280.0,1245.0,15429.0
43,2020-07-03,1310.0,1245.0,1250.0,1250.0,18436.0
44,2020-07-06,1300.0,1255.0,1300.0,1255.0,22161.0
45,2020-07-07,1330.0,1265.0,1295.0,1285.0,29537.0
46,2020-07-08,1320.0,1255.0,1320.0,1260.0,32881.0
47,2020-07-09,1350.0,1260.0,1280.0,1265.0,32106.0
48,2020-07-10,1300.0,1240.0,1265.0,1240.0,26989.0
49,2020-07-13,1320.0,1230.0,1320.0,1290.0,17500.0
50,2020-07-14,1300.0,1255.0,1295.0,1285.0,7290.0
51,2020-07-15,1295.0,1260.0,1280.0,1260.0,9950.0
52,2020-07-16,1300.0,1230.0,1300.0,1235.0,31574.0
53,2020-07-17,1280.0,1260.0,1265.0,1270.0,19677.0
54,2020-07-20,1270.0,1225.0,1270.0,1225.0,39438.0
55,2020-07-21,1250.0,1225.0,1245.0,1230.0,52750.0
56,2020-07-22,1250.0,1220.0,1230.0,1225.0,59416.0
57,2020-07-23,1235.0,1205.0,1230.0,1225.0,32027.0
58,2020-07-24,1260.0,1215.0,1220.0,1230.0,38445.0
59,2020-07-27,1260.0,1220.0,1230.0,1240.0,35340.0
60,2020-07-28,1265.0,1240.0,1240.0,1260.0,40453.0
61,2020-07-29,1270.0,1220.0,1270.0,1225.0,44322.0
62,2020-07-30,1240.0,1220.0,1235.0,1225.0,21504.0
63,2020-07-31,1230.0,1210.0,1225.0,1215.0,37056.0
64,2020-08-03,1255.0,1205.0,1215.0,1225.0,41347.0
65,2020-08-04,1250.0,1220.0,1230.0,1235.0,28273.0
66,2020-08-05,1260.0,1225.0,1235.0,1250.0,75571.0
67,2020-08-06,1270.0,1195.0,1250.0,1200.0,138174.0
68,2020-08-07,1220.0,1180.0,1200.0,1195.0,54163.0
69,2020-08-10,1200.0,1155.0,1195.0,1165.0,88493.0
70,2020-08-11,1190.0,1165.0,1165.0,1165.0,27282.0
71,2020-08-12,1175.0,1140.0,1175.0,1165.0,44850.0
72,2020-08-13,1185.0,1155.0,1175.0,1175.0,25101.0
