,index,High,Low,Open,Close,Volume
0,2020-04-22,1305.0,1245.0,1280.0,1280.0,1623775.0
1,2020-04-23,1355.0,1275.0,1295.0,1355.0,3259218.0
2,2020-04-24,1355.0,1255.0,1350.0,1285.0,1851027.0
3,2020-04-27,1355.0,1285.0,1325.0,1295.0,1325964.0
4,2020-04-28,1325.0,1230.0,1295.0,1305.0,1598857.0
5,2020-04-29,1355.0,1265.0,1305.0,1285.0,1686620.0
6,2020-05-04,1405.0,1240.0,1280.0,1390.0,6823504.0
7,2020-05-06,1445.0,1375.0,1400.0,1410.0,4328242.0
8,2020-05-07,1420.0,1375.0,1410.0,1405.0,1284045.0
9,2020-05-08,1440.0,1400.0,1420.0,1405.0,1115619.0
10,2020-05-11,1430.0,1365.0,1425.0,1370.0,930471.0
11,2020-05-12,1400.0,1330.0,1390.0,1385.0,618071.0
12,2020-05-13,1395.0,1345.0,1370.0,1375.0,437743.0
13,2020-05-14,1405.0,1350.0,1380.0,1360.0,603642.0
14,2020-05-15,1380.0,1335.0,1360.0,1360.0,531303.0
15,2020-05-18,1425.0,1350.0,1350.0,1385.0,1196536.0
16,2020-05-19,1425.0,1380.0,1415.0,1400.0,1262458.0
17,2020-05-20,1545.0,1405.0,1410.0,1470.0,9010141.0
18,2020-05-21,1490.0,1430.0,1460.0,1445.0,3193509.0
19,2020-05-22,1465.0,1380.0,1455.0,1385.0,1562446.0
20,2020-05-25,1450.0,1400.0,1415.0,1405.0,1760613.0
21,2020-05-26,1430.0,1390.0,1425.0,1405.0,628370.0
22,2020-05-27,1425.0,1370.0,1405.0,1425.0,827782.0
23,2020-05-28,1425.0,1325.0,1425.0,1355.0,1068618.0
24,2020-05-29,1400.0,1330.0,1360.0,1380.0,550581.0
25,2020-06-01,1400.0,1370.0,1390.0,1390.0,591679.0
26,2020-06-02,1485.0,1375.0,1390.0,1420.0,3086344.0
27,2020-06-03,1490.0,1400.0,1430.0,1480.0,2727267.0
28,2020-06-04,1500.0,1420.0,1480.0,1460.0,2239796.0
29,2020-06-05,1475.0,1430.0,1475.0,1455.0,569782.0
30,2020-06-08,1510.0,1430.0,1475.0,1500.0,1594575.0
31,2020-06-09,1480.0,1435.0,1475.0,1450.0,1421911.0
32,2020-06-10,1455.0,1395.0,1450.0,1395.0,989638.0
33,2020-06-11,1425.0,1370.0,1405.0,1405.0,884786.0
34,2020-06-12,1370.0,1300.0,1305.0,1345.0,608421.0
35,2020-06-15,1345.0,1200.0,1345.0,1210.0,1227390.0
36,2020-06-16,1290.0,1220.0,1255.0,1270.0,531688.0
37,2020-06-17,1280.0,1200.0,1265.0,1230.0,548862.0
38,2020-06-18,1260.0,1215.0,1230.0,1260.0,220528.0
39,2020-06-19,1280.0,1220.0,1265.0,1260.0,272856.0
40,2020-06-22,1320.0,1260.0,1270.0,1290.0,447392.0
41,2020-06-23,1320.0,1250.0,1320.0,1255.0,238436.0
42,2020-06-24,1280.0,1245.0,1280.0,1260.0,227921.0
43,2020-06-25,1255.0,1170.0,1245.0,1210.0,690779.0
44,2020-06-26,1280.0,1190.0,1230.0,1260.0,592723.0
45,2020-06-29,1275.0,1225.0,1225.0,1240.0,410237.0
46,2020-06-30,1265.0,1220.0,1265.0,1220.0,300747.0
47,2020-07-01,1250.0,1185.0,1225.0,1195.0,409634.0
48,2020-07-02,1220.0,1180.0,1195.0,1215.0,263762.0
49,2020-07-03,1215.0,1190.0,1210.0,1205.0,298099.0
50,2020-07-06,1220.0,1190.0,1220.0,1200.0,360048.0
51,2020-07-07,1290.0,1200.0,1230.0,1220.0,1339730.0
52,2020-07-08,1230.0,1205.0,1220.0,1230.0,285336.0
53,2020-07-09,1245.0,1210.0,1230.0,1215.0,169092.0
54,2020-07-10,1235.0,1200.0,1215.0,1220.0,214170.0
55,2020-07-13,1235.0,1200.0,1220.0,1215.0,258132.0
56,2020-07-14,1225.0,1200.0,1225.0,1215.0,201637.0
57,2020-07-15,1235.0,1200.0,1235.0,1215.0,262965.0
58,2020-07-16,1370.0,1220.0,1220.0,1240.0,3285746.0
59,2020-07-17,1285.0,1210.0,1235.0,1265.0,783461.0
60,2020-07-20,1390.0,1255.0,1280.0,1335.0,4603320.0
61,2020-07-21,1335.0,1285.0,1330.0,1300.0,863532.0
62,2020-07-22,1310.0,1245.0,1305.0,1245.0,518643.0
63,2020-07-23,1265.0,1220.0,1255.0,1240.0,299856.0
64,2020-07-24,1240.0,1220.0,1225.0,1240.0,307325.0
65,2020-07-27,1260.0,1220.0,1235.0,1225.0,259888.0
66,2020-07-28,1285.0,1230.0,1245.0,1260.0,388350.0
67,2020-07-29,1260.0,1230.0,1260.0,1235.0,186316.0
68,2020-07-30,1245.0,1220.0,1235.0,1235.0,336625.0
69,2020-07-31,1235.0,1210.0,1235.0,1215.0,280602.0
70,2020-08-03,1220.0,1195.0,1210.0,1195.0,260803.0
71,2020-08-04,1215.0,1180.0,1190.0,1195.0,312720.0
72,2020-08-05,1205.0,1170.0,1195.0,1170.0,594923.0
73,2020-08-06,1185.0,1140.0,1185.0,1155.0,476997.0
74,2020-08-07,1190.0,1135.0,1150.0,1160.0,270215.0
75,2020-08-10,1160.0,1145.0,1150.0,1145.0,227715.0
76,2020-08-11,1175.0,1145.0,1155.0,1165.0,233660.0
77,2020-08-12,1165.0,1060.0,1165.0,1125.0,588055.0
78,2020-08-13,1150.0,1115.0,1130.0,1140.0,257473.0
79,2020-08-14,1170.0,1125.0,1170.0,1135.0,319247.0
80,2020-08-18,1140.0,1020.0,1130.0,1060.0,646068.0
81,2020-08-19,1085.0,1030.0,1060.0,1045.0,212145.0
82,2020-08-20,1080.0,999.0,1015.0,1025.0,601263.0
83,2020-08-21,1055.0,992.0,1030.0,1040.0,281372.0
84,2020-08-24,1060.0,1005.0,1040.0,1055.0,136123.0
85,2020-08-25,1085.0,1030.0,1065.0,1075.0,249515.0
86,2020-08-26,1095.0,1030.0,1075.0,1070.0,295654.0
87,2020-08-27,1070.0,1020.0,1070.0,1045.0,224144.0
88,2020-08-28,1070.0,1025.0,1050.0,1065.0,194555.0
89,2020-08-31,1090.0,1020.0,1065.0,1045.0,319021.0
90,2020-09-01,1215.0,1030.0,1035.0,1060.0,2692807.0
91,2020-09-02,1095.0,1065.0,1065.0,1085.0,405906.0
92,2020-09-03,1135.0,1070.0,1085.0,1105.0,372121.0
93,2020-09-04,1090.0,1060.0,1060.0,1065.0,348339.0
94,2020-09-07,1125.0,1070.0,1075.0,1105.0,300876.0
95,2020-09-08,1125.0,1090.0,1100.0,1095.0,219797.0
96,2020-09-09,1150.0,1075.0,1090.0,1140.0,367879.0
97,2020-09-10,1160.0,1120.0,1140.0,1120.0,289863.0
98,2020-09-11,1130.0,1110.0,1115.0,1120.0,190101.0
99,2020-09-14,1150.0,1110.0,1130.0,1135.0,241985.0
100,2020-09-15,1170.0,1120.0,1135.0,1140.0,430035.0
101,2020-09-16,1155.0,1100.0,1140.0,1125.0,249634.0
102,2020-09-17,1165.0,1115.0,1120.0,1130.0,290140.0
103,2020-09-18,1155.0,1100.0,1155.0,1120.0,274096.0
104,2020-09-21,1135.0,1100.0,1115.0,1100.0,245801.0
105,2020-09-22,1110.0,1055.0,1090.0,1075.0,332814.0
106,2020-09-23,1100.0,1040.0,1100.0,1065.0,148190.0
107,2020-09-24,1060.0,1015.0,1055.0,1045.0,233617.0
108,2020-09-25,1065.0,1025.0,1050.0,1040.0,102638.0
109,2020-09-28,1080.0,1050.0,1050.0,1070.0,109426.0
110,2020-09-29,1110.0,1070.0,1075.0,1110.0,205001.0
111,2020-10-05,1120.0,1090.0,1100.0,1110.0,138346.0
112,2020-10-06,1135.0,1110.0,1120.0,1110.0,176518.0
113,2020-10-07,1135.0,1105.0,1125.0,1130.0,116778.0
114,2020-10-08,1140.0,1115.0,1130.0,1135.0,186427.0
115,2020-10-12,1145.0,1110.0,1135.0,1135.0,205047.0
116,2020-10-13,1135.0,1110.0,1135.0,1120.0,156739.0
117,2020-10-14,1120.0,1095.0,1110.0,1095.0,142079.0
118,2020-10-15,1100.0,1075.0,1090.0,1095.0,143431.0
119,2020-10-16,1130.0,1085.0,1090.0,1110.0,263023.0
120,2020-10-19,1120.0,1085.0,1120.0,1100.0,120022.0
121,2020-10-20,1115.0,1080.0,1100.0,1095.0,195266.0
122,2020-10-21,1105.0,1085.0,1095.0,1100.0,56890.0
123,2020-10-22,1110.0,1075.0,1090.0,1080.0,90980.0
124,2020-10-23,1090.0,1060.0,1090.0,1075.0,214236.0
125,2020-10-26,1075.0,1035.0,1075.0,1035.0,156922.0
126,2020-10-27,1040.0,1005.0,1035.0,1020.0,228387.0
127,2020-10-28,1060.0,1015.0,1020.0,1060.0,75170.0
128,2020-10-29,1060.0,1010.0,1050.0,1050.0,129805.0
129,2020-10-30,1055.0,1020.0,1050.0,1020.0,73062.0
130,2020-11-02,1040.0,1020.0,1020.0,1035.0,90726.0
131,2020-11-03,1055.0,1020.0,1055.0,1035.0,78795.0
132,2020-11-04,1120.0,1040.0,1040.0,1070.0,538038.0
133,2020-11-05,1105.0,1035.0,1085.0,1075.0,245607.0
134,2020-11-06,1070.0,1050.0,1065.0,1050.0,100233.0
135,2020-11-09,1085.0,1045.0,1060.0,1085.0,151249.0
136,2020-11-10,1090.0,1065.0,1085.0,1085.0,151863.0
137,2020-11-11,1155.0,1050.0,1080.0,1085.0,802408.0
