,index,High,Low,Open,Close,Volume
0,2020-05-08,9170.0,9080.0,9170.0,9150.0,11434.0
1,2020-05-11,9320.0,9150.0,9200.0,9190.0,20231.0
2,2020-05-12,9250.0,8990.0,9250.0,9050.0,13880.0
3,2020-05-13,9040.0,8860.0,9040.0,8930.0,16515.0
4,2020-05-14,8920.0,8740.0,8920.0,8780.0,9022.0
5,2020-05-15,8700.0,8340.0,8700.0,8390.0,60349.0
6,2020-05-18,8570.0,8370.0,8400.0,8470.0,16367.0
7,2020-05-19,9000.0,8510.0,8610.0,8760.0,17812.0
8,2020-05-20,8970.0,8760.0,8900.0,8970.0,19754.0
9,2020-05-21,9050.0,8900.0,9050.0,8940.0,18863.0
10,2020-05-22,8910.0,8770.0,8850.0,8800.0,12187.0
11,2020-05-25,8790.0,8640.0,8790.0,8780.0,8749.0
12,2020-05-26,8950.0,8730.0,8780.0,8950.0,16699.0
13,2020-05-27,8970.0,8820.0,8950.0,8820.0,15944.0
14,2020-05-28,8950.0,8650.0,8820.0,8790.0,20032.0
15,2020-05-29,8790.0,8640.0,8670.0,8740.0,8076.0
16,2020-06-01,8900.0,8680.0,8720.0,8800.0,18373.0
17,2020-06-02,8900.0,8750.0,8750.0,8810.0,13269.0
18,2020-06-03,8940.0,8800.0,8890.0,8880.0,25246.0
19,2020-06-04,9150.0,8910.0,8910.0,9100.0,40004.0
20,2020-06-05,9350.0,9050.0,9110.0,9160.0,26373.0
21,2020-06-08,9400.0,9070.0,9400.0,9210.0,32341.0
22,2020-06-09,9320.0,9100.0,9310.0,9160.0,16330.0
23,2020-06-10,9300.0,9010.0,9100.0,9130.0,16377.0
24,2020-06-11,9270.0,9000.0,9020.0,9080.0,39316.0
25,2020-06-12,8910.0,8610.0,8680.0,8800.0,22308.0
26,2020-06-15,8810.0,8470.0,8800.0,8480.0,20578.0
27,2020-06-16,8680.0,8500.0,8510.0,8640.0,12811.0
28,2020-06-17,8830.0,8630.0,8640.0,8730.0,21318.0
29,2020-06-18,8850.0,8710.0,8740.0,8800.0,11230.0
30,2020-06-19,8830.0,8570.0,8800.0,8680.0,12829.0
31,2020-06-22,8690.0,8500.0,8680.0,8570.0,12604.0
32,2020-06-23,8700.0,8470.0,8700.0,8570.0,15187.0
33,2020-06-24,8700.0,8550.0,8570.0,8690.0,10969.0
34,2020-06-25,8700.0,8590.0,8650.0,8620.0,19252.0
35,2020-06-26,8800.0,8640.0,8790.0,8750.0,11199.0
36,2020-06-29,8770.0,8590.0,8740.0,8730.0,18328.0
37,2020-06-30,8860.0,8730.0,8730.0,8860.0,10495.0
38,2020-07-01,8890.0,8650.0,8890.0,8670.0,11105.0
39,2020-07-02,8900.0,8640.0,8650.0,8890.0,11511.0
40,2020-07-03,8940.0,8800.0,8940.0,8830.0,6039.0
41,2020-07-06,8900.0,8740.0,8830.0,8890.0,19340.0
42,2020-07-07,8900.0,8790.0,8850.0,8850.0,7027.0
43,2020-07-08,8950.0,8800.0,8870.0,8950.0,14215.0
44,2020-07-09,9130.0,9000.0,9000.0,9120.0,31065.0
45,2020-07-10,9120.0,8810.0,9120.0,8930.0,15763.0
46,2020-07-13,9040.0,8950.0,8960.0,8980.0,14569.0
47,2020-07-14,9060.0,8910.0,9060.0,8950.0,6009.0
48,2020-07-15,9160.0,8950.0,8950.0,9080.0,25653.0
49,2020-07-16,9140.0,9030.0,9080.0,9120.0,8550.0
50,2020-07-17,9300.0,9110.0,9130.0,9280.0,18126.0
51,2020-07-20,9310.0,9180.0,9300.0,9240.0,7807.0
52,2020-07-21,9480.0,9250.0,9250.0,9390.0,34517.0
53,2020-07-22,9480.0,9170.0,9480.0,9200.0,25614.0
54,2020-07-23,9280.0,8960.0,9280.0,9020.0,15040.0
55,2020-07-24,9020.0,8870.0,9020.0,9020.0,13786.0
56,2020-07-27,9140.0,8880.0,9000.0,9130.0,20675.0
57,2020-07-28,9180.0,9080.0,9130.0,9100.0,7788.0
58,2020-07-29,9460.0,9050.0,9100.0,9460.0,27613.0
59,2020-07-30,9440.0,9300.0,9440.0,9320.0,22793.0
60,2020-07-31,9410.0,9250.0,9250.0,9360.0,11209.0
61,2020-08-03,9480.0,9360.0,9360.0,9470.0,22516.0
62,2020-08-04,9680.0,9360.0,9480.0,9410.0,14816.0
63,2020-08-05,9540.0,9350.0,9540.0,9400.0,8074.0
64,2020-08-06,9400.0,9250.0,9400.0,9300.0,15766.0
65,2020-08-07,9400.0,9250.0,9400.0,9250.0,11970.0
66,2020-08-10,9250.0,9010.0,9210.0,9190.0,19579.0
67,2020-08-11,9240.0,9120.0,9190.0,9210.0,5754.0
68,2020-08-12,9240.0,9150.0,9210.0,9240.0,9811.0
69,2020-08-13,9350.0,9240.0,9240.0,9250.0,11906.0
70,2020-08-14,9240.0,8680.0,9240.0,8880.0,65346.0
71,2020-08-18,8870.0,8550.0,8870.0,8690.0,33969.0
72,2020-08-19,8760.0,8600.0,8620.0,8680.0,18971.0
73,2020-08-20,8850.0,8400.0,8850.0,8460.0,35269.0
74,2020-08-21,8720.0,8460.0,8460.0,8700.0,15626.0
75,2020-08-24,8790.0,8620.0,8770.0,8710.0,21324.0
76,2020-08-25,8910.0,8740.0,8740.0,8900.0,11093.0
77,2020-08-26,9070.0,8900.0,8900.0,9050.0,17082.0
78,2020-08-27,9000.0,8870.0,8960.0,8880.0,6470.0
79,2020-08-28,9010.0,8880.0,8880.0,8950.0,3771.0
80,2020-08-31,9080.0,8990.0,8990.0,9070.0,24279.0
81,2020-09-01,9130.0,8990.0,9130.0,9030.0,9704.0
82,2020-09-02,9130.0,9030.0,9030.0,9100.0,9219.0
83,2020-09-03,9100.0,8980.0,9100.0,9050.0,9573.0
84,2020-09-04,9040.0,8880.0,9040.0,8990.0,8006.0
85,2020-09-07,9090.0,8960.0,9090.0,9060.0,16586.0
86,2020-09-08,9150.0,9010.0,9060.0,9150.0,17898.0
87,2020-09-09,9140.0,9000.0,9140.0,9070.0,5469.0
88,2020-09-10,9150.0,9070.0,9150.0,9090.0,10524.0
89,2020-09-11,9110.0,9040.0,9100.0,9110.0,10927.0
90,2020-09-14,9250.0,9060.0,9130.0,9150.0,12355.0
91,2020-09-15,9220.0,9130.0,9200.0,9140.0,11227.0
92,2020-09-16,9500.0,9150.0,9200.0,9280.0,30290.0
93,2020-09-17,9360.0,9180.0,9360.0,9230.0,7276.0
94,2020-09-18,9230.0,9140.0,9230.0,9140.0,4558.0
95,2020-09-21,9290.0,8900.0,9290.0,9090.0,17137.0
96,2020-09-22,9050.0,8820.0,9050.0,8830.0,17266.0
97,2020-09-23,8990.0,8840.0,8850.0,8930.0,6729.0
98,2020-09-24,8950.0,8750.0,8950.0,8880.0,12436.0
99,2020-09-25,8960.0,8840.0,8880.0,8900.0,4362.0
100,2020-09-28,9000.0,8790.0,8910.0,8980.0,12673.0
101,2020-09-29,9070.0,8950.0,9020.0,9070.0,8916.0
102,2020-10-05,9190.0,8980.0,9190.0,9170.0,14604.0
103,2020-10-06,9180.0,9090.0,9170.0,9170.0,9687.0
104,2020-10-07,9200.0,9070.0,9160.0,9180.0,8401.0
105,2020-10-08,9300.0,9190.0,9190.0,9220.0,21067.0
106,2020-10-12,9430.0,9240.0,9300.0,9400.0,10520.0
107,2020-10-13,9630.0,9410.0,9420.0,9560.0,45476.0
108,2020-10-14,9700.0,9480.0,9590.0,9550.0,27344.0
109,2020-10-15,9550.0,9360.0,9500.0,9400.0,17773.0
110,2020-10-16,9460.0,9230.0,9450.0,9290.0,14818.0
111,2020-10-19,9340.0,9230.0,9290.0,9270.0,5712.0
112,2020-10-20,9800.0,9240.0,9280.0,9450.0,30894.0
113,2020-10-21,9540.0,9380.0,9540.0,9450.0,4475.0
114,2020-10-22,9500.0,9370.0,9460.0,9370.0,10336.0
115,2020-10-23,9460.0,9370.0,9460.0,9390.0,4052.0
116,2020-10-26,9410.0,9360.0,9390.0,9360.0,9941.0
117,2020-10-27,9420.0,9160.0,9350.0,9260.0,13637.0
118,2020-10-28,9340.0,9210.0,9210.0,9330.0,4777.0
119,2020-10-29,9260.0,9180.0,9250.0,9200.0,9663.0
120,2020-10-30,9300.0,9110.0,9300.0,9170.0,13169.0
121,2020-11-02,9240.0,9120.0,9240.0,9220.0,4971.0
122,2020-11-03,9290.0,9210.0,9210.0,9260.0,6026.0
123,2020-11-04,9270.0,9160.0,9260.0,9270.0,4984.0
124,2020-11-05,9400.0,9250.0,9280.0,9370.0,5173.0
125,2020-11-06,9370.0,9260.0,9370.0,9310.0,8201.0
126,2020-11-09,9390.0,9350.0,9350.0,9370.0,8420.0
127,2020-11-10,9700.0,9370.0,9400.0,9530.0,20429.0
128,2020-11-11,9570.0,9430.0,9520.0,9570.0,13988.0
