,index,High,Low,Open,Close,Volume
0,2020-05-08,19400.0,19100.0,19250.0,19350.0,186406.0
1,2020-05-11,19550.0,18950.0,19500.0,19250.0,227101.0
2,2020-05-12,19250.0,18600.0,19200.0,18800.0,183705.0
3,2020-05-13,20700.0,18500.0,18500.0,20200.0,928683.0
4,2020-05-14,20150.0,19250.0,20100.0,19450.0,383554.0
5,2020-05-15,19750.0,18950.0,19650.0,19250.0,247253.0
6,2020-05-18,20100.0,19150.0,19250.0,19950.0,411285.0
7,2020-05-19,20500.0,19800.0,20400.0,20450.0,460369.0
8,2020-05-20,23350.0,20350.0,20400.0,23000.0,1232296.0
9,2020-05-21,24950.0,23100.0,23550.0,23850.0,1467821.0
10,2020-05-22,24900.0,23700.0,24150.0,24600.0,821548.0
11,2020-05-25,25950.0,24250.0,24600.0,25700.0,1016538.0
12,2020-05-26,26850.0,25400.0,26000.0,25850.0,1021021.0
13,2020-05-27,25700.0,24550.0,25650.0,25050.0,591328.0
14,2020-05-28,25400.0,23350.0,25400.0,24300.0,696579.0
15,2020-05-29,24500.0,23500.0,23900.0,23600.0,347965.0
16,2020-06-01,24450.0,23600.0,23700.0,24350.0,430034.0
17,2020-06-02,25300.0,23850.0,24650.0,24100.0,566552.0
18,2020-06-03,24450.0,23100.0,24300.0,23450.0,525326.0
19,2020-06-04,24400.0,23350.0,23600.0,24000.0,586149.0
20,2020-06-05,24350.0,23700.0,24200.0,23900.0,268741.0
21,2020-06-08,24550.0,23900.0,24200.0,24300.0,325903.0
22,2020-06-09,25650.0,24650.0,24850.0,25500.0,1054156.0
23,2020-06-10,25850.0,25300.0,25700.0,25600.0,479035.0
24,2020-06-11,26200.0,24750.0,26000.0,25100.0,730478.0
25,2020-06-12,24200.0,23200.0,23400.0,23700.0,673281.0
26,2020-06-15,23600.0,21150.0,23500.0,21150.0,664577.0
27,2020-06-16,22750.0,21800.0,22000.0,22700.0,316400.0
28,2020-06-17,23600.0,22450.0,22450.0,23000.0,401875.0
29,2020-06-18,22200.0,21250.0,22000.0,21750.0,758306.0
30,2020-06-19,25650.0,21850.0,21900.0,25550.0,1803245.0
31,2020-06-22,26350.0,24650.0,25550.0,25900.0,1191177.0
32,2020-06-23,26800.0,24750.0,26400.0,26350.0,1169254.0
33,2020-06-24,28350.0,26350.0,26800.0,28300.0,1450925.0
34,2020-06-25,33250.0,27500.0,27800.0,32150.0,4963534.0
35,2020-06-26,34300.0,31800.0,33500.0,33000.0,2122851.0
36,2020-06-29,32450.0,30850.0,32300.0,31800.0,1109723.0
37,2020-06-30,33000.0,30100.0,32400.0,30800.0,981602.0
38,2020-07-01,34500.0,31200.0,31350.0,33400.0,2444661.0
39,2020-07-02,36600.0,32100.0,33850.0,34650.0,2408181.0
40,2020-07-03,38000.0,34350.0,34500.0,36100.0,2752136.0
41,2020-07-06,36450.0,34800.0,35050.0,35800.0,884261.0
42,2020-07-07,41000.0,36950.0,37000.0,38750.0,4462079.0
43,2020-07-08,40300.0,38200.0,39450.0,39200.0,1219505.0
44,2020-07-09,40800.0,38000.0,38850.0,39950.0,1129483.0
45,2020-07-10,40550.0,39400.0,40450.0,39600.0,524669.0
46,2020-07-13,40500.0,38000.0,40000.0,39000.0,789664.0
47,2020-07-14,39250.0,37550.0,37850.0,37750.0,706486.0
48,2020-07-15,38900.0,36500.0,38350.0,38000.0,612794.0
49,2020-07-16,39700.0,37350.0,38550.0,38700.0,665814.0
50,2020-07-17,39300.0,36600.0,38750.0,36700.0,720859.0
51,2020-07-20,37150.0,35450.0,36100.0,37000.0,646508.0
52,2020-07-21,37750.0,36150.0,37500.0,36300.0,463355.0
53,2020-07-22,36200.0,35100.0,36150.0,35900.0,490534.0
54,2020-07-23,36650.0,35200.0,36300.0,36050.0,461780.0
55,2020-07-24,35450.0,33500.0,35100.0,34050.0,819919.0
56,2020-07-27,34500.0,33400.0,33450.0,34350.0,311008.0
57,2020-07-28,38700.0,35600.0,35650.0,37600.0,1850258.0
58,2020-07-29,38450.0,37150.0,37950.0,38000.0,573003.0
59,2020-07-30,38700.0,37100.0,38500.0,37850.0,425080.0
60,2020-07-31,41900.0,37350.0,38250.0,40500.0,2399165.0
61,2020-08-03,44850.0,41300.0,41350.0,43550.0,1490037.0
62,2020-08-04,45500.0,42000.0,44700.0,43300.0,1047649.0
63,2020-08-05,45000.0,42200.0,42600.0,43200.0,941434.0
64,2020-08-06,44000.0,42800.0,44000.0,43000.0,574864.0
65,2020-08-07,48350.0,44000.0,44000.0,45650.0,2270247.0
66,2020-08-10,46550.0,44000.0,46150.0,45500.0,1059053.0
67,2020-08-11,47700.0,44850.0,45700.0,45900.0,849035.0
68,2020-08-12,48250.0,45650.0,45950.0,47300.0,1430589.0
69,2020-08-13,48350.0,46450.0,48350.0,46950.0,784169.0
70,2020-08-14,46500.0,42950.0,46350.0,43500.0,1323926.0
71,2020-08-18,43900.0,39100.0,41650.0,40600.0,1294975.0
72,2020-08-19,42550.0,39600.0,41200.0,42400.0,773873.0
73,2020-08-20,42550.0,39000.0,42000.0,39800.0,900956.0
74,2020-08-21,41400.0,39500.0,40700.0,40600.0,623172.0
75,2020-08-24,41700.0,39200.0,39900.0,41600.0,497161.0
76,2020-08-25,42100.0,40900.0,42000.0,41500.0,387537.0
77,2020-08-26,42000.0,40150.0,41600.0,41400.0,501442.0
78,2020-08-27,44650.0,40800.0,41250.0,43550.0,1652883.0
79,2020-08-28,44300.0,42400.0,44150.0,42950.0,680680.0
80,2020-08-31,43350.0,40900.0,42650.0,42000.0,718790.0
81,2020-09-01,42800.0,41600.0,42250.0,41900.0,417513.0
82,2020-09-02,42800.0,41700.0,42100.0,42400.0,509351.0
83,2020-09-03,42850.0,41950.0,42600.0,42400.0,442295.0
84,2020-09-04,41650.0,39700.0,39800.0,41400.0,772727.0
85,2020-09-07,41700.0,40350.0,41550.0,41000.0,418019.0
86,2020-09-08,42850.0,40300.0,41150.0,41050.0,633292.0
87,2020-09-09,40650.0,40150.0,40250.0,40250.0,320397.0
88,2020-09-10,41050.0,40200.0,40950.0,40800.0,284816.0
89,2020-09-11,40500.0,39850.0,40450.0,40400.0,279904.0
90,2020-09-14,42700.0,40000.0,40500.0,42700.0,677846.0
91,2020-09-15,43300.0,42000.0,43250.0,42400.0,491794.0
92,2020-09-16,42750.0,40800.0,42200.0,41100.0,409402.0
93,2020-09-17,41900.0,40500.0,40650.0,41450.0,449109.0
94,2020-09-18,46000.0,42100.0,42600.0,45700.0,3602651.0
95,2020-09-21,46600.0,42000.0,45900.0,42550.0,1898771.0
96,2020-09-22,44900.0,42000.0,43200.0,43600.0,1753905.0
97,2020-09-23,45350.0,39750.0,45300.0,41000.0,2038038.0
98,2020-09-24,40600.0,39050.0,39050.0,39850.0,1015858.0
99,2020-09-25,40600.0,38500.0,40000.0,39100.0,546101.0
100,2020-09-28,39900.0,38900.0,39300.0,39650.0,343777.0
101,2020-09-29,42750.0,40750.0,42000.0,41350.0,789566.0
102,2020-10-05,41300.0,39600.0,41300.0,40300.0,614223.0
103,2020-10-06,40500.0,39950.0,40500.0,40050.0,281727.0
104,2020-10-07,40350.0,39000.0,39000.0,40200.0,259523.0
105,2020-10-08,40450.0,39900.0,40350.0,39950.0,284677.0
106,2020-10-12,40350.0,39800.0,40050.0,40100.0,310088.0
107,2020-10-13,40250.0,39000.0,40200.0,39750.0,500366.0
108,2020-10-14,39650.0,39050.0,39500.0,39150.0,327086.0
109,2020-10-15,39500.0,38400.0,39200.0,39500.0,383697.0
110,2020-10-16,39750.0,38800.0,39500.0,39150.0,246918.0
111,2020-10-19,39200.0,38150.0,39200.0,38250.0,273965.0
112,2020-10-20,38750.0,37550.0,37800.0,38750.0,277800.0
113,2020-10-21,39500.0,38250.0,39000.0,39500.0,203464.0
114,2020-10-22,40850.0,39300.0,40000.0,39550.0,554517.0
115,2020-10-23,39800.0,38950.0,39600.0,39400.0,190522.0
116,2020-10-26,39400.0,37700.0,39350.0,37900.0,387851.0
117,2020-10-27,39300.0,37250.0,37550.0,39200.0,358949.0
118,2020-10-28,39550.0,38500.0,39100.0,39550.0,187655.0
119,2020-10-29,39200.0,38350.0,38850.0,39150.0,234992.0
120,2020-10-30,39900.0,38600.0,38750.0,39150.0,246751.0
121,2020-11-02,39350.0,38150.0,39150.0,39000.0,156740.0
122,2020-11-03,40700.0,39250.0,39250.0,40000.0,531736.0
123,2020-11-04,40850.0,39300.0,40750.0,39800.0,354099.0
124,2020-11-05,42550.0,40350.0,40500.0,41950.0,1000897.0
125,2020-11-06,43300.0,40900.0,42200.0,41150.0,838508.0
126,2020-11-09,43450.0,42200.0,42300.0,42850.0,641339.0
127,2020-11-10,42750.0,41500.0,42600.0,42000.0,347359.0
128,2020-11-11,42300.0,40750.0,41500.0,40950.0,326004.0
