,index,High,Low,Open,Close,Volume
0,2020-05-04,2690.0,2600.0,2615.0,2665.0,65733.0
1,2020-05-06,2765.0,2690.0,2695.0,2760.0,44038.0
2,2020-05-07,2910.0,2730.0,2770.0,2865.0,98029.0
3,2020-05-08,2920.0,2835.0,2865.0,2875.0,27603.0
4,2020-05-11,2900.0,2850.0,2890.0,2890.0,40414.0
5,2020-05-12,2890.0,2775.0,2890.0,2830.0,56421.0
6,2020-05-13,2805.0,2755.0,2800.0,2805.0,28978.0
7,2020-05-14,2805.0,2755.0,2805.0,2780.0,18831.0
8,2020-05-15,2780.0,2725.0,2775.0,2760.0,19321.0
9,2020-05-18,2820.0,2700.0,2820.0,2760.0,21955.0
10,2020-05-19,2800.0,2715.0,2795.0,2780.0,20201.0
11,2020-05-20,2850.0,2775.0,2785.0,2780.0,29641.0
12,2020-05-21,2830.0,2760.0,2780.0,2825.0,65359.0
13,2020-05-22,2830.0,2770.0,2830.0,2780.0,16908.0
14,2020-05-25,2800.0,2740.0,2800.0,2780.0,7408.0
15,2020-05-26,2820.0,2770.0,2780.0,2815.0,23668.0
16,2020-05-27,2850.0,2785.0,2805.0,2825.0,29423.0
17,2020-05-28,2870.0,2745.0,2825.0,2780.0,27308.0
18,2020-05-29,2800.0,2710.0,2780.0,2775.0,24680.0
19,2020-06-01,2820.0,2770.0,2775.0,2810.0,23083.0
20,2020-06-02,2875.0,2780.0,2875.0,2810.0,21626.0
21,2020-06-03,2840.0,2775.0,2810.0,2810.0,66566.0
22,2020-06-04,2840.0,2810.0,2810.0,2825.0,31974.0
23,2020-06-05,2845.0,2820.0,2820.0,2840.0,35356.0
24,2020-06-08,2960.0,2790.0,2870.0,2960.0,134587.0
25,2020-06-09,3060.0,2900.0,2970.0,2960.0,95677.0
26,2020-06-10,3150.0,2970.0,3000.0,3000.0,176352.0
27,2020-06-11,3020.0,2875.0,3000.0,2940.0,83531.0
28,2020-06-12,2890.0,2715.0,2770.0,2820.0,58879.0
29,2020-06-15,2810.0,2685.0,2765.0,2710.0,48338.0
30,2020-06-16,2795.0,2715.0,2715.0,2790.0,22498.0
31,2020-06-17,2790.0,2670.0,2790.0,2740.0,51053.0
32,2020-06-18,2785.0,2715.0,2785.0,2730.0,16024.0
33,2020-06-19,2755.0,2680.0,2725.0,2740.0,25664.0
34,2020-06-22,3050.0,2815.0,3050.0,2820.0,147424.0
