,index,High,Low,Open,Close,Volume
0,2020-04-22,1695.0,1590.0,1625.0,1680.0,312601.0
1,2020-04-23,1715.0,1645.0,1700.0,1675.0,227966.0
2,2020-04-24,1670.0,1625.0,1650.0,1630.0,135017.0
3,2020-04-27,1650.0,1595.0,1650.0,1625.0,137236.0
4,2020-04-28,1690.0,1610.0,1640.0,1660.0,238035.0
5,2020-04-29,1780.0,1645.0,1680.0,1700.0,651278.0
6,2020-05-04,1710.0,1630.0,1695.0,1670.0,166059.0
7,2020-05-06,1705.0,1645.0,1670.0,1690.0,166062.0
8,2020-05-07,1745.0,1675.0,1690.0,1720.0,285458.0
9,2020-05-08,1870.0,1720.0,1745.0,1830.0,940648.0
10,2020-05-11,1830.0,1760.0,1830.0,1780.0,412805.0
11,2020-05-12,1810.0,1735.0,1770.0,1785.0,317192.0
12,2020-05-13,1995.0,1730.0,1785.0,1905.0,3299724.0
13,2020-05-14,1975.0,1855.0,1875.0,1910.0,823911.0
14,2020-05-15,1950.0,1855.0,1930.0,1855.0,509229.0
15,2020-05-18,1850.0,1765.0,1850.0,1805.0,279274.0
16,2020-05-19,1845.0,1780.0,1810.0,1820.0,148673.0
17,2020-05-20,1870.0,1820.0,1820.0,1835.0,152123.0
18,2020-05-21,1915.0,1835.0,1860.0,1865.0,414370.0
19,2020-05-22,1890.0,1705.0,1890.0,1755.0,543635.0
20,2020-05-25,1765.0,1710.0,1755.0,1750.0,185343.0
21,2020-05-26,1780.0,1710.0,1780.0,1745.0,183668.0
22,2020-05-27,1775.0,1720.0,1765.0,1735.0,164174.0
23,2020-05-28,1755.0,1630.0,1755.0,1690.0,384253.0
24,2020-05-29,1690.0,1650.0,1660.0,1660.0,122574.0
25,2020-06-01,1690.0,1650.0,1665.0,1675.0,126480.0
26,2020-06-02,1700.0,1670.0,1675.0,1670.0,81172.0
27,2020-06-03,1715.0,1660.0,1715.0,1680.0,89131.0
28,2020-06-04,1780.0,1680.0,1680.0,1770.0,515981.0
29,2020-06-05,1775.0,1725.0,1765.0,1760.0,134711.0
30,2020-06-08,1890.0,1775.0,1780.0,1825.0,1077348.0
31,2020-06-09,1905.0,1810.0,1825.0,1855.0,749674.0
32,2020-06-10,1940.0,1815.0,1860.0,1850.0,303850.0
33,2020-06-11,1940.0,1810.0,1840.0,1815.0,664860.0
34,2020-06-12,1755.0,1665.0,1670.0,1720.0,475243.0
35,2020-06-15,1760.0,1560.0,1720.0,1590.0,280593.0
36,2020-06-16,1695.0,1590.0,1660.0,1685.0,271798.0
37,2020-06-17,1695.0,1620.0,1685.0,1640.0,199469.0
38,2020-06-18,1790.0,1625.0,1640.0,1715.0,399460.0
39,2020-06-19,1750.0,1685.0,1715.0,1740.0,140100.0
40,2020-06-22,1770.0,1670.0,1740.0,1725.0,271191.0
41,2020-06-23,1730.0,1675.0,1725.0,1700.0,138649.0
42,2020-06-24,1725.0,1680.0,1700.0,1710.0,122397.0
43,2020-06-25,1705.0,1640.0,1705.0,1675.0,127101.0
44,2020-06-26,1730.0,1650.0,1680.0,1695.0,145723.0
45,2020-06-29,1685.0,1605.0,1685.0,1640.0,141162.0
46,2020-06-30,1690.0,1620.0,1640.0,1640.0,64546.0
47,2020-07-01,1750.0,1635.0,1640.0,1650.0,382258.0
48,2020-07-02,1685.0,1615.0,1650.0,1660.0,117257.0
49,2020-07-03,1690.0,1615.0,1660.0,1665.0,133031.0
50,2020-07-06,1725.0,1635.0,1655.0,1700.0,256704.0
51,2020-07-07,1845.0,1695.0,1715.0,1790.0,1582133.0
52,2020-07-08,1780.0,1710.0,1780.0,1760.0,287277.0
