,index,High,Low,Open,Close,Volume
0,2020-04-22,2465.0,2210.0,2455.0,2305.0,4328434.0
1,2020-04-23,2525.0,2210.0,2295.0,2380.0,6378857.0
2,2020-04-24,2390.0,2220.0,2350.0,2240.0,2752450.0
3,2020-04-27,2315.0,2155.0,2255.0,2240.0,2823592.0
4,2020-04-28,2260.0,2095.0,2225.0,2105.0,2310735.0
5,2020-04-29,2230.0,2000.0,2110.0,2215.0,2945775.0
6,2020-05-04,2270.0,2160.0,2215.0,2250.0,1469715.0
7,2020-05-06,2280.0,2220.0,2265.0,2235.0,942775.0
8,2020-05-07,2250.0,2165.0,2220.0,2235.0,877947.0
9,2020-05-08,2240.0,2190.0,2210.0,2190.0,1130001.0
10,2020-05-11,2200.0,2060.0,2195.0,2090.0,1441228.0
11,2020-05-12,2245.0,1995.0,2070.0,2180.0,1988630.0
12,2020-05-13,2195.0,2105.0,2180.0,2140.0,802067.0
13,2020-05-14,2150.0,2050.0,2140.0,2060.0,991082.0
14,2020-05-15,2115.0,2035.0,2055.0,2060.0,905734.0
15,2020-05-18,2050.0,1940.0,2040.0,1940.0,1359455.0
16,2020-05-19,2095.0,1920.0,1955.0,2060.0,1388940.0
17,2020-05-20,2145.0,2055.0,2065.0,2095.0,944914.0
18,2020-05-21,2220.0,2070.0,2120.0,2160.0,2618848.0
19,2020-05-22,2285.0,2100.0,2250.0,2210.0,3264090.0
20,2020-05-25,2220.0,2145.0,2210.0,2170.0,782023.0
21,2020-05-26,2170.0,2080.0,2155.0,2095.0,1267192.0
22,2020-05-27,2140.0,2030.0,2140.0,2050.0,859758.0
23,2020-05-28,2075.0,1905.0,2055.0,1940.0,1831328.0
24,2020-05-29,1965.0,1905.0,1940.0,1940.0,506252.0
25,2020-06-01,1975.0,1945.0,1955.0,1965.0,363560.0
26,2020-06-02,1970.0,1935.0,1960.0,1965.0,559222.0
27,2020-06-03,1995.0,1920.0,1970.0,1925.0,739522.0
28,2020-06-04,1945.0,1905.0,1945.0,1915.0,555253.0
29,2020-06-05,1925.0,1840.0,1925.0,1860.0,1014552.0
30,2020-06-08,1905.0,1725.0,1870.0,1810.0,910421.0
31,2020-06-09,1870.0,1805.0,1825.0,1845.0,707936.0
32,2020-06-10,1910.0,1815.0,1820.0,1900.0,1105006.0
33,2020-06-11,1990.0,1880.0,1885.0,1930.0,1234031.0
34,2020-06-12,1875.0,1780.0,1840.0,1850.0,741316.0
35,2020-06-15,1860.0,1580.0,1850.0,1615.0,1084516.0
36,2020-06-16,1740.0,1625.0,1625.0,1720.0,771688.0
37,2020-06-17,1810.0,1675.0,1680.0,1770.0,826545.0
38,2020-06-18,1785.0,1715.0,1770.0,1740.0,340335.0
39,2020-06-19,1760.0,1710.0,1730.0,1730.0,323112.0
40,2020-06-22,1740.0,1675.0,1730.0,1685.0,415760.0
41,2020-06-23,1710.0,1585.0,1705.0,1615.0,919442.0
42,2020-06-24,1640.0,1585.0,1585.0,1610.0,430267.0
43,2020-06-25,1610.0,1535.0,1605.0,1540.0,725962.0
44,2020-06-26,1660.0,1530.0,1540.0,1565.0,909907.0
45,2020-06-29,1850.0,1570.0,1590.0,1690.0,3382490.0
46,2020-06-30,1760.0,1650.0,1700.0,1705.0,1042243.0
47,2020-07-01,1720.0,1620.0,1675.0,1625.0,548194.0
48,2020-07-02,1640.0,1550.0,1605.0,1615.0,602739.0
49,2020-07-03,1700.0,1575.0,1615.0,1700.0,802389.0
50,2020-07-06,1760.0,1695.0,1705.0,1730.0,495398.0
51,2020-07-07,1765.0,1695.0,1760.0,1735.0,547954.0
52,2020-07-08,1750.0,1705.0,1735.0,1750.0,345706.0
53,2020-07-09,1780.0,1700.0,1750.0,1715.0,448199.0
54,2020-07-10,1730.0,1660.0,1715.0,1675.0,296966.0
55,2020-07-13,1695.0,1645.0,1670.0,1670.0,227233.0
56,2020-07-14,1680.0,1630.0,1655.0,1640.0,301675.0
57,2020-07-15,1845.0,1625.0,1640.0,1800.0,2613160.0
58,2020-07-16,1885.0,1805.0,1845.0,1855.0,2322855.0
59,2020-07-17,1855.0,1765.0,1855.0,1820.0,747722.0
60,2020-07-20,1825.0,1770.0,1820.0,1805.0,504308.0
61,2020-07-21,1825.0,1720.0,1790.0,1770.0,810309.0
62,2020-07-22,1790.0,1735.0,1780.0,1775.0,514731.0
63,2020-07-23,1805.0,1690.0,1785.0,1705.0,839762.0
64,2020-07-24,1715.0,1635.0,1680.0,1700.0,744643.0
65,2020-07-27,1715.0,1665.0,1695.0,1675.0,303387.0
66,2020-07-28,1690.0,1650.0,1675.0,1665.0,342274.0
67,2020-07-29,1685.0,1635.0,1665.0,1655.0,401833.0
68,2020-07-30,1660.0,1630.0,1650.0,1640.0,260327.0
69,2020-07-31,1650.0,1590.0,1640.0,1600.0,476516.0
70,2020-08-03,1645.0,1600.0,1600.0,1640.0,284816.0
71,2020-08-04,1665.0,1625.0,1635.0,1660.0,313119.0
72,2020-08-05,1675.0,1615.0,1650.0,1645.0,448991.0
73,2020-08-06,1740.0,1620.0,1645.0,1730.0,1101444.0
74,2020-08-07,1765.0,1665.0,1745.0,1750.0,1027433.0
75,2020-08-10,1780.0,1700.0,1780.0,1710.0,548473.0
76,2020-08-11,1900.0,1690.0,1710.0,1900.0,2990061.0
77,2020-08-12,2045.0,1820.0,1970.0,1990.0,4345200.0
78,2020-08-13,2070.0,1900.0,2055.0,1915.0,3006509.0
79,2020-08-14,2050.0,1885.0,1930.0,2045.0,1960169.0
80,2020-08-18,2030.0,1760.0,2030.0,1775.0,1804023.0
81,2020-08-19,1855.0,1775.0,1775.0,1810.0,700481.0
82,2020-08-20,1810.0,1585.0,1795.0,1625.0,1859603.0
83,2020-08-21,1670.0,1550.0,1640.0,1630.0,814541.0
84,2020-08-24,1655.0,1575.0,1625.0,1615.0,475535.0
85,2020-08-25,1755.0,1605.0,1615.0,1680.0,1100086.0
86,2020-08-26,1695.0,1630.0,1675.0,1645.0,1067340.0
87,2020-08-27,1725.0,1635.0,1650.0,1710.0,1301516.0
88,2020-08-28,1780.0,1680.0,1745.0,1690.0,918958.0
89,2020-08-31,1815.0,1705.0,1725.0,1765.0,902020.0
90,2020-09-01,1800.0,1740.0,1760.0,1760.0,332877.0
91,2020-09-02,1860.0,1735.0,1770.0,1800.0,1165888.0
92,2020-09-03,1835.0,1775.0,1805.0,1780.0,704504.0
93,2020-09-04,1755.0,1675.0,1700.0,1740.0,547076.0
94,2020-09-07,1960.0,1730.0,1755.0,1870.0,2616768.0
95,2020-09-08,2080.0,1885.0,1955.0,1920.0,5254068.0
96,2020-09-09,1945.0,1850.0,1865.0,1880.0,868091.0
97,2020-09-10,1915.0,1830.0,1910.0,1890.0,828936.0
98,2020-09-11,1890.0,1810.0,1870.0,1850.0,551177.0
99,2020-09-14,1985.0,1865.0,1870.0,1965.0,1318789.0
100,2020-09-15,2050.0,1915.0,2050.0,1935.0,1173599.0
101,2020-09-16,1935.0,1880.0,1935.0,1915.0,612169.0
102,2020-09-17,2390.0,1930.0,1935.0,2260.0,26405567.0
103,2020-09-18,2220.0,2080.0,2185.0,2210.0,4087584.0
104,2020-09-21,2240.0,2090.0,2170.0,2105.0,3017433.0
105,2020-09-22,2085.0,1910.0,2070.0,1940.0,2442400.0
106,2020-09-23,2000.0,1810.0,1970.0,1900.0,1232891.0
107,2020-09-24,1870.0,1750.0,1850.0,1785.0,1444196.0
108,2020-09-25,1825.0,1715.0,1805.0,1720.0,933977.0
109,2020-09-28,1865.0,1750.0,1770.0,1865.0,741624.0
110,2020-09-29,1915.0,1835.0,1905.0,1870.0,703853.0
111,2020-10-05,1975.0,1845.0,1875.0,1975.0,584651.0
112,2020-10-06,1995.0,1895.0,1975.0,1895.0,983929.0
113,2020-10-07,2035.0,1870.0,1895.0,1990.0,1205715.0
