,index,High,Low,Open,Close,Volume
0,2020-05-04,1350.0,1260.0,1280.0,1345.0,375337.0
1,2020-05-06,1345.0,1310.0,1325.0,1325.0,102332.0
2,2020-05-07,1350.0,1320.0,1335.0,1335.0,95507.0
3,2020-05-08,1725.0,1425.0,1430.0,1475.0,12880528.0
4,2020-05-11,1580.0,1465.0,1500.0,1470.0,2711819.0
5,2020-05-12,1490.0,1390.0,1450.0,1490.0,886057.0
6,2020-05-13,1480.0,1415.0,1470.0,1445.0,404955.0
7,2020-05-14,1460.0,1400.0,1420.0,1410.0,310883.0
8,2020-05-15,1435.0,1370.0,1415.0,1390.0,367204.0
9,2020-05-18,1420.0,1370.0,1390.0,1395.0,197904.0
10,2020-05-19,1450.0,1415.0,1450.0,1420.0,353028.0
11,2020-05-20,1435.0,1400.0,1410.0,1430.0,208894.0
12,2020-05-21,1470.0,1435.0,1435.0,1455.0,462832.0
13,2020-05-22,1540.0,1400.0,1465.0,1540.0,1612384.0
14,2020-05-25,1555.0,1505.0,1550.0,1545.0,908453.0
15,2020-05-26,1580.0,1510.0,1550.0,1560.0,1082401.0
16,2020-05-27,1650.0,1510.0,1580.0,1560.0,2738870.0
17,2020-05-28,1580.0,1460.0,1565.0,1475.0,734825.0
18,2020-05-29,1535.0,1475.0,1490.0,1505.0,483435.0
19,2020-06-01,1540.0,1505.0,1540.0,1510.0,304543.0
20,2020-06-02,1525.0,1490.0,1510.0,1510.0,208888.0
21,2020-06-03,1575.0,1510.0,1540.0,1545.0,1030957.0
22,2020-06-04,1570.0,1505.0,1560.0,1525.0,444735.0
23,2020-06-05,1540.0,1500.0,1520.0,1525.0,310661.0
24,2020-06-08,1545.0,1510.0,1535.0,1530.0,212477.0
25,2020-06-09,1560.0,1500.0,1540.0,1520.0,457335.0
26,2020-06-10,1530.0,1490.0,1520.0,1505.0,310461.0
27,2020-06-11,1515.0,1450.0,1510.0,1455.0,471747.0
28,2020-06-12,1415.0,1345.0,1365.0,1415.0,379362.0
29,2020-06-15,1410.0,1275.0,1390.0,1290.0,250111.0
30,2020-06-16,1370.0,1320.0,1320.0,1365.0,163691.0
31,2020-06-17,1380.0,1335.0,1355.0,1360.0,166890.0
32,2020-06-18,1400.0,1335.0,1360.0,1365.0,130162.0
33,2020-06-19,1445.0,1380.0,1390.0,1430.0,202217.0
34,2020-06-22,1435.0,1395.0,1435.0,1400.0,90574.0
35,2020-06-23,1425.0,1380.0,1400.0,1390.0,67168.0
36,2020-06-24,1420.0,1395.0,1400.0,1400.0,74719.0
37,2020-06-25,1820.0,1460.0,1460.0,1520.0,26052413.0
38,2020-06-26,1560.0,1465.0,1515.0,1555.0,2215549.0
39,2020-06-29,1550.0,1480.0,1505.0,1540.0,1481522.0
40,2020-06-30,1840.0,1560.0,1755.0,1575.0,15500591.0
41,2020-07-01,1595.0,1495.0,1595.0,1495.0,1316242.0
42,2020-07-02,1560.0,1485.0,1510.0,1520.0,1041141.0
43,2020-07-03,1580.0,1515.0,1555.0,1520.0,511308.0
44,2020-07-06,1595.0,1515.0,1520.0,1585.0,684678.0
45,2020-07-07,1605.0,1540.0,1595.0,1575.0,501375.0
46,2020-07-08,1605.0,1555.0,1575.0,1575.0,451093.0
47,2020-07-09,1595.0,1540.0,1590.0,1545.0,444178.0
48,2020-07-10,1555.0,1500.0,1555.0,1500.0,372192.0
49,2020-07-13,1565.0,1505.0,1520.0,1545.0,432511.0
50,2020-07-14,1660.0,1530.0,1550.0,1660.0,1862828.0
