,index,High,Low,Open,Close,Volume
0,2020-05-04,24600.0,24000.0,24600.0,24450.0,6405.0
1,2020-05-06,24550.0,24200.0,24500.0,24500.0,1562.0
2,2020-05-07,24650.0,24200.0,24650.0,24400.0,5287.0
3,2020-05-08,24550.0,24000.0,24550.0,24250.0,11893.0
4,2020-05-11,24400.0,24150.0,24250.0,24300.0,3025.0
5,2020-05-12,24300.0,24100.0,24300.0,24150.0,1881.0
6,2020-05-13,24250.0,24050.0,24200.0,24200.0,876.0
7,2020-05-14,24300.0,24100.0,24200.0,24150.0,1767.0
8,2020-05-15,24350.0,24150.0,24150.0,24350.0,342.0
9,2020-05-18,24550.0,24150.0,24150.0,24450.0,1728.0
10,2020-05-19,24600.0,24350.0,24450.0,24450.0,3418.0
11,2020-05-20,24750.0,24250.0,24450.0,24300.0,2104.0
12,2020-05-21,24500.0,24300.0,24400.0,24500.0,1294.0
13,2020-05-22,24650.0,24300.0,24350.0,24300.0,3892.0
14,2020-05-25,24500.0,24250.0,24500.0,24450.0,1076.0
15,2020-05-26,24550.0,24300.0,24300.0,24550.0,1706.0
16,2020-05-27,25350.0,24400.0,24650.0,25100.0,1278.0
17,2020-05-28,25600.0,24750.0,24850.0,25050.0,3029.0
18,2020-05-29,25300.0,24650.0,24950.0,25250.0,2418.0
19,2020-06-01,25500.0,24950.0,24950.0,25500.0,1368.0
20,2020-06-02,25900.0,25200.0,25200.0,25850.0,1422.0
21,2020-06-03,26250.0,25100.0,25850.0,25500.0,6351.0
22,2020-06-04,25850.0,25300.0,25850.0,25300.0,2383.0
23,2020-06-05,26000.0,25250.0,25700.0,25600.0,3109.0
24,2020-06-08,25950.0,25450.0,25600.0,25500.0,2699.0
25,2020-06-09,25900.0,25350.0,25900.0,25500.0,2762.0
26,2020-06-10,25900.0,25300.0,25300.0,25400.0,1379.0
27,2020-06-11,25750.0,25400.0,25650.0,25400.0,981.0
28,2020-06-12,25400.0,24750.0,25200.0,25150.0,2992.0
29,2020-06-15,25200.0,24500.0,25150.0,24500.0,5734.0
30,2020-06-16,24800.0,24400.0,24500.0,24750.0,3351.0
31,2020-06-17,24850.0,24500.0,24850.0,24600.0,1553.0
32,2020-06-18,24800.0,24450.0,24800.0,24500.0,1804.0
33,2020-06-19,24650.0,24500.0,24500.0,24600.0,398.0
34,2020-06-22,24700.0,24400.0,24450.0,24500.0,1674.0
35,2020-06-23,24450.0,24150.0,24400.0,24250.0,3845.0
36,2020-06-24,24400.0,24200.0,24300.0,24300.0,374.0
37,2020-06-25,24400.0,23850.0,24400.0,24000.0,1315.0
38,2020-06-26,24250.0,24000.0,24100.0,24150.0,1218.0
39,2020-06-29,24200.0,23850.0,23900.0,23900.0,884.0
40,2020-06-30,24100.0,23650.0,23900.0,23950.0,1085.0
41,2020-07-01,24100.0,23800.0,24050.0,24100.0,259.0
42,2020-07-02,24400.0,23850.0,24350.0,24000.0,544.0
43,2020-07-03,24150.0,23850.0,24100.0,24150.0,1888.0
44,2020-07-06,24200.0,23900.0,23900.0,24000.0,597.0
45,2020-07-07,24300.0,24000.0,24000.0,24150.0,286.0
46,2020-07-08,24400.0,24150.0,24150.0,24300.0,423.0
47,2020-07-09,24500.0,24050.0,24050.0,24100.0,1015.0
48,2020-07-10,24500.0,23900.0,24000.0,24050.0,1412.0
49,2020-07-13,24400.0,24100.0,24300.0,24150.0,605.0
50,2020-07-14,24300.0,24150.0,24200.0,24200.0,948.0
51,2020-07-15,24400.0,24050.0,24350.0,24200.0,1576.0
52,2020-07-16,24450.0,24000.0,24450.0,24050.0,2943.0
53,2020-07-17,24350.0,24100.0,24350.0,24200.0,204.0
54,2020-07-20,24500.0,24150.0,24450.0,24200.0,1035.0
55,2020-07-21,24250.0,24100.0,24200.0,24250.0,1430.0
56,2020-07-22,24400.0,24100.0,24300.0,24100.0,1460.0
57,2020-07-23,24150.0,24050.0,24100.0,24050.0,850.0
58,2020-07-24,24200.0,24000.0,24200.0,24050.0,1133.0
59,2020-07-27,24200.0,24000.0,24000.0,24150.0,1008.0
60,2020-07-28,24250.0,24050.0,24250.0,24050.0,1536.0
61,2020-07-29,24500.0,24100.0,24100.0,24500.0,2721.0
