,index,High,Low,Open,Close,Volume
0,2020-05-04,89700.0,85100.0,85900.0,89000.0,172065.0
1,2020-05-06,90200.0,88200.0,89900.0,89500.0,220992.0
2,2020-05-07,97500.0,89900.0,89900.0,95600.0,577767.0
3,2020-05-08,102500.0,97000.0,97500.0,99800.0,414818.0
4,2020-05-11,103000.0,99700.0,101500.0,103000.0,298334.0
5,2020-05-12,105000.0,99100.0,103000.0,101000.0,333946.0
6,2020-05-13,115000.0,103000.0,103000.0,106000.0,807846.0
7,2020-05-14,106500.0,101000.0,105000.0,106500.0,249942.0
8,2020-05-15,108000.0,103000.0,107500.0,104000.0,160654.0
9,2020-05-18,108000.0,102000.0,104000.0,102000.0,169821.0
10,2020-05-19,104000.0,99000.0,103000.0,99500.0,299813.0
11,2020-05-20,103000.0,98700.0,98800.0,102500.0,165822.0
12,2020-05-21,104500.0,100500.0,103000.0,101500.0,175279.0
13,2020-05-22,103000.0,99800.0,101000.0,101000.0,191933.0
14,2020-05-25,109000.0,101000.0,101500.0,107500.0,311410.0
15,2020-05-26,110000.0,105000.0,109500.0,108500.0,223126.0
16,2020-05-27,110000.0,106500.0,107500.0,109500.0,169565.0
17,2020-05-28,116500.0,107500.0,110000.0,114500.0,410991.0
18,2020-05-29,120000.0,111000.0,114000.0,120000.0,1746783.0
19,2020-06-01,122000.0,118000.0,120000.0,119500.0,317849.0
20,2020-06-02,123500.0,118000.0,118500.0,122000.0,179171.0
21,2020-06-03,122500.0,112500.0,122000.0,114000.0,506605.0
22,2020-06-04,115000.0,108500.0,112000.0,110000.0,433114.0
23,2020-06-05,111000.0,104000.0,110000.0,105500.0,360028.0
24,2020-06-08,106500.0,102000.0,106000.0,103000.0,356136.0
25,2020-06-09,106500.0,103000.0,104000.0,106000.0,194399.0
26,2020-06-10,114000.0,106000.0,107000.0,112500.0,305281.0
27,2020-06-11,115000.0,110500.0,113000.0,114500.0,244861.0
28,2020-06-12,116000.0,105000.0,108500.0,114000.0,277187.0
29,2020-06-15,116500.0,103500.0,114000.0,108000.0,287834.0
30,2020-06-16,112000.0,105500.0,112000.0,111000.0,268672.0
31,2020-06-17,118000.0,108000.0,109500.0,114000.0,388302.0
32,2020-06-18,119500.0,110000.0,117000.0,112000.0,854346.0
33,2020-06-19,116000.0,107500.0,115500.0,110000.0,396524.0
34,2020-06-22,110000.0,105000.0,108500.0,107000.0,177587.0
35,2020-06-23,114000.0,107500.0,107500.0,113500.0,255660.0
36,2020-06-24,114000.0,108000.0,114000.0,108500.0,216662.0
37,2020-06-25,107500.0,103500.0,106500.0,104500.0,208624.0
38,2020-06-26,106500.0,101000.0,106500.0,102500.0,192825.0
39,2020-06-29,104000.0,101500.0,102500.0,102500.0,90524.0
40,2020-06-30,105500.0,101000.0,105500.0,102000.0,113383.0
41,2020-07-01,103000.0,100000.0,102500.0,100000.0,106838.0
42,2020-07-02,102000.0,100000.0,101000.0,101000.0,86704.0
43,2020-07-03,106000.0,101000.0,102000.0,105000.0,132024.0
44,2020-07-06,107000.0,103500.0,106000.0,106000.0,102778.0
45,2020-07-07,109500.0,105000.0,108000.0,106500.0,151703.0
46,2020-07-08,107500.0,103500.0,106500.0,104000.0,91240.0
47,2020-07-09,106500.0,103500.0,106500.0,106000.0,95731.0
48,2020-07-10,109500.0,105500.0,107000.0,108000.0,233254.0
49,2020-07-13,110000.0,107000.0,109500.0,110000.0,132011.0
50,2020-07-14,111500.0,108000.0,110000.0,110000.0,169076.0
51,2020-07-15,111500.0,106000.0,111500.0,109000.0,156309.0
52,2020-07-16,109000.0,104500.0,109000.0,106000.0,112211.0
53,2020-07-17,107000.0,104500.0,106000.0,105000.0,53868.0
54,2020-07-20,107000.0,104500.0,106000.0,105000.0,79003.0
55,2020-07-21,110000.0,106000.0,106500.0,109000.0,117421.0
56,2020-07-22,108000.0,106000.0,108000.0,106500.0,83156.0
57,2020-07-23,107500.0,105500.0,107000.0,107000.0,58451.0
58,2020-07-24,107500.0,105000.0,106000.0,105500.0,57538.0
59,2020-07-27,106500.0,104500.0,105500.0,105000.0,71992.0
60,2020-07-28,106000.0,105000.0,105500.0,105000.0,45597.0
61,2020-07-29,108000.0,104000.0,105500.0,105000.0,68630.0
62,2020-07-30,105500.0,104000.0,105000.0,105000.0,71718.0
63,2020-07-31,110000.0,104000.0,106000.0,104500.0,152062.0
64,2020-08-03,106500.0,103500.0,105500.0,103500.0,85585.0
65,2020-08-04,106000.0,103500.0,105000.0,104500.0,137812.0
66,2020-08-05,106500.0,104000.0,106000.0,105000.0,72977.0
67,2020-08-06,105000.0,101500.0,104500.0,102500.0,229034.0
68,2020-08-07,102500.0,101000.0,102000.0,102000.0,85084.0
69,2020-08-10,102500.0,100000.0,102500.0,100500.0,108229.0
70,2020-08-11,102000.0,100000.0,100500.0,100500.0,55576.0
71,2020-08-12,103500.0,101000.0,101000.0,103000.0,101423.0
72,2020-08-13,104500.0,101000.0,104000.0,101000.0,68848.0
73,2020-08-14,102000.0,100000.0,102000.0,102000.0,81182.0
74,2020-08-18,102500.0,98500.0,102500.0,98600.0,166899.0
75,2020-08-19,101000.0,99400.0,99700.0,101000.0,139460.0
76,2020-08-20,101000.0,97500.0,100000.0,99000.0,83094.0
77,2020-08-21,99500.0,97400.0,99100.0,99400.0,52281.0
78,2020-08-24,101500.0,97500.0,98500.0,100500.0,101476.0
79,2020-08-25,101500.0,99500.0,101000.0,101000.0,64856.0
80,2020-08-26,101500.0,99900.0,101500.0,101000.0,76652.0
81,2020-08-27,106000.0,102000.0,102500.0,103000.0,320229.0
82,2020-08-28,102500.0,99700.0,102500.0,99800.0,127241.0
83,2020-08-31,101000.0,97600.0,100500.0,101000.0,179939.0
84,2020-09-01,102000.0,99500.0,101000.0,100000.0,69196.0
85,2020-09-02,107000.0,101500.0,102000.0,105500.0,403669.0
86,2020-09-03,108500.0,105000.0,105500.0,106500.0,184549.0
87,2020-09-04,133000.0,109500.0,112000.0,126500.0,2501985.0
88,2020-09-07,129000.0,121500.0,127000.0,124000.0,708350.0
89,2020-09-08,136000.0,118500.0,127500.0,120000.0,1305998.0
90,2020-09-09,119000.0,113500.0,117000.0,115000.0,352632.0
91,2020-09-10,117500.0,112000.0,117000.0,115000.0,262121.0
92,2020-09-11,116500.0,111000.0,115000.0,112000.0,205804.0
