,index,High,Low,Open,Close,Volume
0,2020-05-08,1535.0,1490.0,1490.0,1520.0,544068.0
1,2020-05-11,1575.0,1500.0,1520.0,1510.0,782245.0
2,2020-05-12,1560.0,1475.0,1510.0,1560.0,934140.0
3,2020-05-13,1525.0,1465.0,1500.0,1480.0,905256.0
4,2020-05-14,1470.0,1400.0,1470.0,1415.0,843574.0
5,2020-05-15,1440.0,1380.0,1420.0,1425.0,693338.0
6,2020-05-18,1490.0,1390.0,1425.0,1475.0,689950.0
7,2020-05-19,1485.0,1430.0,1475.0,1475.0,458004.0
8,2020-05-20,1515.0,1455.0,1480.0,1515.0,851116.0
9,2020-05-21,1520.0,1460.0,1520.0,1500.0,909515.0
10,2020-05-22,1550.0,1415.0,1530.0,1420.0,826615.0
11,2020-05-25,1460.0,1420.0,1430.0,1430.0,321732.0
12,2020-05-26,1440.0,1405.0,1440.0,1420.0,353627.0
13,2020-05-27,1445.0,1410.0,1420.0,1440.0,400105.0
14,2020-05-28,1525.0,1430.0,1450.0,1505.0,1597903.0
15,2020-05-29,1520.0,1445.0,1520.0,1455.0,575757.0
16,2020-06-01,1495.0,1455.0,1455.0,1465.0,424464.0
17,2020-06-02,1490.0,1460.0,1475.0,1485.0,250296.0
18,2020-06-03,1510.0,1445.0,1485.0,1450.0,498078.0
19,2020-06-04,1465.0,1430.0,1450.0,1455.0,313298.0
20,2020-06-05,1480.0,1440.0,1440.0,1465.0,254161.0
21,2020-06-08,1490.0,1450.0,1485.0,1470.0,313939.0
22,2020-06-09,1535.0,1465.0,1485.0,1525.0,1263083.0
23,2020-06-10,1525.0,1480.0,1525.0,1495.0,433927.0
24,2020-06-11,1520.0,1435.0,1495.0,1440.0,586035.0
25,2020-06-12,1445.0,1300.0,1355.0,1430.0,684651.0
26,2020-06-15,1440.0,1230.0,1430.0,1270.0,789723.0
27,2020-06-16,1375.0,1305.0,1310.0,1350.0,277957.0
28,2020-06-17,1350.0,1295.0,1320.0,1340.0,306035.0
29,2020-06-18,1355.0,1320.0,1340.0,1340.0,147138.0
30,2020-06-19,1350.0,1310.0,1330.0,1315.0,173355.0
31,2020-06-22,1380.0,1305.0,1315.0,1315.0,239367.0
32,2020-06-23,1330.0,1270.0,1320.0,1285.0,398932.0
33,2020-06-24,1310.0,1265.0,1275.0,1290.0,206152.0
34,2020-06-25,1285.0,1240.0,1280.0,1270.0,221864.0
35,2020-06-26,1270.0,1185.0,1255.0,1205.0,600967.0
36,2020-06-29,1195.0,1125.0,1195.0,1125.0,625273.0
37,2020-06-30,1175.0,1130.0,1155.0,1170.0,347340.0
38,2020-07-01,1220.0,1160.0,1170.0,1180.0,162689.0
39,2020-07-02,1240.0,1170.0,1180.0,1235.0,221611.0
40,2020-07-03,1270.0,1210.0,1235.0,1240.0,239855.0
41,2020-07-06,1255.0,1220.0,1245.0,1240.0,166341.0
42,2020-07-07,1250.0,1200.0,1245.0,1205.0,174869.0
43,2020-07-08,1220.0,1180.0,1200.0,1200.0,146012.0
44,2020-07-09,1225.0,1185.0,1195.0,1200.0,170338.0
45,2020-07-10,1295.0,1175.0,1200.0,1240.0,1138921.0
46,2020-07-13,1270.0,1175.0,1230.0,1185.0,592438.0
47,2020-07-14,1195.0,1165.0,1175.0,1195.0,138680.0
48,2020-07-15,1225.0,1165.0,1195.0,1200.0,299600.0
49,2020-07-16,1210.0,1190.0,1190.0,1200.0,110078.0
50,2020-07-17,1220.0,1180.0,1200.0,1195.0,164031.0
51,2020-07-20,1195.0,1160.0,1190.0,1170.0,150118.0
52,2020-07-21,1180.0,1140.0,1175.0,1175.0,156345.0
53,2020-07-22,1205.0,1155.0,1175.0,1205.0,131762.0
54,2020-07-23,1210.0,1140.0,1205.0,1160.0,321771.0
55,2020-07-24,1155.0,1090.0,1140.0,1105.0,507233.0
56,2020-07-27,1120.0,1080.0,1105.0,1100.0,189206.0
57,2020-07-28,1110.0,1075.0,1090.0,1085.0,174584.0
58,2020-07-29,1085.0,1030.0,1085.0,1045.0,596598.0
59,2020-07-30,1070.0,1045.0,1050.0,1060.0,204990.0
60,2020-07-31,1065.0,1040.0,1065.0,1055.0,171989.0
61,2020-08-03,1060.0,1020.0,1060.0,1025.0,224159.0
62,2020-08-04,1035.0,1010.0,1035.0,1025.0,266240.0
63,2020-08-05,1070.0,1025.0,1040.0,1055.0,268870.0
64,2020-08-06,1100.0,1050.0,1060.0,1090.0,397383.0
65,2020-08-07,1125.0,1065.0,1125.0,1085.0,250590.0
66,2020-08-10,1085.0,1040.0,1085.0,1055.0,267192.0
67,2020-08-11,1070.0,1040.0,1055.0,1060.0,272390.0
68,2020-08-12,1065.0,1025.0,1060.0,1040.0,345338.0
69,2020-08-13,1090.0,1030.0,1030.0,1070.0,373939.0
70,2020-08-14,1085.0,1050.0,1070.0,1055.0,143197.0
71,2020-08-18,1055.0,983.0,1055.0,984.0,423885.0
72,2020-08-19,1010.0,984.0,984.0,1005.0,170922.0
73,2020-08-20,1005.0,922.0,1005.0,954.0,309211.0
74,2020-08-21,992.0,949.0,980.0,989.0,165015.0
75,2020-08-24,1075.0,989.0,989.0,1035.0,565570.0
76,2020-08-25,1060.0,1020.0,1030.0,1055.0,174479.0
77,2020-08-26,1110.0,1025.0,1055.0,1045.0,1070770.0
78,2020-08-27,1050.0,1015.0,1045.0,1025.0,272096.0
79,2020-08-28,1070.0,1025.0,1040.0,1055.0,309635.0
80,2020-08-31,1085.0,1050.0,1085.0,1075.0,232215.0
81,2020-09-01,1080.0,1050.0,1075.0,1075.0,222116.0
82,2020-09-02,1130.0,1060.0,1070.0,1080.0,395359.0
83,2020-09-03,1090.0,1070.0,1080.0,1080.0,203685.0
84,2020-09-04,1065.0,1035.0,1040.0,1040.0,177600.0
85,2020-09-07,1080.0,1035.0,1035.0,1065.0,185426.0
86,2020-09-08,1090.0,1065.0,1065.0,1065.0,134196.0
87,2020-09-09,1180.0,1055.0,1065.0,1130.0,982464.0
88,2020-09-10,1180.0,1135.0,1160.0,1165.0,491470.0
89,2020-09-11,1215.0,1165.0,1175.0,1200.0,823187.0
90,2020-09-14,1265.0,1210.0,1220.0,1245.0,830400.0
91,2020-09-15,1260.0,1210.0,1240.0,1220.0,265613.0
92,2020-09-16,1240.0,1180.0,1215.0,1180.0,236257.0
93,2020-09-17,1200.0,1165.0,1200.0,1200.0,117264.0
94,2020-09-18,1200.0,1145.0,1200.0,1170.0,295167.0
95,2020-09-21,1190.0,1120.0,1170.0,1135.0,214994.0
96,2020-09-22,1140.0,1070.0,1115.0,1075.0,261917.0
97,2020-09-23,1095.0,1040.0,1075.0,1080.0,214906.0
98,2020-09-24,1175.0,1060.0,1075.0,1090.0,409756.0
99,2020-09-25,1145.0,1105.0,1105.0,1110.0,170501.0
100,2020-09-28,1180.0,1090.0,1115.0,1165.0,125987.0
101,2020-09-29,1195.0,1145.0,1165.0,1160.0,147540.0
102,2020-10-05,1185.0,1135.0,1160.0,1175.0,112487.0
103,2020-10-06,1255.0,1150.0,1170.0,1230.0,646158.0
104,2020-10-07,1255.0,1190.0,1240.0,1205.0,261024.0
105,2020-10-08,1210.0,1170.0,1205.0,1195.0,134113.0
106,2020-10-12,1225.0,1170.0,1195.0,1225.0,632926.0
107,2020-10-13,1435.0,1280.0,1400.0,1310.0,6254500.0
108,2020-10-14,1295.0,1230.0,1285.0,1270.0,990563.0
109,2020-10-15,1265.0,1185.0,1260.0,1235.0,581375.0
110,2020-10-16,1215.0,1160.0,1215.0,1180.0,561630.0
111,2020-10-19,1155.0,1110.0,1140.0,1120.0,676517.0
112,2020-10-20,1140.0,1100.0,1100.0,1130.0,392156.0
113,2020-10-21,1150.0,1120.0,1135.0,1150.0,200008.0
114,2020-10-22,1140.0,1120.0,1140.0,1130.0,203183.0
115,2020-10-23,1130.0,1105.0,1130.0,1120.0,212345.0
116,2020-10-26,1120.0,1080.0,1120.0,1090.0,254241.0
117,2020-10-27,1105.0,1060.0,1080.0,1080.0,245198.0
118,2020-10-28,1095.0,1065.0,1070.0,1085.0,223057.0
119,2020-10-29,1095.0,1065.0,1085.0,1075.0,144571.0
120,2020-10-30,1090.0,1055.0,1065.0,1055.0,215424.0
121,2020-11-02,1065.0,1040.0,1050.0,1060.0,81957.0
122,2020-11-03,1090.0,1065.0,1065.0,1080.0,67663.0
123,2020-11-04,1100.0,1070.0,1080.0,1090.0,175646.0
124,2020-11-05,1130.0,1085.0,1085.0,1095.0,272669.0
125,2020-11-06,1155.0,1090.0,1095.0,1135.0,542072.0
126,2020-11-09,1165.0,1140.0,1150.0,1150.0,180857.0
127,2020-11-10,1170.0,1120.0,1170.0,1125.0,282668.0
128,2020-11-11,1130.0,1095.0,1130.0,1110.0,210064.0
