,index,High,Low,Open,Close,Volume
0,2020-04-22,3025.0,2835.0,2955.0,3005.0,113044.0
1,2020-04-23,3015.0,2900.0,3005.0,2945.0,171078.0
2,2020-04-24,3190.0,2920.0,3050.0,3020.0,811334.0
3,2020-04-27,3050.0,2945.0,3005.0,2995.0,136857.0
4,2020-04-28,3005.0,2940.0,2995.0,3000.0,68858.0
5,2020-04-29,3145.0,2990.0,3000.0,3110.0,274904.0
6,2020-05-04,3115.0,3005.0,3075.0,3100.0,146979.0
7,2020-05-06,3115.0,3065.0,3075.0,3100.0,90166.0
8,2020-05-07,3245.0,3095.0,3100.0,3150.0,304626.0
9,2020-05-08,3200.0,3105.0,3150.0,3150.0,112023.0
10,2020-05-11,3175.0,3060.0,3150.0,3110.0,140971.0
11,2020-05-12,3120.0,2955.0,3110.0,3060.0,178974.0
12,2020-05-13,3045.0,2960.0,3045.0,2995.0,70941.0
13,2020-05-14,3000.0,2870.0,2960.0,2870.0,122278.0
14,2020-05-15,2995.0,2860.0,2870.0,2975.0,188147.0
15,2020-05-18,2990.0,2905.0,2980.0,2980.0,99594.0
16,2020-05-19,3000.0,2950.0,2980.0,2980.0,97661.0
17,2020-05-20,3050.0,2980.0,2980.0,3040.0,130461.0
18,2020-05-21,3080.0,3020.0,3040.0,3055.0,79171.0
19,2020-05-22,3070.0,2940.0,3050.0,3030.0,106150.0
20,2020-05-25,3065.0,2960.0,3030.0,3030.0,75864.0
21,2020-05-26,3070.0,2965.0,3035.0,3025.0,113285.0
22,2020-05-27,3060.0,2995.0,3025.0,3035.0,145071.0
23,2020-05-28,3100.0,2980.0,3035.0,3060.0,172142.0
24,2020-05-29,3180.0,3005.0,3005.0,3140.0,252636.0
25,2020-06-01,3245.0,3050.0,3140.0,3195.0,290120.0
26,2020-06-02,3295.0,3120.0,3165.0,3215.0,380446.0
27,2020-06-03,3250.0,3135.0,3215.0,3235.0,224171.0
28,2020-06-04,3285.0,3130.0,3235.0,3200.0,193029.0
29,2020-06-05,3200.0,3100.0,3195.0,3195.0,103134.0
30,2020-06-08,3210.0,3140.0,3195.0,3185.0,61113.0
31,2020-06-09,3195.0,3145.0,3185.0,3180.0,49348.0
32,2020-06-10,3180.0,3060.0,3180.0,3110.0,67070.0
33,2020-06-11,3115.0,3005.0,3050.0,3040.0,90084.0
