,index,High,Low,Open,Close,Volume
0,2020-04-22,15200.0,14200.0,15050.0,14600.0,1151311.0
1,2020-04-23,14450.0,14000.0,14250.0,14300.0,563200.0
2,2020-04-24,14350.0,13600.0,14300.0,13600.0,601599.0
3,2020-04-27,13700.0,13350.0,13650.0,13700.0,463277.0
4,2020-04-28,13900.0,12900.0,13900.0,13100.0,606019.0
5,2020-04-29,13150.0,12750.0,12950.0,13050.0,502653.0
6,2020-05-04,13300.0,12750.0,12900.0,12850.0,473257.0
7,2020-05-06,13100.0,12600.0,13050.0,12800.0,337506.0
8,2020-05-07,13100.0,12650.0,12800.0,13000.0,258763.0
9,2020-05-08,13300.0,13000.0,13100.0,13200.0,289393.0
10,2020-05-11,13450.0,13050.0,13350.0,13100.0,340872.0
11,2020-05-12,13350.0,12650.0,13050.0,13350.0,416010.0
12,2020-05-13,13400.0,13050.0,13200.0,13050.0,310956.0
13,2020-05-14,13300.0,12900.0,13150.0,13000.0,455311.0
14,2020-05-15,13150.0,12650.0,13100.0,12850.0,516313.0
15,2020-05-18,12800.0,12000.0,12750.0,12150.0,623931.0
16,2020-05-19,12450.0,12050.0,12350.0,12100.0,389087.0
17,2020-05-20,12350.0,12050.0,12050.0,12100.0,262557.0
18,2020-05-21,12550.0,12150.0,12200.0,12500.0,440010.0
19,2020-05-22,12600.0,11750.0,12500.0,12150.0,699182.0
20,2020-05-25,12300.0,12000.0,12150.0,12100.0,233177.0
21,2020-05-26,13650.0,12100.0,12200.0,12600.0,1643133.0
22,2020-05-27,13600.0,12700.0,12950.0,13000.0,1032576.0
23,2020-05-28,13250.0,12400.0,13200.0,12650.0,467892.0
24,2020-05-29,12700.0,12400.0,12650.0,12400.0,317242.0
25,2020-06-01,13200.0,12300.0,12400.0,13050.0,699120.0
26,2020-06-02,14150.0,13000.0,13200.0,13950.0,1332864.0
27,2020-06-03,14700.0,13750.0,14250.0,13850.0,1223861.0
28,2020-06-04,14400.0,13750.0,13950.0,14150.0,630920.0
29,2020-06-05,15200.0,14000.0,14250.0,14800.0,1012612.0
30,2020-06-08,15550.0,14800.0,15100.0,14800.0,725894.0
31,2020-06-09,16100.0,14350.0,14850.0,16000.0,1946814.0
32,2020-06-10,17050.0,15900.0,16400.0,16300.0,1894404.0
33,2020-06-11,16600.0,15450.0,16250.0,16000.0,1011520.0
34,2020-06-12,17600.0,15000.0,15000.0,16000.0,2464059.0
35,2020-06-15,16350.0,14650.0,16150.0,14850.0,1264604.0
36,2020-06-16,15750.0,14900.0,15150.0,15650.0,856941.0
37,2020-06-17,16300.0,14900.0,15550.0,15300.0,1164777.0
38,2020-06-18,15450.0,14900.0,15400.0,15200.0,457835.0
39,2020-06-19,15200.0,14300.0,15100.0,14550.0,612700.0
40,2020-06-22,15400.0,14600.0,14650.0,15200.0,730669.0
41,2020-06-23,15500.0,14700.0,15350.0,15450.0,536765.0
42,2020-06-24,15750.0,15050.0,15400.0,15250.0,520982.0
43,2020-06-25,15650.0,14850.0,15050.0,15650.0,591225.0
44,2020-06-26,16900.0,15600.0,15800.0,16600.0,1486281.0
45,2020-06-29,16900.0,15800.0,16400.0,15800.0,801538.0
46,2020-06-30,16750.0,15250.0,16100.0,15950.0,1143009.0
47,2020-07-01,17100.0,11950.0,16350.0,13500.0,4378792.0
48,2020-07-02,16850.0,13850.0,16450.0,14000.0,4581379.0
49,2020-07-03,14250.0,13350.0,13900.0,13500.0,1158628.0
50,2020-07-06,13550.0,12700.0,13550.0,12850.0,1091233.0
51,2020-07-07,13200.0,12800.0,12950.0,12850.0,716544.0
52,2020-07-08,14000.0,12400.0,12900.0,13000.0,1471886.0
53,2020-07-09,13050.0,12550.0,13050.0,12750.0,572454.0
54,2020-07-10,12950.0,12250.0,12550.0,12550.0,764122.0
55,2020-07-13,13100.0,12400.0,12600.0,13000.0,577202.0
56,2020-07-14,13100.0,12800.0,12950.0,12850.0,457979.0
57,2020-07-15,13000.0,12700.0,12900.0,12950.0,365210.0
