,index,High,Low,Open,Close,Volume
0,2020-05-04,9050.0,8580.0,8770.0,9020.0,48733.0
1,2020-05-06,9180.0,8960.0,9030.0,9160.0,71133.0
2,2020-05-07,9270.0,9070.0,9160.0,9070.0,36399.0
3,2020-05-08,9360.0,9100.0,9180.0,9220.0,58556.0
4,2020-05-11,9380.0,9130.0,9380.0,9150.0,43356.0
5,2020-05-12,9190.0,8980.0,8990.0,9150.0,30056.0
6,2020-05-13,9250.0,8900.0,9090.0,9160.0,60015.0
7,2020-05-14,9120.0,8880.0,9120.0,8930.0,42659.0
8,2020-05-15,9210.0,8880.0,9210.0,9010.0,32955.0
9,2020-05-18,9800.0,8990.0,9200.0,9030.0,163179.0
10,2020-05-19,9230.0,9030.0,9080.0,9140.0,27745.0
11,2020-05-20,9400.0,9190.0,9260.0,9360.0,38846.0
12,2020-05-21,9460.0,9250.0,9460.0,9350.0,20403.0
13,2020-05-22,9430.0,9050.0,9330.0,9190.0,18970.0
14,2020-05-25,9310.0,9020.0,9310.0,9090.0,12421.0
15,2020-05-26,9210.0,9020.0,9140.0,9180.0,13121.0
16,2020-05-27,9400.0,9080.0,9270.0,9210.0,27592.0
17,2020-05-28,9200.0,8960.0,9150.0,9060.0,24574.0
18,2020-05-29,9110.0,8910.0,9060.0,9030.0,12842.0
19,2020-06-01,9130.0,9000.0,9000.0,9130.0,16318.0
20,2020-06-02,9390.0,9020.0,9230.0,9060.0,86259.0
21,2020-06-03,9180.0,8980.0,9080.0,9000.0,39755.0
22,2020-06-04,9150.0,8960.0,9070.0,9080.0,31618.0
23,2020-06-05,9160.0,9040.0,9120.0,9130.0,23564.0
24,2020-06-08,9130.0,8990.0,9090.0,9050.0,38286.0
25,2020-06-09,9120.0,8950.0,9010.0,9120.0,26505.0
26,2020-06-10,9130.0,9000.0,9050.0,9070.0,32025.0
27,2020-06-11,9350.0,9000.0,9240.0,9000.0,62256.0
28,2020-06-12,8840.0,8510.0,8570.0,8800.0,43199.0
29,2020-06-15,8800.0,7950.0,8700.0,8010.0,75373.0
30,2020-06-16,9490.0,8120.0,8120.0,8510.0,840668.0
31,2020-06-17,8720.0,8280.0,8500.0,8510.0,60497.0
32,2020-06-18,8790.0,8460.0,8540.0,8680.0,66904.0
33,2020-06-19,8780.0,8470.0,8710.0,8580.0,46636.0
34,2020-06-22,8560.0,8400.0,8530.0,8520.0,26886.0
35,2020-06-23,8530.0,8350.0,8450.0,8460.0,12769.0
36,2020-06-24,8550.0,8420.0,8550.0,8500.0,28878.0
37,2020-06-25,8610.0,8310.0,8400.0,8570.0,26169.0
38,2020-06-26,8540.0,8400.0,8540.0,8400.0,23777.0
39,2020-06-29,8490.0,8190.0,8400.0,8200.0,15500.0
40,2020-06-30,8280.0,8150.0,8210.0,8180.0,18367.0
41,2020-07-01,8320.0,8170.0,8270.0,8220.0,3380.0
42,2020-07-02,8380.0,8240.0,8290.0,8360.0,5849.0
43,2020-07-03,8420.0,8310.0,8390.0,8420.0,4929.0
44,2020-07-06,8500.0,8350.0,8420.0,8430.0,15907.0
45,2020-07-07,8430.0,8230.0,8430.0,8400.0,17673.0
46,2020-07-08,8440.0,8220.0,8440.0,8320.0,5812.0
47,2020-07-09,8420.0,8220.0,8300.0,8250.0,17640.0
48,2020-07-10,8390.0,8190.0,8230.0,8210.0,11478.0
49,2020-07-13,8300.0,8180.0,8210.0,8230.0,7257.0
50,2020-07-14,8350.0,8090.0,8230.0,8300.0,17721.0
51,2020-07-15,8380.0,8200.0,8380.0,8270.0,13262.0
52,2020-07-16,8350.0,8210.0,8210.0,8330.0,10805.0
53,2020-07-17,8350.0,8270.0,8330.0,8320.0,10796.0
54,2020-07-20,8450.0,8280.0,8450.0,8340.0,22745.0
55,2020-07-21,8390.0,8290.0,8380.0,8320.0,22395.0
56,2020-07-22,8500.0,8290.0,8310.0,8450.0,26095.0
57,2020-07-23,8520.0,8250.0,8520.0,8330.0,15841.0
58,2020-07-24,8700.0,8230.0,8320.0,8520.0,132741.0
59,2020-07-27,8650.0,8400.0,8600.0,8520.0,22677.0
60,2020-07-28,8710.0,8450.0,8450.0,8570.0,15655.0
61,2020-07-29,8560.0,8420.0,8440.0,8420.0,16037.0
62,2020-07-30,8470.0,8270.0,8410.0,8420.0,16746.0
63,2020-07-31,8600.0,8190.0,8350.0,8330.0,27969.0
64,2020-08-03,8440.0,7510.0,8330.0,8400.0,16455.0
65,2020-08-04,9010.0,8340.0,8440.0,8550.0,128669.0
66,2020-08-05,8630.0,8460.0,8540.0,8460.0,17506.0
67,2020-08-06,8890.0,8420.0,8580.0,8510.0,116734.0
68,2020-08-07,8670.0,8470.0,8510.0,8500.0,29367.0
69,2020-08-10,8980.0,8150.0,8650.0,8540.0,64480.0
70,2020-08-11,8720.0,8490.0,8540.0,8560.0,26201.0
71,2020-08-12,8730.0,8470.0,8730.0,8550.0,19604.0
72,2020-08-13,8730.0,8570.0,8570.0,8590.0,73804.0
73,2020-08-14,8660.0,8490.0,8640.0,8530.0,20946.0
74,2020-08-18,8600.0,8210.0,8600.0,8280.0,49471.0
75,2020-08-19,9200.0,8010.0,8280.0,8620.0,404467.0
76,2020-08-20,9200.0,8490.0,8780.0,8650.0,180344.0
77,2020-08-21,8840.0,8420.0,8650.0,8500.0,29783.0
78,2020-08-24,8630.0,8420.0,8620.0,8520.0,11356.0
79,2020-08-25,8630.0,8200.0,8630.0,8500.0,26580.0
80,2020-08-26,8570.0,8380.0,8430.0,8520.0,27691.0
81,2020-08-27,8600.0,8400.0,8600.0,8410.0,17091.0
82,2020-08-28,8800.0,8390.0,8390.0,8540.0,52573.0
83,2020-08-31,9190.0,8540.0,8680.0,8850.0,325094.0
84,2020-09-01,8990.0,8670.0,8900.0,8800.0,18578.0
85,2020-09-02,9750.0,8760.0,8870.0,8800.0,229468.0
86,2020-09-03,9140.0,8730.0,8900.0,8980.0,51291.0
87,2020-09-04,9640.0,8700.0,8770.0,9380.0,392908.0
88,2020-09-07,9970.0,9100.0,9340.0,9300.0,556859.0
89,2020-09-08,9540.0,9290.0,9400.0,9300.0,102452.0
90,2020-09-09,9480.0,9100.0,9170.0,9290.0,94287.0
91,2020-09-10,9540.0,9150.0,9290.0,9420.0,98638.0
92,2020-09-11,9470.0,9100.0,9470.0,9240.0,59065.0
93,2020-09-14,9540.0,9270.0,9380.0,9440.0,92972.0
94,2020-09-15,9910.0,9310.0,9500.0,9430.0,109962.0
95,2020-09-16,9570.0,9330.0,9430.0,9430.0,30852.0
96,2020-09-17,9700.0,9150.0,9430.0,9170.0,153047.0
