,index,High,Low,Open,Close,Volume
0,2020-05-08,7640.0,7300.0,7490.0,7460.0,2830359.0
1,2020-05-11,7190.0,6870.0,7150.0,6920.0,1472856.0
2,2020-05-12,7120.0,6690.0,6880.0,6850.0,839773.0
3,2020-05-13,6910.0,6730.0,6780.0,6810.0,334663.0
4,2020-05-14,7200.0,6900.0,6940.0,7120.0,1383991.0
5,2020-05-15,7350.0,6970.0,7290.0,7050.0,610956.0
6,2020-05-18,7450.0,6950.0,7120.0,7200.0,1218457.0
7,2020-05-19,7280.0,7020.0,7280.0,7180.0,521980.0
8,2020-05-20,7300.0,7120.0,7200.0,7220.0,501845.0
9,2020-05-21,7180.0,7060.0,7180.0,7070.0,437835.0
10,2020-05-22,6990.0,6760.0,6940.0,6820.0,750554.0
11,2020-05-25,6760.0,6600.0,6750.0,6680.0,446297.0
12,2020-05-26,6880.0,6650.0,6660.0,6870.0,445974.0
13,2020-05-27,6870.0,6700.0,6870.0,6730.0,308652.0
14,2020-05-28,7050.0,6550.0,6840.0,6720.0,751155.0
15,2020-05-29,6980.0,6690.0,6890.0,6830.0,358320.0
16,2020-06-01,6930.0,6720.0,6800.0,6850.0,352262.0
17,2020-06-02,7170.0,6940.0,7030.0,6990.0,972261.0
18,2020-06-03,6920.0,6790.0,6900.0,6810.0,429170.0
19,2020-06-04,6920.0,6770.0,6850.0,6810.0,285863.0
20,2020-06-05,7020.0,6830.0,6830.0,6880.0,370348.0
21,2020-06-08,7040.0,6880.0,6950.0,7040.0,454978.0
22,2020-06-09,7100.0,6760.0,7080.0,6800.0,607565.0
23,2020-06-10,6830.0,6580.0,6780.0,6730.0,508690.0
24,2020-06-11,6780.0,6300.0,6740.0,6370.0,858016.0
25,2020-06-12,6170.0,5810.0,5960.0,6160.0,891401.0
26,2020-06-15,6130.0,5330.0,6130.0,5350.0,979762.0
27,2020-06-16,5720.0,5510.0,5510.0,5640.0,480608.0
28,2020-06-17,5840.0,5540.0,5650.0,5700.0,369138.0
29,2020-06-18,5830.0,5600.0,5700.0,5830.0,273069.0
30,2020-06-19,5890.0,5720.0,5890.0,5800.0,240234.0
31,2020-06-22,6100.0,5680.0,5700.0,5840.0,538121.0
32,2020-06-23,6250.0,5930.0,5960.0,6130.0,831808.0
33,2020-06-24,7030.0,6070.0,6130.0,6650.0,5635150.0
34,2020-06-25,6500.0,6230.0,6400.0,6260.0,852150.0
35,2020-06-26,6350.0,6080.0,6310.0,6120.0,318592.0
36,2020-06-29,6660.0,5950.0,6060.0,6240.0,1423267.0
37,2020-06-30,6380.0,6050.0,6290.0,6130.0,353610.0
38,2020-07-01,6190.0,5960.0,6190.0,5960.0,286624.0
39,2020-07-02,6070.0,5920.0,5960.0,5970.0,208468.0
40,2020-07-03,6150.0,5960.0,6000.0,6090.0,205935.0
41,2020-07-06,6400.0,6090.0,6150.0,6220.0,444248.0
42,2020-07-07,6360.0,6120.0,6340.0,6250.0,251595.0
43,2020-07-08,6370.0,6040.0,6210.0,6200.0,393798.0
44,2020-07-09,6400.0,6190.0,6330.0,6250.0,292333.0
45,2020-07-10,6310.0,6100.0,6190.0,6140.0,336776.0
46,2020-07-13,6260.0,6140.0,6200.0,6230.0,294944.0
47,2020-07-14,6210.0,6010.0,6200.0,6060.0,385395.0
48,2020-07-15,6130.0,6020.0,6100.0,6060.0,249065.0
49,2020-07-16,6080.0,5870.0,6050.0,5900.0,428150.0
50,2020-07-17,6000.0,5840.0,5900.0,5950.0,171465.0
51,2020-07-20,5980.0,5800.0,5960.0,5930.0,237653.0
52,2020-07-21,6020.0,5900.0,5950.0,5980.0,239782.0
53,2020-07-22,6070.0,5970.0,6000.0,6050.0,253229.0
54,2020-07-23,6110.0,5990.0,6080.0,6020.0,294564.0
55,2020-07-24,6050.0,5890.0,6030.0,5940.0,259510.0
56,2020-07-27,6360.0,6040.0,6070.0,6300.0,1133727.0
57,2020-07-28,7250.0,6560.0,6800.0,6710.0,5386033.0
58,2020-07-29,6800.0,6410.0,6700.0,6800.0,791696.0
59,2020-07-30,7040.0,6780.0,7020.0,6830.0,803534.0
60,2020-07-31,6910.0,6670.0,6800.0,6740.0,492283.0
61,2020-08-03,7200.0,6790.0,6830.0,7070.0,1364876.0
62,2020-08-04,7160.0,6990.0,7030.0,7060.0,715396.0
63,2020-08-05,7120.0,6900.0,7070.0,6940.0,485598.0
64,2020-08-06,7140.0,6910.0,7110.0,7000.0,452547.0
65,2020-08-07,8160.0,7230.0,7250.0,7670.0,7047953.0
66,2020-08-10,7770.0,7150.0,7520.0,7700.0,1433358.0
67,2020-08-11,7720.0,7450.0,7700.0,7480.0,706989.0
68,2020-08-12,7340.0,6880.0,7300.0,6960.0,1105758.0
69,2020-08-13,7120.0,6940.0,7040.0,6980.0,440296.0
70,2020-08-14,7130.0,6850.0,7020.0,6950.0,433153.0
71,2020-08-18,7210.0,6600.0,7110.0,6710.0,1371685.0
72,2020-08-19,6840.0,6580.0,6750.0,6630.0,454574.0
73,2020-08-20,6630.0,6060.0,6630.0,6400.0,854876.0
74,2020-08-21,6540.0,6270.0,6400.0,6400.0,245562.0
75,2020-08-24,6330.0,6150.0,6210.0,6270.0,261551.0
76,2020-08-25,6550.0,6300.0,6300.0,6380.0,409371.0
77,2020-08-26,6390.0,6140.0,6370.0,6230.0,441706.0
78,2020-08-27,6620.0,6150.0,6250.0,6230.0,1052567.0
79,2020-08-28,6310.0,6200.0,6300.0,6240.0,311590.0
80,2020-08-31,6400.0,6240.0,6250.0,6300.0,318469.0
