,index,High,Low,Open,Close,Volume
0,2020-05-08,4510.0,4255.0,4475.0,4480.0,44909.0
1,2020-05-11,4800.0,4440.0,4480.0,4555.0,91590.0
2,2020-05-12,4710.0,4500.0,4555.0,4695.0,25551.0
3,2020-05-13,4750.0,4625.0,4695.0,4750.0,10869.0
4,2020-05-14,4810.0,4675.0,4750.0,4795.0,9883.0
5,2020-05-15,4980.0,4745.0,4820.0,4975.0,44494.0
6,2020-05-18,5090.0,4950.0,5090.0,5090.0,26932.0
7,2020-05-19,5120.0,4875.0,5090.0,5000.0,13171.0
8,2020-05-20,5000.0,4925.0,5000.0,4975.0,6479.0
9,2020-05-21,4990.0,4930.0,4975.0,4965.0,6249.0
10,2020-05-22,4990.0,4875.0,4965.0,4940.0,5768.0
11,2020-05-25,4940.0,4650.0,4940.0,4845.0,11717.0
12,2020-05-26,4880.0,4770.0,4845.0,4840.0,9592.0
13,2020-05-27,4935.0,4450.0,4935.0,4640.0,24430.0
14,2020-05-28,4925.0,4665.0,4925.0,4820.0,9135.0
15,2020-05-29,4805.0,4660.0,4765.0,4730.0,12023.0
16,2020-06-01,4910.0,4695.0,4910.0,4745.0,9574.0
17,2020-06-02,4900.0,4745.0,4900.0,4800.0,10512.0
18,2020-06-03,4910.0,4500.0,4910.0,4630.0,21455.0
19,2020-06-04,4730.0,4495.0,4590.0,4730.0,23194.0
20,2020-06-05,4730.0,4635.0,4730.0,4635.0,6142.0
21,2020-06-08,4630.0,4510.0,4580.0,4510.0,11540.0
22,2020-06-09,4750.0,4385.0,4510.0,4495.0,22321.0
23,2020-06-10,4495.0,4150.0,4455.0,4385.0,34128.0
24,2020-06-11,4425.0,4155.0,4385.0,4395.0,12595.0
25,2020-06-12,4330.0,4080.0,4330.0,4200.0,16473.0
26,2020-06-15,4205.0,3570.0,4200.0,3750.0,56868.0
27,2020-06-16,3895.0,3690.0,3750.0,3895.0,35595.0
28,2020-06-17,3925.0,3850.0,3895.0,3900.0,17449.0
29,2020-06-18,3995.0,3850.0,3900.0,3995.0,11049.0
30,2020-06-19,4410.0,3995.0,3995.0,4210.0,23913.0
31,2020-06-22,4305.0,4145.0,4210.0,4205.0,12114.0
32,2020-06-23,4475.0,4190.0,4205.0,4345.0,18464.0
33,2020-06-24,4385.0,4255.0,4345.0,4290.0,8809.0
34,2020-06-25,4290.0,4030.0,4290.0,4145.0,14967.0
35,2020-06-26,4145.0,3960.0,4145.0,4145.0,28642.0
36,2020-06-29,4125.0,3800.0,4125.0,3900.0,46197.0
37,2020-06-30,4270.0,3890.0,4040.0,4070.0,31947.0
38,2020-07-01,4110.0,3905.0,4070.0,4075.0,7598.0
39,2020-07-02,4105.0,4040.0,4075.0,4040.0,6562.0
40,2020-07-03,4085.0,4040.0,4070.0,4040.0,5859.0
41,2020-07-06,4080.0,3980.0,4040.0,4000.0,8574.0
42,2020-07-07,4145.0,3850.0,4145.0,3910.0,23054.0
43,2020-07-08,3955.0,3860.0,3910.0,3930.0,13832.0
44,2020-07-09,3960.0,3910.0,3935.0,3960.0,3421.0
45,2020-07-10,3955.0,3850.0,3955.0,3930.0,18730.0
46,2020-07-13,3930.0,3700.0,3915.0,3870.0,19432.0
47,2020-07-14,3835.0,3740.0,3830.0,3810.0,17847.0
48,2020-07-15,3880.0,3755.0,3810.0,3865.0,15991.0
49,2020-07-16,3900.0,3830.0,3870.0,3875.0,6618.0
50,2020-07-17,3935.0,3835.0,3840.0,3935.0,12135.0
51,2020-07-20,4090.0,3885.0,3935.0,4065.0,31127.0
52,2020-07-21,4085.0,4005.0,4085.0,4020.0,7000.0
53,2020-07-22,4060.0,3955.0,4020.0,4060.0,7093.0
54,2020-07-23,4105.0,4000.0,4100.0,4005.0,6435.0
55,2020-07-24,4005.0,3940.0,4005.0,3985.0,14049.0
56,2020-07-27,4005.0,3965.0,3985.0,4000.0,5945.0
57,2020-07-28,4020.0,3975.0,4000.0,4000.0,8780.0
58,2020-07-29,4040.0,3975.0,4000.0,3995.0,2604.0
59,2020-07-30,4035.0,3935.0,4000.0,3965.0,9535.0
60,2020-07-31,3980.0,3940.0,3965.0,3940.0,5082.0
61,2020-08-03,3940.0,3760.0,3940.0,3930.0,12192.0
