,index,High,Low,Open,Close,Volume
0,2020-05-08,14600.0,14450.0,14500.0,14550.0,2616.0
1,2020-05-11,14550.0,14200.0,14550.0,14400.0,3051.0
2,2020-05-12,14500.0,14200.0,14300.0,14400.0,4109.0
3,2020-05-13,14600.0,14350.0,14400.0,14450.0,3131.0
4,2020-05-14,14400.0,14200.0,14400.0,14250.0,2170.0
5,2020-05-15,14550.0,14100.0,14500.0,14550.0,4560.0
6,2020-05-18,14500.0,14350.0,14500.0,14500.0,3161.0
7,2020-05-19,14700.0,14450.0,14700.0,14550.0,3939.0
8,2020-05-20,14600.0,14400.0,14400.0,14550.0,876.0
9,2020-05-21,14700.0,14450.0,14550.0,14650.0,7079.0
10,2020-05-22,14650.0,14400.0,14650.0,14550.0,2881.0
11,2020-05-25,14700.0,14350.0,14400.0,14450.0,2399.0
12,2020-05-26,14600.0,14400.0,14400.0,14550.0,711.0
13,2020-05-27,14700.0,14500.0,14550.0,14650.0,5615.0
14,2020-05-28,14750.0,14450.0,14700.0,14750.0,6442.0
15,2020-05-29,14800.0,14650.0,14750.0,14700.0,3803.0
16,2020-06-01,15100.0,14550.0,14700.0,14900.0,7340.0
17,2020-06-02,15100.0,14800.0,15000.0,15100.0,3211.0
18,2020-06-03,15150.0,14950.0,15100.0,15050.0,10132.0
19,2020-06-04,15150.0,14850.0,15050.0,15100.0,7149.0
20,2020-06-05,15300.0,15100.0,15100.0,15300.0,9061.0
21,2020-06-08,15850.0,15250.0,15300.0,15800.0,19871.0
22,2020-06-09,16100.0,15450.0,15900.0,15700.0,24513.0
23,2020-06-10,16050.0,15600.0,15700.0,15950.0,10096.0
24,2020-06-11,16400.0,15750.0,15950.0,16350.0,24735.0
25,2020-06-12,16150.0,15600.0,15900.0,16100.0,22710.0
26,2020-06-15,16300.0,15800.0,16000.0,15950.0,23343.0
27,2020-06-16,16100.0,15700.0,15950.0,16000.0,11363.0
28,2020-06-17,16200.0,15600.0,15850.0,16000.0,16244.0
