,index,High,Low,Open,Close,Volume
0,2020-05-04,72900.0,69900.0,71700.0,70900.0,103792.0
1,2020-05-06,72600.0,70700.0,72100.0,71300.0,114991.0
2,2020-05-07,73200.0,70500.0,70800.0,70900.0,97750.0
3,2020-05-08,72300.0,70600.0,71500.0,70800.0,108534.0
4,2020-05-11,70600.0,68000.0,70200.0,68300.0,214975.0
5,2020-05-12,68200.0,66800.0,67800.0,67100.0,128175.0
6,2020-05-13,67000.0,66000.0,67000.0,66300.0,111979.0
7,2020-05-14,66300.0,64200.0,66300.0,64900.0,131345.0
8,2020-05-15,66100.0,64200.0,65100.0,65100.0,87090.0
9,2020-05-18,67300.0,64900.0,65700.0,66600.0,79919.0
10,2020-05-19,69800.0,67900.0,68100.0,69500.0,127911.0
11,2020-05-20,69800.0,68500.0,69000.0,68900.0,53086.0
12,2020-05-21,69500.0,68300.0,69000.0,68500.0,88815.0
13,2020-05-22,69200.0,66100.0,69200.0,66400.0,96763.0
14,2020-05-25,67300.0,64400.0,67000.0,65600.0,133436.0
15,2020-05-26,67000.0,65000.0,65500.0,66100.0,140425.0
16,2020-05-27,67000.0,65200.0,66900.0,65400.0,211907.0
17,2020-05-28,67700.0,63900.0,67700.0,64800.0,272131.0
18,2020-05-29,64800.0,62100.0,64800.0,64000.0,347426.0
19,2020-06-01,64500.0,63000.0,64100.0,64500.0,109579.0
20,2020-06-02,65400.0,64100.0,64500.0,65100.0,125737.0
21,2020-06-03,66700.0,65100.0,65500.0,66000.0,221219.0
22,2020-06-04,68200.0,65600.0,67100.0,65800.0,214179.0
23,2020-06-05,67200.0,65100.0,66000.0,66100.0,187154.0
24,2020-06-08,67300.0,65500.0,67300.0,65600.0,156183.0
25,2020-06-09,66200.0,65000.0,66000.0,65400.0,117592.0
26,2020-06-10,65800.0,64600.0,65400.0,64900.0,104583.0
27,2020-06-11,64900.0,62800.0,64600.0,63300.0,187244.0
28,2020-06-12,61700.0,60200.0,60200.0,61400.0,159488.0
29,2020-06-15,61200.0,58200.0,60800.0,58300.0,155869.0
30,2020-06-16,60500.0,58900.0,58900.0,60400.0,85320.0
31,2020-06-17,60300.0,58100.0,60000.0,58900.0,137616.0
32,2020-06-18,59500.0,58300.0,58500.0,58600.0,81967.0
33,2020-06-19,60300.0,59200.0,60000.0,59200.0,148825.0
34,2020-06-22,59900.0,58700.0,59100.0,58700.0,51648.0
35,2020-06-23,59700.0,57800.0,59700.0,58000.0,113942.0
36,2020-06-24,58700.0,57900.0,58000.0,58100.0,73220.0
37,2020-06-25,57600.0,56300.0,57500.0,56300.0,116663.0
38,2020-06-26,57500.0,55600.0,56600.0,56500.0,108886.0
39,2020-06-29,56500.0,54000.0,56100.0,54600.0,132907.0
40,2020-06-30,58700.0,54800.0,55200.0,56300.0,202070.0
41,2020-07-01,58100.0,56100.0,56900.0,57200.0,92804.0
42,2020-07-02,59300.0,56600.0,57000.0,59300.0,141139.0
43,2020-07-03,61300.0,59000.0,59500.0,61100.0,140712.0
44,2020-07-06,63200.0,61100.0,61600.0,63000.0,151408.0
45,2020-07-07,63900.0,61600.0,63200.0,61800.0,136243.0
46,2020-07-08,62200.0,61100.0,61600.0,61400.0,101049.0
47,2020-07-09,62000.0,60300.0,61800.0,60700.0,104664.0
48,2020-07-10,60800.0,58600.0,60700.0,58700.0,128658.0
49,2020-07-13,60300.0,58700.0,59200.0,59500.0,100511.0
50,2020-07-14,59900.0,58700.0,59400.0,59900.0,65549.0
51,2020-07-15,61400.0,59600.0,60500.0,59800.0,98221.0
52,2020-07-16,61800.0,60100.0,60200.0,61200.0,110947.0
53,2020-07-17,61900.0,60000.0,60900.0,60500.0,88456.0
54,2020-07-20,61000.0,60000.0,60500.0,60400.0,59494.0
55,2020-07-21,61600.0,60200.0,60600.0,60800.0,98929.0
56,2020-07-22,61700.0,60600.0,61000.0,60800.0,85970.0
57,2020-07-23,60700.0,59300.0,60700.0,59700.0,108846.0
58,2020-07-24,60200.0,58600.0,59100.0,59800.0,77227.0
59,2020-07-27,60300.0,59300.0,59300.0,59500.0,77161.0
60,2020-07-28,60700.0,58800.0,59500.0,59600.0,106283.0
61,2020-07-29,60000.0,58800.0,59500.0,59300.0,84862.0
62,2020-07-30,61500.0,59300.0,59300.0,60900.0,131148.0
63,2020-07-31,61300.0,59700.0,60900.0,59700.0,88381.0
64,2020-08-03,59900.0,58400.0,59500.0,58500.0,105880.0
65,2020-08-04,59800.0,58500.0,59000.0,59400.0,70565.0
66,2020-08-05,59700.0,58700.0,59100.0,58900.0,90733.0
67,2020-08-06,59700.0,58700.0,59000.0,59600.0,81160.0
68,2020-08-07,61100.0,59400.0,59700.0,60200.0,130521.0
69,2020-08-10,62100.0,59500.0,60200.0,61600.0,150710.0
70,2020-08-11,62600.0,61200.0,61600.0,62500.0,145853.0
71,2020-08-12,65500.0,63000.0,63100.0,64800.0,246710.0
72,2020-08-13,65200.0,61600.0,65100.0,62700.0,452456.0
73,2020-08-14,63800.0,62000.0,62600.0,63400.0,200118.0
74,2020-08-18,62000.0,59800.0,61200.0,59900.0,239499.0
75,2020-08-19,60900.0,59500.0,60200.0,60300.0,90116.0
76,2020-08-20,60400.0,57900.0,59900.0,58300.0,155463.0
77,2020-08-21,59200.0,57400.0,58300.0,57700.0,120640.0
78,2020-08-24,57800.0,56000.0,57500.0,56500.0,157000.0
79,2020-08-25,58100.0,56800.0,56900.0,57400.0,170652.0
80,2020-08-26,57200.0,56100.0,57100.0,56600.0,179178.0
81,2020-08-27,56300.0,54400.0,56300.0,54600.0,319492.0
82,2020-08-28,56700.0,54900.0,55000.0,55700.0,261233.0
83,2020-08-31,57200.0,53700.0,56000.0,53700.0,1731829.0
84,2020-09-01,55400.0,53800.0,54300.0,54900.0,320255.0
85,2020-09-02,57800.0,55300.0,56100.0,56500.0,370906.0
86,2020-09-03,58000.0,56500.0,57000.0,56500.0,287154.0
87,2020-09-04,56200.0,55100.0,55300.0,55800.0,194702.0
88,2020-09-07,57100.0,55600.0,56100.0,56300.0,174472.0
89,2020-09-08,57100.0,56300.0,56800.0,56400.0,152605.0
90,2020-09-09,56600.0,55400.0,55900.0,56000.0,125147.0
91,2020-09-10,57200.0,55900.0,56500.0,56400.0,262036.0
92,2020-09-11,57400.0,56200.0,56400.0,56300.0,269437.0
93,2020-09-14,58400.0,56700.0,57000.0,57200.0,324102.0
94,2020-09-15,58000.0,56600.0,57500.0,57400.0,219583.0
95,2020-09-16,58500.0,57100.0,57600.0,57700.0,257684.0
96,2020-09-17,57700.0,56500.0,57700.0,57000.0,221461.0
97,2020-09-18,57500.0,56700.0,57400.0,56800.0,151601.0
98,2020-09-21,58600.0,56600.0,57100.0,57200.0,319414.0
99,2020-09-22,57200.0,55500.0,57200.0,55700.0,200047.0
100,2020-09-23,56300.0,54400.0,55800.0,54800.0,217984.0
101,2020-09-24,54200.0,53200.0,54200.0,53300.0,239926.0
102,2020-09-25,54000.0,53000.0,53900.0,53900.0,135588.0
103,2020-09-28,55600.0,54100.0,54400.0,55600.0,104134.0
104,2020-09-29,56700.0,55500.0,56100.0,56300.0,155064.0
105,2020-10-05,57300.0,56300.0,56500.0,56900.0,156400.0
106,2020-10-06,57400.0,56500.0,57000.0,57000.0,112722.0
107,2020-10-07,57400.0,56200.0,57000.0,57000.0,121889.0
108,2020-10-08,58200.0,57000.0,57600.0,57100.0,188553.0
109,2020-10-12,59100.0,57600.0,57800.0,59100.0,379737.0
