,index,High,Low,Open,Close,Volume
0,2020-09-09,31800.0,25300.0,28000.0,26800.0,8304697.0
1,2020-09-10,28600.0,26300.0,27300.0,26400.0,778502.0
2,2020-09-11,27150.0,25150.0,26100.0,25150.0,507465.0
3,2020-09-14,27150.0,24600.0,25450.0,26600.0,639973.0
4,2020-09-15,28850.0,26100.0,26650.0,27350.0,870515.0
5,2020-09-16,28850.0,26550.0,28050.0,27000.0,331928.0
6,2020-09-17,27200.0,25600.0,27000.0,25750.0,275289.0
7,2020-09-18,25950.0,25150.0,25750.0,25450.0,99937.0
8,2020-09-21,25850.0,23400.0,25400.0,23800.0,161173.0
9,2020-09-22,23550.0,22150.0,23500.0,22250.0,151167.0
10,2020-09-23,24200.0,22200.0,22850.0,23300.0,136432.0
11,2020-09-24,22900.0,21250.0,22750.0,21800.0,162999.0
12,2020-09-25,22450.0,21250.0,22050.0,21350.0,65760.0
13,2020-09-28,21850.0,21300.0,21350.0,21450.0,44019.0
14,2020-09-29,22500.0,21450.0,21650.0,21800.0,60290.0
15,2020-10-05,24150.0,21950.0,22050.0,23250.0,148313.0
16,2020-10-06,24300.0,22750.0,23750.0,23000.0,80263.0
17,2020-10-07,24450.0,23200.0,23200.0,24100.0,79937.0
18,2020-10-08,24750.0,23800.0,24250.0,23900.0,68330.0
19,2020-10-12,22850.0,22350.0,22450.0,22700.0,204422.0
20,2020-10-13,22950.0,21950.0,22800.0,22450.0,57414.0
21,2020-10-14,22650.0,22000.0,22500.0,22050.0,39765.0
22,2020-10-15,22100.0,20950.0,22000.0,22050.0,101106.0
23,2020-10-16,22400.0,21300.0,22000.0,21400.0,39268.0
24,2020-10-19,22050.0,20650.0,21300.0,21500.0,82484.0
25,2020-10-20,22250.0,21150.0,21500.0,22150.0,104929.0
26,2020-10-21,22750.0,21050.0,22300.0,22450.0,422224.0
27,2020-10-22,22800.0,21350.0,22450.0,22650.0,101281.0
28,2020-10-23,23600.0,21600.0,22450.0,21600.0,300998.0
29,2020-10-26,22400.0,21100.0,21350.0,22350.0,122826.0
30,2020-10-27,22500.0,21750.0,21950.0,21850.0,42769.0
31,2020-10-28,23750.0,22300.0,22800.0,22300.0,207579.0
32,2020-10-29,22350.0,21300.0,21950.0,21750.0,67597.0
33,2020-10-30,23150.0,21750.0,21800.0,22250.0,125526.0
34,2020-11-02,23350.0,22000.0,22250.0,23000.0,83595.0
35,2020-11-03,24100.0,22800.0,23200.0,23700.0,151666.0
36,2020-11-04,26250.0,23350.0,24050.0,23950.0,434111.0
37,2020-11-05,27500.0,23750.0,24000.0,26700.0,685663.0
38,2020-11-06,28450.0,25300.0,26700.0,26200.0,558484.0
39,2020-11-09,27250.0,25550.0,26450.0,26100.0,235125.0
40,2020-11-10,26100.0,24350.0,26000.0,24400.0,209154.0
41,2020-11-11,25750.0,24250.0,24300.0,24850.0,143367.0
