,index,High,Low,Open,Close,Volume
0,2020-04-22,4205.0,4030.0,4205.0,4160.0,25442.0
1,2020-04-23,4245.0,4135.0,4175.0,4190.0,17179.0
2,2020-04-24,4190.0,4050.0,4150.0,4150.0,15490.0
3,2020-04-27,4300.0,4065.0,4065.0,4250.0,41093.0
4,2020-04-28,4255.0,4135.0,4255.0,4200.0,29017.0
5,2020-04-29,4295.0,4165.0,4200.0,4200.0,14817.0
6,2020-05-04,4220.0,4110.0,4220.0,4200.0,11546.0
7,2020-05-06,4275.0,4165.0,4205.0,4235.0,12479.0
8,2020-05-07,4485.0,4200.0,4235.0,4430.0,58121.0
9,2020-05-08,4540.0,4415.0,4425.0,4480.0,23186.0
10,2020-05-11,4600.0,4335.0,4480.0,4480.0,21250.0
11,2020-05-12,4550.0,4390.0,4480.0,4475.0,29871.0
12,2020-05-13,4505.0,4285.0,4450.0,4505.0,29172.0
13,2020-05-14,4595.0,4465.0,4505.0,4520.0,28581.0
14,2020-05-15,4975.0,4435.0,4520.0,4785.0,100321.0
15,2020-05-18,4950.0,4580.0,4950.0,4700.0,70313.0
16,2020-05-19,4840.0,4660.0,4745.0,4720.0,11530.0
17,2020-05-20,5210.0,4600.0,4740.0,5000.0,137192.0
18,2020-05-21,5190.0,4955.0,5000.0,5130.0,88178.0
19,2020-05-22,5180.0,4995.0,5110.0,5060.0,39031.0
20,2020-05-25,5750.0,4935.0,5060.0,5270.0,491923.0
21,2020-05-26,5650.0,5270.0,5270.0,5560.0,139418.0
22,2020-05-27,5720.0,5250.0,5700.0,5360.0,132989.0
23,2020-05-28,5420.0,5060.0,5320.0,5240.0,56663.0
24,2020-05-29,5270.0,5130.0,5270.0,5270.0,35882.0
25,2020-06-01,5650.0,5280.0,5490.0,5420.0,57089.0
26,2020-06-02,5500.0,5360.0,5500.0,5420.0,26145.0
27,2020-06-03,5480.0,5310.0,5420.0,5450.0,20720.0
28,2020-06-04,5560.0,5380.0,5450.0,5430.0,31454.0
29,2020-06-05,5480.0,5330.0,5480.0,5360.0,9662.0
30,2020-06-08,5400.0,5220.0,5400.0,5310.0,23671.0
31,2020-06-09,5370.0,5260.0,5310.0,5270.0,5317.0
32,2020-06-10,5280.0,5170.0,5270.0,5210.0,11680.0
33,2020-06-11,5360.0,5170.0,5300.0,5170.0,27046.0
34,2020-06-12,5110.0,4820.0,5010.0,5040.0,41237.0
35,2020-06-15,5240.0,4860.0,5200.0,4860.0,44251.0
36,2020-06-16,5100.0,4865.0,5000.0,5040.0,17407.0
37,2020-06-17,6350.0,5020.0,5060.0,5500.0,1111890.0
38,2020-06-18,5670.0,5410.0,5560.0,5640.0,95235.0
39,2020-06-19,5980.0,5640.0,5670.0,5800.0,243340.0
40,2020-06-22,5910.0,5650.0,5860.0,5720.0,104860.0
41,2020-06-23,5840.0,5640.0,5720.0,5660.0,41245.0
42,2020-06-24,5950.0,5650.0,5660.0,5950.0,95064.0
43,2020-06-25,5890.0,5620.0,5630.0,5850.0,53759.0
44,2020-06-26,5940.0,5720.0,5820.0,5770.0,13702.0
45,2020-06-29,5830.0,5560.0,5710.0,5650.0,47705.0
46,2020-06-30,5820.0,5550.0,5660.0,5660.0,22137.0
47,2020-07-01,5750.0,5420.0,5750.0,5500.0,22310.0
48,2020-07-02,5690.0,5460.0,5460.0,5540.0,11585.0
49,2020-07-03,5640.0,5500.0,5580.0,5560.0,13873.0
50,2020-07-06,5620.0,5500.0,5550.0,5620.0,9068.0
51,2020-07-07,5680.0,5470.0,5630.0,5570.0,64003.0
52,2020-07-08,5590.0,5430.0,5530.0,5570.0,15605.0
53,2020-07-09,5900.0,5580.0,5580.0,5840.0,72521.0
54,2020-07-10,6040.0,5770.0,6040.0,5800.0,34318.0
55,2020-07-13,5810.0,5660.0,5800.0,5710.0,17399.0
56,2020-07-14,5710.0,5580.0,5710.0,5710.0,26499.0
57,2020-07-15,5850.0,5660.0,5690.0,5750.0,13183.0
58,2020-07-16,5900.0,5720.0,5750.0,5790.0,29253.0
59,2020-07-17,5840.0,5700.0,5800.0,5830.0,21498.0
60,2020-07-20,5880.0,5700.0,5710.0,5710.0,27459.0
61,2020-07-21,5830.0,5690.0,5710.0,5730.0,85639.0
62,2020-07-22,5820.0,5620.0,5730.0,5680.0,18943.0
63,2020-07-23,5680.0,5590.0,5660.0,5600.0,14259.0
64,2020-07-24,5650.0,5350.0,5560.0,5460.0,26168.0
65,2020-07-27,5580.0,5440.0,5460.0,5500.0,22005.0
66,2020-07-28,5930.0,5520.0,5520.0,5930.0,377980.0
67,2020-07-29,7300.0,5930.0,6650.0,6180.0,3543534.0
68,2020-07-30,6320.0,5750.0,6250.0,5900.0,599527.0
69,2020-07-31,6080.0,5740.0,5870.0,5820.0,220444.0
70,2020-08-03,5980.0,5710.0,5820.0,5760.0,317783.0
71,2020-08-04,6000.0,5760.0,5770.0,5980.0,101846.0
72,2020-08-05,5980.0,5700.0,5940.0,5830.0,131660.0
73,2020-08-06,5930.0,5710.0,5860.0,5880.0,68576.0
74,2020-08-07,5930.0,5810.0,5880.0,5840.0,64681.0
75,2020-08-10,6080.0,5730.0,5810.0,6040.0,122549.0
76,2020-08-11,6280.0,6000.0,6090.0,6180.0,170040.0
77,2020-08-12,6170.0,5950.0,6170.0,6150.0,78800.0
78,2020-08-13,6300.0,6130.0,6150.0,6210.0,54113.0
79,2020-08-14,6400.0,6140.0,6290.0,6400.0,223499.0
80,2020-08-18,6670.0,5760.0,6440.0,5820.0,394261.0
81,2020-08-19,6160.0,5820.0,5820.0,6020.0,47731.0
82,2020-08-20,6040.0,5450.0,6030.0,5580.0,165106.0
83,2020-08-21,5690.0,5260.0,5590.0,5350.0,114170.0
84,2020-08-24,5400.0,5120.0,5350.0,5180.0,98290.0
85,2020-08-25,5440.0,5180.0,5210.0,5380.0,51933.0
86,2020-08-26,5470.0,5250.0,5360.0,5300.0,31216.0
87,2020-08-27,5520.0,5220.0,5300.0,5250.0,43014.0
88,2020-08-28,5390.0,5250.0,5250.0,5350.0,24871.0
89,2020-08-31,5490.0,5260.0,5350.0,5280.0,34469.0
90,2020-09-01,5360.0,5250.0,5250.0,5320.0,10096.0
91,2020-09-02,5500.0,5360.0,5380.0,5450.0,18331.0
92,2020-09-03,5580.0,5460.0,5500.0,5550.0,23296.0
93,2020-09-04,5480.0,5310.0,5320.0,5480.0,33728.0
94,2020-09-07,5580.0,5340.0,5480.0,5560.0,61485.0
95,2020-09-08,5690.0,5510.0,5590.0,5590.0,20519.0
96,2020-09-09,5760.0,5420.0,5530.0,5660.0,46977.0
97,2020-09-10,5970.0,5680.0,5680.0,5870.0,77683.0
98,2020-09-11,5940.0,5750.0,5940.0,5870.0,23593.0
99,2020-09-14,5880.0,5740.0,5760.0,5870.0,20529.0
100,2020-09-15,5970.0,5780.0,5930.0,5880.0,26482.0
101,2020-09-16,5960.0,5700.0,5960.0,5730.0,34207.0
102,2020-09-17,5800.0,5590.0,5710.0,5740.0,26537.0
103,2020-09-18,5880.0,5490.0,5880.0,5560.0,60054.0
104,2020-09-21,5600.0,5320.0,5560.0,5390.0,52003.0
105,2020-09-22,5390.0,5160.0,5390.0,5260.0,53691.0
106,2020-09-23,6410.0,5120.0,5240.0,5720.0,3364948.0
107,2020-09-24,5760.0,5360.0,5600.0,5380.0,528338.0
108,2020-09-25,5470.0,5160.0,5400.0,5240.0,214066.0
109,2020-09-28,5470.0,5250.0,5330.0,5320.0,67996.0
110,2020-09-29,5450.0,5320.0,5450.0,5350.0,45264.0
111,2020-10-05,5450.0,5300.0,5380.0,5420.0,43164.0
112,2020-10-06,5520.0,5400.0,5440.0,5470.0,54854.0
113,2020-10-07,5620.0,5400.0,5460.0,5590.0,65216.0
114,2020-10-08,5640.0,5450.0,5640.0,5500.0,43793.0
115,2020-10-12,5530.0,5400.0,5520.0,5450.0,37150.0
116,2020-10-13,5530.0,5440.0,5530.0,5520.0,21136.0
117,2020-10-14,5560.0,5450.0,5510.0,5520.0,25312.0
118,2020-10-15,5510.0,5370.0,5510.0,5440.0,35877.0
119,2020-10-16,5490.0,5280.0,5430.0,5370.0,29739.0
120,2020-10-19,5440.0,5300.0,5320.0,5370.0,17924.0
121,2020-10-20,5430.0,5260.0,5290.0,5420.0,17142.0
122,2020-10-21,5480.0,5370.0,5460.0,5430.0,25429.0
123,2020-10-22,5500.0,5330.0,5500.0,5400.0,21572.0
124,2020-10-23,5490.0,5330.0,5490.0,5390.0,22344.0
125,2020-10-26,5380.0,5140.0,5380.0,5220.0,49729.0
126,2020-10-27,5220.0,5040.0,5050.0,5150.0,44811.0
127,2020-10-28,5290.0,5100.0,5100.0,5230.0,11200.0
128,2020-10-29,5220.0,5050.0,5220.0,5150.0,34214.0
129,2020-10-30,5200.0,5040.0,5200.0,5070.0,13628.0
130,2020-11-02,5100.0,5020.0,5040.0,5030.0,14261.0
131,2020-11-03,5130.0,5050.0,5130.0,5080.0,17616.0
132,2020-11-04,5300.0,5050.0,5080.0,5150.0,29589.0
133,2020-11-05,5250.0,5180.0,5180.0,5220.0,20264.0
134,2020-11-06,5330.0,5180.0,5220.0,5250.0,15183.0
135,2020-11-09,5330.0,5210.0,5300.0,5290.0,13433.0
136,2020-11-10,5360.0,5230.0,5250.0,5290.0,10736.0
137,2020-11-11,5350.0,5230.0,5290.0,5280.0,25554.0
