,index,High,Low,Open,Close,Volume
0,2020-05-04,9410.0,9130.0,9300.0,9340.0,62520.0
1,2020-05-06,9610.0,9200.0,9340.0,9440.0,139247.0
2,2020-05-07,9780.0,9360.0,9500.0,9600.0,103804.0
3,2020-05-08,9780.0,9620.0,9700.0,9700.0,52543.0
4,2020-05-11,9880.0,9490.0,9750.0,9680.0,74664.0
5,2020-05-12,10000.0,9480.0,9560.0,9630.0,396393.0
6,2020-05-13,9920.0,9610.0,9700.0,9770.0,192067.0
7,2020-05-14,9890.0,9560.0,9770.0,9640.0,63140.0
8,2020-05-15,9770.0,9500.0,9570.0,9740.0,95801.0
9,2020-05-18,9770.0,9580.0,9680.0,9700.0,34684.0
10,2020-05-19,9740.0,9500.0,9700.0,9590.0,129466.0
11,2020-05-20,11850.0,10150.0,11450.0,10300.0,4419313.0
12,2020-05-21,10650.0,9990.0,10550.0,10000.0,526637.0
13,2020-05-22,10050.0,9690.0,9970.0,9800.0,381523.0
14,2020-05-25,9940.0,9700.0,9760.0,9820.0,251213.0
15,2020-05-26,10150.0,9740.0,9900.0,9810.0,568664.0
16,2020-05-27,9910.0,9730.0,9840.0,9750.0,202795.0
17,2020-05-28,9880.0,9310.0,9850.0,9600.0,238488.0
18,2020-05-29,9630.0,9430.0,9600.0,9500.0,124032.0
19,2020-06-01,9720.0,9430.0,9500.0,9520.0,233499.0
20,2020-06-02,9590.0,9360.0,9500.0,9400.0,233136.0
21,2020-06-03,9490.0,9330.0,9440.0,9340.0,256352.0
22,2020-06-04,9570.0,9390.0,9460.0,9400.0,162598.0
23,2020-06-05,9460.0,9350.0,9400.0,9400.0,128565.0
24,2020-06-08,9570.0,9400.0,9510.0,9470.0,245129.0
25,2020-06-09,9570.0,9280.0,9560.0,9340.0,246057.0
26,2020-06-10,9380.0,9160.0,9380.0,9240.0,198256.0
27,2020-06-11,9240.0,8850.0,9240.0,8880.0,285082.0
28,2020-06-12,8930.0,8560.0,8670.0,8860.0,163233.0
29,2020-06-15,8910.0,8010.0,8800.0,8040.0,151712.0
30,2020-06-16,8760.0,8050.0,8050.0,8590.0,170584.0
31,2020-06-17,8910.0,8220.0,8500.0,8650.0,223286.0
32,2020-06-18,8910.0,8620.0,8880.0,8830.0,104588.0
33,2020-06-19,8880.0,8660.0,8830.0,8690.0,56997.0
34,2020-06-22,8720.0,8440.0,8700.0,8490.0,74739.0
35,2020-06-23,8610.0,8340.0,8580.0,8490.0,84195.0
36,2020-06-24,8890.0,8450.0,8470.0,8800.0,97220.0
37,2020-06-25,8900.0,8460.0,8710.0,8790.0,153206.0
38,2020-06-26,8830.0,8650.0,8790.0,8670.0,42607.0
39,2020-06-29,8890.0,8440.0,8600.0,8610.0,247308.0
40,2020-06-30,9050.0,8560.0,8610.0,8700.0,382533.0
41,2020-07-01,8800.0,8290.0,8800.0,8370.0,306876.0
42,2020-07-02,8690.0,8400.0,8400.0,8540.0,102779.0
43,2020-07-03,8600.0,8530.0,8530.0,8550.0,69805.0
44,2020-07-06,8800.0,8540.0,8570.0,8750.0,122366.0
45,2020-07-07,8840.0,8580.0,8760.0,8680.0,119035.0
46,2020-07-08,9000.0,8590.0,8610.0,8860.0,152714.0
47,2020-07-09,8930.0,8750.0,8860.0,8880.0,69302.0
48,2020-07-10,9200.0,8660.0,8900.0,9020.0,387257.0
49,2020-07-13,9240.0,9020.0,9110.0,9140.0,229108.0
50,2020-07-14,9870.0,9100.0,9330.0,9240.0,1463337.0
51,2020-07-15,9650.0,9150.0,9490.0,9170.0,409506.0
52,2020-07-16,9630.0,9220.0,9360.0,9510.0,639072.0
53,2020-07-17,10550.0,9620.0,9630.0,9660.0,4633330.0
54,2020-07-20,11350.0,9910.0,10150.0,10600.0,11820632.0
55,2020-07-21,10750.0,9800.0,10600.0,9850.0,2630962.0
56,2020-07-22,10250.0,9800.0,10000.0,9820.0,1546098.0
57,2020-07-23,9740.0,9290.0,9740.0,9440.0,1043358.0
58,2020-07-24,9770.0,9300.0,9500.0,9380.0,833819.0
59,2020-07-27,9400.0,9150.0,9400.0,9210.0,541431.0
60,2020-07-28,9800.0,9080.0,9250.0,9350.0,1086629.0
61,2020-07-29,9530.0,9250.0,9350.0,9380.0,388962.0
62,2020-07-30,9400.0,9150.0,9330.0,9210.0,294522.0
63,2020-07-31,9260.0,9110.0,9160.0,9120.0,198094.0
64,2020-08-03,9610.0,9150.0,9240.0,9400.0,393010.0
65,2020-08-04,9580.0,9310.0,9500.0,9400.0,224465.0
66,2020-08-05,9440.0,9280.0,9420.0,9300.0,138541.0
67,2020-08-06,9420.0,9250.0,9300.0,9260.0,177836.0
68,2020-08-07,9360.0,9190.0,9270.0,9200.0,141512.0
69,2020-08-10,9570.0,9250.0,9300.0,9480.0,369056.0
70,2020-08-11,9560.0,9390.0,9550.0,9400.0,195389.0
71,2020-08-12,9430.0,9200.0,9430.0,9230.0,165429.0
72,2020-08-13,9450.0,9210.0,9290.0,9330.0,199756.0
73,2020-08-14,9360.0,9150.0,9300.0,9190.0,147135.0
74,2020-08-18,9090.0,8490.0,9060.0,8510.0,384632.0
75,2020-08-19,8770.0,8510.0,8510.0,8570.0,164267.0
76,2020-08-20,8640.0,8030.0,8520.0,8150.0,192048.0
77,2020-08-21,8860.0,8080.0,8150.0,8610.0,265471.0
78,2020-08-24,8720.0,8410.0,8500.0,8630.0,51330.0
79,2020-08-25,8950.0,8630.0,8700.0,8800.0,104954.0
80,2020-08-26,8970.0,8610.0,8820.0,8920.0,81109.0
81,2020-08-27,8970.0,8630.0,8970.0,8800.0,111380.0
82,2020-08-28,8870.0,8660.0,8810.0,8850.0,92282.0
83,2020-08-31,8990.0,8750.0,8890.0,8780.0,67452.0
84,2020-09-01,9050.0,8780.0,8780.0,8900.0,103973.0
85,2020-09-02,9050.0,8870.0,8870.0,9030.0,86229.0
86,2020-09-03,9070.0,8920.0,9030.0,8950.0,59439.0
87,2020-09-04,8940.0,8630.0,8650.0,8910.0,74559.0
88,2020-09-07,9010.0,8800.0,8910.0,9000.0,208303.0
89,2020-09-08,9080.0,8860.0,9020.0,8900.0,112126.0
90,2020-09-09,9040.0,8670.0,8830.0,9040.0,136512.0
91,2020-09-10,9040.0,8810.0,9040.0,8960.0,65697.0
92,2020-09-11,9000.0,8870.0,8900.0,8910.0,68335.0
93,2020-09-14,8950.0,8810.0,8910.0,8890.0,96003.0
94,2020-09-15,8940.0,8780.0,8940.0,8870.0,79477.0
95,2020-09-16,8930.0,8680.0,8880.0,8800.0,204138.0
96,2020-09-17,8830.0,8660.0,8800.0,8700.0,82561.0
97,2020-09-18,8750.0,8610.0,8700.0,8670.0,48355.0
98,2020-09-21,8780.0,8560.0,8700.0,8560.0,134078.0
99,2020-09-22,8540.0,8140.0,8430.0,8300.0,191836.0
100,2020-09-23,8470.0,8180.0,8320.0,8320.0,82223.0
101,2020-09-24,8230.0,8000.0,8140.0,8070.0,141197.0
102,2020-09-25,8450.0,7990.0,8050.0,8110.0,201727.0
103,2020-09-28,8430.0,8180.0,8190.0,8380.0,97878.0
104,2020-09-29,8480.0,8340.0,8470.0,8360.0,59094.0
105,2020-10-05,8430.0,8320.0,8420.0,8340.0,39824.0
106,2020-10-06,8500.0,8310.0,8430.0,8400.0,54981.0
107,2020-10-07,8430.0,8340.0,8390.0,8400.0,42545.0
108,2020-10-08,8460.0,8360.0,8460.0,8400.0,71609.0
109,2020-10-12,8500.0,8390.0,8460.0,8490.0,51709.0
110,2020-10-13,8560.0,8390.0,8500.0,8480.0,41440.0
111,2020-10-14,8550.0,8380.0,8520.0,8380.0,69005.0
112,2020-10-15,8410.0,8180.0,8350.0,8230.0,79889.0
113,2020-10-16,8300.0,8070.0,8240.0,8220.0,94768.0
114,2020-10-19,8460.0,8190.0,8220.0,8290.0,75677.0
115,2020-10-20,8360.0,8170.0,8180.0,8290.0,47728.0
116,2020-10-21,8660.0,8270.0,8290.0,8470.0,78747.0
117,2020-10-22,8540.0,8340.0,8520.0,8470.0,107604.0
118,2020-10-23,8480.0,8320.0,8470.0,8320.0,43127.0
119,2020-10-26,8500.0,8130.0,8400.0,8130.0,114599.0
120,2020-10-27,8270.0,8000.0,8030.0,8200.0,189558.0
121,2020-10-28,8400.0,8070.0,8070.0,8260.0,41668.0
122,2020-10-29,8240.0,7970.0,8000.0,8100.0,165378.0
123,2020-10-30,8100.0,7930.0,8100.0,7980.0,62965.0
124,2020-11-02,8050.0,7930.0,7980.0,7940.0,30180.0
125,2020-11-03,8070.0,7910.0,7980.0,7960.0,74973.0
126,2020-11-04,8060.0,7880.0,8000.0,7970.0,113537.0
127,2020-11-05,8040.0,7960.0,7960.0,8030.0,26449.0
128,2020-11-06,8110.0,8020.0,8100.0,8070.0,41686.0
129,2020-11-09,8190.0,8050.0,8080.0,8150.0,53087.0
130,2020-11-10,8380.0,8090.0,8150.0,8280.0,70572.0
131,2020-11-11,8420.0,8180.0,8210.0,8300.0,38883.0
