,index,High,Low,Open,Close,Volume
0,2020-05-04,15050.0,14400.0,14400.0,14950.0,105341.0
1,2020-05-06,15300.0,14800.0,15100.0,14900.0,103660.0
2,2020-05-07,17000.0,14750.0,14900.0,15200.0,674566.0
3,2020-05-08,15800.0,15200.0,15300.0,15650.0,184287.0
4,2020-05-11,16100.0,15250.0,15800.0,16000.0,217193.0
5,2020-05-12,16450.0,15750.0,15850.0,16200.0,142153.0
6,2020-05-13,16300.0,15850.0,15850.0,15900.0,98172.0
7,2020-05-14,16000.0,15500.0,15900.0,15900.0,104485.0
8,2020-05-15,16300.0,15700.0,16100.0,16150.0,80365.0
9,2020-05-18,16500.0,15850.0,16400.0,15950.0,161862.0
10,2020-05-19,16250.0,15900.0,16200.0,16150.0,88499.0
11,2020-05-20,16850.0,16050.0,16150.0,16650.0,184747.0
12,2020-05-21,17700.0,16700.0,16900.0,17350.0,359070.0
13,2020-05-22,17450.0,16500.0,17400.0,16650.0,214611.0
14,2020-05-25,17350.0,16400.0,16800.0,17300.0,158193.0
15,2020-05-26,17450.0,16750.0,17350.0,16900.0,151941.0
16,2020-05-27,16950.0,16300.0,16950.0,16300.0,153311.0
17,2020-05-28,16850.0,15700.0,16550.0,16100.0,174715.0
18,2020-05-29,16100.0,15650.0,16100.0,15850.0,79687.0
19,2020-06-01,16650.0,15850.0,16000.0,16550.0,128451.0
20,2020-06-02,16950.0,16550.0,16700.0,16950.0,103540.0
21,2020-06-03,17700.0,16800.0,17250.0,16800.0,218428.0
22,2020-06-04,17200.0,16250.0,17200.0,16900.0,200509.0
23,2020-06-05,17000.0,16600.0,17000.0,16850.0,62212.0
24,2020-06-08,17000.0,16450.0,17000.0,16650.0,99411.0
25,2020-06-09,16700.0,16300.0,16650.0,16500.0,64013.0
26,2020-06-10,16850.0,16300.0,16350.0,16800.0,85030.0
27,2020-06-11,16800.0,16250.0,16600.0,16400.0,77788.0
28,2020-06-12,15950.0,15350.0,15400.0,15800.0,189121.0
29,2020-06-15,15650.0,14450.0,15650.0,14450.0,163490.0
30,2020-06-16,15500.0,14800.0,15000.0,15150.0,140327.0
31,2020-06-17,15350.0,14700.0,14950.0,15000.0,104990.0
32,2020-06-18,15150.0,14750.0,15000.0,14850.0,60867.0
33,2020-06-19,15200.0,14850.0,15050.0,15150.0,51868.0
34,2020-06-22,15450.0,14950.0,15100.0,15100.0,95779.0
35,2020-06-23,15500.0,15000.0,15250.0,15300.0,79459.0
36,2020-06-24,15450.0,15200.0,15300.0,15300.0,91154.0
37,2020-06-25,15250.0,14800.0,15050.0,15100.0,57857.0
38,2020-06-26,15350.0,14900.0,15350.0,14950.0,84016.0
39,2020-06-29,15000.0,14500.0,14850.0,14750.0,62195.0
40,2020-06-30,15150.0,14800.0,15100.0,15000.0,76372.0
41,2020-07-01,15200.0,14800.0,15100.0,14850.0,91680.0
42,2020-07-02,15200.0,14900.0,14950.0,15200.0,90188.0
43,2020-07-03,16050.0,15200.0,15400.0,15800.0,179817.0
44,2020-07-06,16150.0,15750.0,16100.0,15850.0,95750.0
45,2020-07-07,15950.0,15350.0,15900.0,15400.0,77237.0
46,2020-07-08,15800.0,15350.0,15500.0,15750.0,66741.0
47,2020-07-09,18650.0,17050.0,17650.0,18150.0,2243568.0
48,2020-07-10,19100.0,17850.0,18250.0,18550.0,1034116.0
49,2020-07-13,19650.0,18450.0,18850.0,19000.0,980538.0
50,2020-07-14,19200.0,18350.0,18700.0,18850.0,522696.0
51,2020-07-15,19250.0,18300.0,19000.0,19150.0,623454.0
52,2020-07-16,19150.0,18200.0,19100.0,18400.0,377734.0
53,2020-07-17,19050.0,18500.0,18750.0,18650.0,311643.0
54,2020-07-20,18750.0,18300.0,18750.0,18600.0,188194.0
55,2020-07-21,18850.0,18050.0,18800.0,18300.0,268153.0
56,2020-07-22,18500.0,17950.0,18000.0,18400.0,225116.0
57,2020-07-23,19300.0,18600.0,18950.0,19050.0,722962.0
58,2020-07-24,18850.0,18100.0,18750.0,18400.0,258680.0
59,2020-07-27,19400.0,18400.0,18400.0,19350.0,672154.0
60,2020-07-28,19450.0,18650.0,19400.0,18850.0,378851.0
61,2020-07-29,19400.0,18500.0,19200.0,18900.0,308776.0
62,2020-07-30,21000.0,19400.0,19450.0,20400.0,2591429.0
63,2020-07-31,21500.0,20400.0,21100.0,20650.0,1106642.0
64,2020-08-03,20850.0,20000.0,20750.0,20650.0,438180.0
65,2020-08-04,21100.0,20350.0,21000.0,20450.0,370075.0
66,2020-08-05,21050.0,20050.0,20750.0,20400.0,456040.0
67,2020-08-06,20600.0,19850.0,20500.0,20300.0,346534.0
68,2020-08-07,20450.0,19650.0,20400.0,19950.0,292515.0
69,2020-08-10,20900.0,19400.0,19950.0,20750.0,605464.0
70,2020-08-11,21050.0,20200.0,21050.0,20250.0,373600.0
71,2020-08-12,21150.0,20400.0,20600.0,20750.0,786308.0
72,2020-08-13,21250.0,20500.0,21100.0,20700.0,309220.0
73,2020-08-14,20850.0,19800.0,20850.0,20150.0,223869.0
74,2020-08-18,20400.0,18650.0,20250.0,19000.0,322679.0
75,2020-08-19,19650.0,18950.0,19250.0,19250.0,157270.0
76,2020-08-20,19300.0,17900.0,19100.0,18000.0,399881.0
77,2020-08-21,18600.0,17700.0,18350.0,18300.0,168523.0
78,2020-08-24,18800.0,17850.0,18300.0,18600.0,141635.0
79,2020-08-25,19650.0,18400.0,18700.0,19450.0,336947.0
80,2020-08-26,19800.0,19100.0,19550.0,19600.0,170643.0
81,2020-08-27,19650.0,18900.0,19650.0,19000.0,160176.0
82,2020-08-28,19400.0,18750.0,19000.0,18850.0,109463.0
83,2020-08-31,19250.0,18500.0,19250.0,18950.0,150860.0
84,2020-09-01,19250.0,18800.0,18900.0,19100.0,107230.0
85,2020-09-02,19400.0,19000.0,19250.0,19150.0,117357.0
86,2020-09-03,20450.0,19700.0,20000.0,19700.0,476627.0
87,2020-09-04,19450.0,18850.0,18950.0,19350.0,277500.0
