,index,High,Low,Open,Close,Volume
0,2020-05-04,3250.0,3160.0,3220.0,3170.0,47758.0
1,2020-05-06,3260.0,3170.0,3175.0,3260.0,162278.0
2,2020-05-07,3280.0,3210.0,3260.0,3270.0,84205.0
3,2020-05-08,3330.0,3250.0,3250.0,3325.0,84382.0
4,2020-05-11,3345.0,3280.0,3325.0,3335.0,58322.0
5,2020-05-12,3325.0,3210.0,3320.0,3210.0,49283.0
6,2020-05-13,3210.0,3155.0,3170.0,3155.0,81755.0
7,2020-05-14,3290.0,3150.0,3160.0,3245.0,158678.0
8,2020-05-15,3420.0,3225.0,3225.0,3345.0,256840.0
9,2020-05-18,3450.0,3300.0,3355.0,3410.0,350976.0
10,2020-05-19,3465.0,3395.0,3450.0,3430.0,233365.0
11,2020-05-20,3585.0,3405.0,3405.0,3550.0,262978.0
12,2020-05-21,3720.0,3555.0,3585.0,3665.0,348993.0
13,2020-05-22,3785.0,3545.0,3695.0,3580.0,309454.0
14,2020-05-25,3700.0,3595.0,3595.0,3700.0,190849.0
15,2020-05-26,3725.0,3635.0,3650.0,3680.0,330298.0
16,2020-05-27,3790.0,3670.0,3720.0,3745.0,325926.0
17,2020-05-28,3800.0,3655.0,3780.0,3700.0,276872.0
18,2020-05-29,3870.0,3660.0,3730.0,3745.0,306889.0
19,2020-06-01,3805.0,3710.0,3720.0,3740.0,282607.0
20,2020-06-02,3835.0,3720.0,3730.0,3740.0,297750.0
21,2020-06-03,3850.0,3750.0,3750.0,3825.0,493508.0
22,2020-06-04,3945.0,3785.0,3880.0,3895.0,247785.0
23,2020-06-05,3900.0,3755.0,3900.0,3850.0,188464.0
24,2020-06-08,3850.0,3750.0,3800.0,3750.0,117063.0
25,2020-06-09,3840.0,3745.0,3750.0,3760.0,99809.0
26,2020-06-10,3800.0,3655.0,3730.0,3670.0,99599.0
27,2020-06-11,3660.0,3545.0,3640.0,3600.0,140996.0
28,2020-06-12,3500.0,3350.0,3425.0,3450.0,150600.0
29,2020-06-15,3440.0,3210.0,3440.0,3300.0,251451.0
30,2020-06-16,3425.0,3285.0,3400.0,3360.0,384904.0
31,2020-06-17,3380.0,3280.0,3315.0,3360.0,186789.0
32,2020-06-18,3395.0,3240.0,3395.0,3360.0,60367.0
33,2020-06-19,3365.0,3315.0,3325.0,3350.0,70209.0
34,2020-06-22,3730.0,3350.0,3350.0,3625.0,598433.0
35,2020-06-23,3680.0,3525.0,3645.0,3545.0,202183.0
36,2020-06-24,4585.0,3545.0,3545.0,4370.0,7442292.0
37,2020-06-25,4380.0,3960.0,4370.0,4165.0,1341234.0
38,2020-06-26,4175.0,4010.0,4140.0,4100.0,583631.0
39,2020-06-29,4090.0,3940.0,3975.0,4010.0,404318.0
40,2020-06-30,4120.0,3935.0,4120.0,4020.0,353675.0
41,2020-07-01,4040.0,3765.0,4040.0,3765.0,571002.0
42,2020-07-02,3870.0,3770.0,3800.0,3810.0,194404.0
43,2020-07-03,3930.0,3815.0,3815.0,3915.0,126473.0
44,2020-07-06,4190.0,3890.0,3940.0,4100.0,547086.0
45,2020-07-07,4165.0,3970.0,4080.0,3970.0,315592.0
46,2020-07-08,4055.0,3975.0,4055.0,4015.0,113990.0
47,2020-07-09,4050.0,3890.0,4015.0,3920.0,188920.0
48,2020-07-10,4060.0,3950.0,4000.0,4060.0,215954.0
49,2020-07-13,4165.0,3980.0,4160.0,4055.0,229704.0
50,2020-07-14,4040.0,3935.0,4040.0,3955.0,109256.0
51,2020-07-15,4045.0,3940.0,3980.0,3955.0,119000.0
52,2020-07-16,4675.0,3965.0,3985.0,4280.0,4221330.0
53,2020-07-17,4415.0,4120.0,4225.0,4310.0,585094.0
54,2020-07-20,4510.0,4290.0,4440.0,4315.0,732642.0
55,2020-07-21,4390.0,4245.0,4285.0,4280.0,261248.0
56,2020-07-22,4340.0,4180.0,4280.0,4220.0,195941.0
57,2020-07-23,4220.0,4045.0,4180.0,4095.0,258649.0
58,2020-07-24,4140.0,4025.0,4095.0,4070.0,170912.0
59,2020-07-27,4245.0,4030.0,4030.0,4130.0,123074.0
60,2020-07-28,4200.0,4115.0,4130.0,4115.0,151781.0
61,2020-07-29,4225.0,4090.0,4120.0,4145.0,155294.0
62,2020-07-30,4340.0,4175.0,4175.0,4310.0,299787.0
63,2020-07-31,4340.0,4230.0,4310.0,4235.0,140528.0
64,2020-08-03,4285.0,4195.0,4285.0,4235.0,113056.0
65,2020-08-04,4265.0,4210.0,4215.0,4245.0,119664.0
66,2020-08-05,4385.0,4220.0,4270.0,4260.0,217939.0
67,2020-08-06,4480.0,4230.0,4230.0,4465.0,586542.0
68,2020-08-07,4985.0,4345.0,4440.0,4380.0,3107291.0
69,2020-08-10,4460.0,4280.0,4400.0,4290.0,256586.0
70,2020-08-11,4880.0,4395.0,4400.0,4685.0,3528823.0
71,2020-08-12,4670.0,4475.0,4670.0,4485.0,435131.0
72,2020-08-13,4800.0,4480.0,4490.0,4655.0,518362.0
73,2020-08-14,4695.0,4460.0,4615.0,4480.0,290750.0
74,2020-08-18,4500.0,4040.0,4500.0,4095.0,356424.0
75,2020-08-19,4275.0,4095.0,4100.0,4220.0,193806.0
76,2020-08-20,4280.0,3835.0,4220.0,3900.0,384363.0
77,2020-08-21,4060.0,3735.0,4050.0,3755.0,400699.0
78,2020-08-24,3910.0,3685.0,3780.0,3895.0,180504.0
79,2020-08-25,4020.0,3860.0,3860.0,3950.0,176603.0
80,2020-08-26,4015.0,3880.0,4015.0,3985.0,133799.0
81,2020-08-27,4060.0,3885.0,3985.0,3895.0,199567.0
82,2020-08-28,3985.0,3865.0,3940.0,3915.0,107736.0
83,2020-08-31,4065.0,3880.0,3975.0,4045.0,354862.0
84,2020-09-01,4090.0,4010.0,4090.0,4090.0,69578.0
85,2020-09-02,4160.0,4070.0,4090.0,4100.0,84257.0
86,2020-09-03,4235.0,4100.0,4160.0,4165.0,155032.0
87,2020-09-04,4100.0,3900.0,4050.0,4075.0,174848.0
88,2020-09-07,4140.0,4010.0,4075.0,4130.0,79924.0
89,2020-09-08,4270.0,4110.0,4135.0,4165.0,135743.0
90,2020-09-09,4185.0,4045.0,4120.0,4065.0,101190.0
91,2020-09-10,4380.0,4100.0,4120.0,4235.0,454404.0
92,2020-09-11,4320.0,4175.0,4300.0,4235.0,165881.0
93,2020-09-14,4270.0,4210.0,4245.0,4240.0,111070.0
94,2020-09-15,4435.0,4250.0,4250.0,4300.0,420318.0
95,2020-09-16,4380.0,4180.0,4380.0,4180.0,170963.0
96,2020-09-17,4250.0,4080.0,4250.0,4115.0,112831.0
97,2020-09-18,4160.0,4000.0,4125.0,4035.0,114346.0
98,2020-09-21,4100.0,3960.0,4005.0,4020.0,155229.0
99,2020-09-22,4015.0,3855.0,3950.0,3945.0,136742.0
100,2020-09-23,4040.0,3815.0,3940.0,3850.0,171054.0
101,2020-09-24,3870.0,3700.0,3815.0,3720.0,175803.0
102,2020-09-25,3830.0,3665.0,3740.0,3690.0,91993.0
103,2020-09-28,3935.0,3665.0,3665.0,3845.0,97481.0
104,2020-09-29,3900.0,3830.0,3900.0,3855.0,49471.0
105,2020-10-05,3945.0,3830.0,3855.0,3885.0,71993.0
106,2020-10-06,3925.0,3880.0,3885.0,3885.0,80737.0
107,2020-10-07,3920.0,3845.0,3885.0,3905.0,101000.0
108,2020-10-08,4050.0,3900.0,3970.0,4000.0,122896.0
109,2020-10-12,4070.0,3955.0,4015.0,3970.0,49740.0
110,2020-10-13,4000.0,3870.0,4000.0,3970.0,152175.0
111,2020-10-14,4025.0,3930.0,4000.0,3965.0,99464.0
112,2020-10-15,4000.0,3790.0,3965.0,3910.0,127168.0
113,2020-10-16,4220.0,3820.0,3875.0,4110.0,417453.0
114,2020-10-19,4290.0,3985.0,4110.0,3995.0,370075.0
115,2020-10-20,4190.0,3905.0,3930.0,4190.0,155490.0
116,2020-10-21,4210.0,4115.0,4160.0,4145.0,75196.0
117,2020-10-22,4140.0,3975.0,4135.0,3985.0,98328.0
118,2020-10-23,4020.0,3910.0,3990.0,3985.0,64189.0
119,2020-10-26,4100.0,3870.0,4045.0,3870.0,208425.0
120,2020-10-27,3895.0,3755.0,3805.0,3860.0,72643.0
121,2020-10-28,3930.0,3825.0,3825.0,3930.0,83899.0
122,2020-10-29,3920.0,3800.0,3860.0,3850.0,83651.0
123,2020-10-30,3900.0,3810.0,3825.0,3875.0,42467.0
124,2020-11-02,3915.0,3825.0,3840.0,3875.0,34034.0
125,2020-11-03,3965.0,3880.0,3880.0,3960.0,67167.0
126,2020-11-04,4035.0,3920.0,3960.0,3980.0,65155.0
127,2020-11-05,4060.0,3965.0,4005.0,4060.0,169722.0
128,2020-11-06,4090.0,3960.0,4040.0,3995.0,101586.0
129,2020-11-09,4105.0,4000.0,4045.0,4030.0,181362.0
130,2020-11-10,4080.0,4000.0,4070.0,4045.0,114072.0
131,2020-11-11,4050.0,3975.0,4035.0,3975.0,88004.0
