,index,High,Low,Open,Close,Volume
0,2020-05-08,2140.0,2075.0,2090.0,2105.0,184544.0
1,2020-05-11,2110.0,2045.0,2100.0,2080.0,114799.0
2,2020-05-12,2080.0,1995.0,2080.0,2030.0,129816.0
3,2020-05-13,2470.0,2000.0,2000.0,2250.0,6582674.0
4,2020-05-14,2230.0,2130.0,2225.0,2135.0,1262591.0
5,2020-05-15,2420.0,2145.0,2160.0,2245.0,4953827.0
6,2020-05-18,2240.0,2135.0,2240.0,2180.0,518069.0
7,2020-05-19,2390.0,2180.0,2205.0,2390.0,1365672.0
8,2020-05-20,2365.0,2285.0,2305.0,2350.0,752158.0
9,2020-05-21,2555.0,2355.0,2405.0,2380.0,2080660.0
10,2020-05-22,2380.0,2280.0,2380.0,2285.0,359607.0
11,2020-05-25,2340.0,2275.0,2295.0,2285.0,212859.0
12,2020-05-26,2350.0,2260.0,2290.0,2295.0,344276.0
13,2020-05-27,2430.0,2300.0,2305.0,2430.0,1497890.0
14,2020-05-28,2440.0,2275.0,2440.0,2320.0,814776.0
15,2020-05-29,2375.0,2250.0,2320.0,2350.0,315157.0
16,2020-06-01,2390.0,2340.0,2355.0,2380.0,346062.0
17,2020-06-02,2390.0,2325.0,2375.0,2380.0,226150.0
18,2020-06-03,2440.0,2375.0,2390.0,2405.0,494401.0
19,2020-06-04,2425.0,2350.0,2420.0,2380.0,248409.0
20,2020-06-05,2545.0,2370.0,2375.0,2465.0,2023478.0
21,2020-06-08,2515.0,2400.0,2515.0,2425.0,563740.0
22,2020-06-09,2465.0,2375.0,2435.0,2415.0,405823.0
23,2020-06-10,2455.0,2335.0,2440.0,2385.0,357443.0
24,2020-06-11,2400.0,2295.0,2400.0,2305.0,240309.0
25,2020-06-12,2235.0,2150.0,2230.0,2220.0,418718.0
26,2020-06-15,2220.0,2030.0,2220.0,2040.0,437225.0
27,2020-06-16,2145.0,2075.0,2085.0,2130.0,168432.0
28,2020-06-17,2145.0,2040.0,2130.0,2140.0,163371.0
29,2020-06-18,2210.0,2140.0,2140.0,2170.0,97322.0
30,2020-06-19,2265.0,2170.0,2180.0,2250.0,173456.0
31,2020-06-22,2255.0,2215.0,2250.0,2235.0,55651.0
32,2020-06-23,2255.0,2175.0,2235.0,2200.0,117230.0
33,2020-06-24,2245.0,2190.0,2200.0,2230.0,129383.0
34,2020-06-25,2205.0,2140.0,2205.0,2170.0,145732.0
35,2020-06-26,2295.0,2150.0,2170.0,2215.0,357150.0
36,2020-06-29,2215.0,2135.0,2210.0,2145.0,95637.0
