,index,High,Low,Open,Close,Volume
0,2020-05-04,7400.0,7000.0,7230.0,7270.0,207895.0
1,2020-05-06,7520.0,7330.0,7330.0,7360.0,165375.0
2,2020-05-07,7390.0,7280.0,7350.0,7360.0,98222.0
3,2020-05-08,7430.0,7330.0,7420.0,7360.0,73169.0
4,2020-05-11,7370.0,7170.0,7360.0,7190.0,88657.0
5,2020-05-12,7180.0,6900.0,7150.0,7000.0,102468.0
6,2020-05-13,6950.0,6800.0,6820.0,6940.0,86887.0
7,2020-05-14,6980.0,6780.0,6840.0,6800.0,84995.0
8,2020-05-15,7010.0,6820.0,6900.0,6960.0,158114.0
9,2020-05-18,6840.0,6640.0,6810.0,6800.0,171335.0
10,2020-05-19,7060.0,6940.0,6980.0,7010.0,128792.0
11,2020-05-20,7040.0,6940.0,6970.0,7020.0,47272.0
12,2020-05-21,7150.0,6960.0,7100.0,7080.0,87823.0
13,2020-05-22,7080.0,6760.0,7080.0,6810.0,164248.0
14,2020-05-25,6880.0,6790.0,6830.0,6880.0,38447.0
15,2020-05-26,7070.0,6890.0,6890.0,6960.0,139376.0
16,2020-05-27,7080.0,6980.0,7040.0,7030.0,76958.0
17,2020-05-28,7300.0,7000.0,7100.0,7110.0,319245.0
18,2020-05-29,7110.0,6820.0,7080.0,6820.0,322139.0
19,2020-06-01,7030.0,6890.0,6900.0,7000.0,137416.0
20,2020-06-02,7230.0,7000.0,7010.0,7200.0,213554.0
21,2020-06-03,7690.0,7300.0,7340.0,7540.0,397372.0
22,2020-06-04,7800.0,7360.0,7650.0,7420.0,237907.0
23,2020-06-05,7610.0,7380.0,7520.0,7610.0,115775.0
24,2020-06-08,7780.0,7530.0,7780.0,7660.0,165738.0
25,2020-06-09,7840.0,7500.0,7700.0,7600.0,108465.0
26,2020-06-10,7590.0,7370.0,7500.0,7490.0,158531.0
27,2020-06-11,7460.0,7220.0,7460.0,7290.0,163368.0
28,2020-06-12,7280.0,6880.0,6970.0,7180.0,263071.0
29,2020-06-15,7170.0,6800.0,7170.0,6810.0,140980.0
30,2020-06-16,7110.0,6880.0,6970.0,7080.0,182380.0
31,2020-06-17,7250.0,6560.0,7100.0,6680.0,748464.0
32,2020-06-18,6900.0,6680.0,6700.0,6770.0,311059.0
33,2020-06-19,6800.0,6680.0,6800.0,6770.0,131026.0
34,2020-06-22,6770.0,6660.0,6770.0,6690.0,92303.0
35,2020-06-23,6740.0,6570.0,6740.0,6580.0,143620.0
36,2020-06-24,6680.0,6610.0,6630.0,6650.0,66601.0
37,2020-06-25,6620.0,6470.0,6570.0,6500.0,67404.0
38,2020-06-26,6580.0,6400.0,6580.0,6430.0,98998.0
39,2020-06-29,6380.0,6150.0,6330.0,6200.0,187119.0
40,2020-06-30,6270.0,6180.0,6250.0,6200.0,98288.0
41,2020-07-01,6320.0,6200.0,6210.0,6250.0,101154.0
42,2020-07-02,6300.0,6210.0,6290.0,6260.0,75634.0
43,2020-07-03,6360.0,6260.0,6280.0,6350.0,51468.0
44,2020-07-06,6490.0,6310.0,6350.0,6490.0,79781.0
45,2020-07-07,6610.0,6420.0,6510.0,6490.0,74111.0
46,2020-07-08,6690.0,6400.0,6460.0,6690.0,100966.0
47,2020-07-09,6620.0,6510.0,6600.0,6590.0,81366.0
48,2020-07-10,6580.0,6390.0,6570.0,6440.0,92469.0
49,2020-07-13,6590.0,6460.0,6470.0,6530.0,95172.0
50,2020-07-14,6530.0,6450.0,6530.0,6490.0,46728.0
51,2020-07-15,6670.0,6530.0,6570.0,6600.0,78790.0
52,2020-07-16,6830.0,6620.0,6620.0,6770.0,172343.0
53,2020-07-17,6860.0,6720.0,6770.0,6790.0,118511.0
54,2020-07-20,6810.0,6680.0,6790.0,6730.0,139462.0
55,2020-07-21,6970.0,6840.0,6870.0,6930.0,309730.0
56,2020-07-22,7180.0,6900.0,6980.0,7110.0,237285.0
57,2020-07-23,7130.0,6860.0,7110.0,6910.0,131088.0
58,2020-07-24,6910.0,6760.0,6810.0,6800.0,120148.0
59,2020-07-27,6990.0,6750.0,6790.0,6850.0,79724.0
60,2020-07-28,6940.0,6790.0,6900.0,6830.0,113348.0
61,2020-07-29,6860.0,6750.0,6850.0,6830.0,65200.0
62,2020-07-30,6880.0,6690.0,6830.0,6750.0,134043.0
63,2020-07-31,6770.0,6650.0,6740.0,6710.0,107846.0
64,2020-08-03,6760.0,6670.0,6730.0,6720.0,70057.0
65,2020-08-04,7090.0,6740.0,6740.0,7040.0,446239.0
66,2020-08-05,7290.0,7010.0,7280.0,7050.0,341632.0
67,2020-08-06,7380.0,7060.0,7120.0,7190.0,452759.0
68,2020-08-07,7310.0,7050.0,7310.0,7130.0,183710.0
69,2020-08-10,7400.0,7130.0,7160.0,7400.0,319929.0
