,index,High,Low,Open,Close,Volume
0,2020-04-22,7260.0,6870.0,7180.0,7260.0,31270.0
1,2020-04-23,7360.0,7200.0,7300.0,7330.0,25866.0
2,2020-04-24,7470.0,7100.0,7470.0,7360.0,44493.0
3,2020-04-27,7450.0,7310.0,7420.0,7320.0,39731.0
4,2020-04-28,7450.0,7260.0,7380.0,7290.0,27204.0
5,2020-04-29,7380.0,7260.0,7380.0,7300.0,13725.0
6,2020-05-04,7950.0,7120.0,7300.0,7620.0,237441.0
7,2020-05-06,7950.0,7470.0,7630.0,7710.0,140818.0
8,2020-05-07,7920.0,7600.0,7920.0,7720.0,53014.0
9,2020-05-08,7790.0,7600.0,7720.0,7630.0,28773.0
10,2020-05-11,7690.0,7490.0,7690.0,7620.0,20591.0
11,2020-05-12,8050.0,7540.0,7570.0,7750.0,215055.0
12,2020-05-13,7950.0,7630.0,7750.0,7810.0,71949.0
13,2020-05-14,8070.0,7660.0,7810.0,7840.0,131563.0
14,2020-05-15,7910.0,7550.0,7840.0,7590.0,84200.0
15,2020-05-18,7930.0,7630.0,7700.0,7820.0,75976.0
16,2020-05-19,7900.0,7450.0,7900.0,7690.0,54189.0
17,2020-05-20,7750.0,7530.0,7690.0,7650.0,25724.0
18,2020-05-21,7880.0,7620.0,7780.0,7620.0,52415.0
19,2020-05-22,8440.0,7650.0,7740.0,8100.0,397401.0
20,2020-05-25,8340.0,8000.0,8290.0,8020.0,155524.0
21,2020-05-26,8240.0,7950.0,8080.0,8040.0,51942.0
22,2020-05-27,9170.0,8100.0,8160.0,8820.0,794605.0
23,2020-05-28,8990.0,8130.0,8930.0,8280.0,348027.0
24,2020-05-29,9100.0,8360.0,8450.0,8540.0,189976.0
25,2020-06-01,8500.0,8160.0,8500.0,8220.0,93589.0
26,2020-06-02,8300.0,8060.0,8220.0,8090.0,115008.0
27,2020-06-03,8160.0,7990.0,8090.0,8080.0,98893.0
28,2020-06-04,8220.0,8060.0,8110.0,8150.0,84130.0
29,2020-06-05,8150.0,8010.0,8140.0,8080.0,30495.0
30,2020-06-08,8120.0,7980.0,8080.0,8040.0,43180.0
31,2020-06-09,8180.0,8030.0,8030.0,8120.0,41835.0
32,2020-06-10,8150.0,8000.0,8150.0,8080.0,29513.0
33,2020-06-11,8450.0,8030.0,8100.0,8060.0,132944.0
34,2020-06-12,8050.0,7500.0,7740.0,7840.0,57487.0
35,2020-06-15,7920.0,7300.0,7840.0,7500.0,59226.0
36,2020-06-16,7850.0,7540.0,7660.0,7750.0,54260.0
37,2020-06-17,8370.0,7780.0,8350.0,7880.0,157785.0
38,2020-06-18,8140.0,7870.0,8140.0,8000.0,32899.0
39,2020-06-19,8150.0,7950.0,8020.0,8020.0,54371.0
40,2020-06-22,8050.0,7800.0,8000.0,7840.0,78779.0
41,2020-06-23,8300.0,7900.0,7900.0,8050.0,131595.0
42,2020-06-24,8110.0,7890.0,8060.0,7900.0,56042.0
43,2020-06-25,7960.0,7700.0,7890.0,7780.0,48536.0
44,2020-06-26,7960.0,7720.0,7960.0,7850.0,19985.0
45,2020-06-29,8040.0,7560.0,7800.0,7650.0,38253.0
46,2020-06-30,9940.0,7980.0,8010.0,8680.0,3622498.0
47,2020-07-01,8590.0,8160.0,8560.0,8210.0,368742.0
48,2020-07-02,8280.0,8040.0,8230.0,8250.0,183698.0
49,2020-07-03,8480.0,8170.0,8250.0,8360.0,165829.0
50,2020-07-06,8990.0,8340.0,8420.0,8990.0,256117.0
51,2020-07-07,9170.0,8790.0,9160.0,8950.0,229068.0
52,2020-07-08,9010.0,8670.0,8950.0,8760.0,166147.0
53,2020-07-09,9020.0,8680.0,8860.0,8710.0,172971.0
54,2020-07-10,8840.0,8450.0,8840.0,8640.0,125630.0
55,2020-07-13,8880.0,8510.0,8550.0,8830.0,112982.0
56,2020-07-14,9010.0,8720.0,8930.0,8740.0,228120.0
57,2020-07-15,9080.0,8730.0,8800.0,8920.0,148060.0
58,2020-07-16,9170.0,8870.0,8930.0,8920.0,130289.0
59,2020-07-17,9060.0,8810.0,9010.0,9050.0,97248.0
