,index,High,Low,Open,Close,Volume
0,2020-05-08,655.0,633.0,649.0,641.0,737269.0
1,2020-05-11,653.0,628.0,640.0,635.0,705095.0
2,2020-05-12,638.0,612.0,635.0,624.0,783275.0
3,2020-05-13,625.0,611.0,614.0,619.0,584029.0
4,2020-05-14,625.0,610.0,625.0,619.0,518224.0
5,2020-05-15,622.0,608.0,618.0,618.0,453688.0
6,2020-05-18,620.0,613.0,614.0,613.0,306519.0
7,2020-05-19,626.0,613.0,615.0,617.0,1148654.0
8,2020-05-20,649.0,620.0,622.0,641.0,1730636.0
9,2020-05-21,645.0,632.0,642.0,640.0,569140.0
10,2020-05-22,644.0,616.0,638.0,627.0,607092.0
11,2020-05-25,639.0,619.0,633.0,626.0,679197.0
12,2020-05-26,636.0,626.0,626.0,633.0,401388.0
13,2020-05-27,640.0,624.0,640.0,630.0,449388.0
14,2020-05-28,638.0,613.0,635.0,619.0,716016.0
15,2020-05-29,631.0,612.0,612.0,625.0,415920.0
16,2020-06-01,643.0,620.0,625.0,642.0,809905.0
17,2020-06-02,661.0,638.0,645.0,660.0,1849738.0
18,2020-06-03,665.0,648.0,661.0,657.0,1004663.0
19,2020-06-04,666.0,651.0,657.0,655.0,585553.0
20,2020-06-05,662.0,646.0,652.0,656.0,451615.0
21,2020-06-08,662.0,650.0,658.0,660.0,625250.0
22,2020-06-09,674.0,650.0,661.0,658.0,1010143.0
23,2020-06-10,659.0,642.0,654.0,650.0,716621.0
24,2020-06-11,658.0,593.0,658.0,628.0,1805358.0
25,2020-06-12,615.0,588.0,589.0,611.0,936296.0
26,2020-06-15,619.0,579.0,618.0,581.0,1099493.0
27,2020-06-16,621.0,587.0,587.0,616.0,692434.0
28,2020-06-17,624.0,597.0,608.0,610.0,650883.0
29,2020-06-18,623.0,604.0,610.0,612.0,589112.0
30,2020-06-19,620.0,600.0,619.0,614.0,496054.0
31,2020-06-22,615.0,602.0,611.0,610.0,605070.0
32,2020-06-23,615.0,595.0,615.0,599.0,509641.0
33,2020-06-24,610.0,597.0,600.0,600.0,426740.0
34,2020-06-25,600.0,586.0,596.0,592.0,484315.0
35,2020-06-26,607.0,587.0,607.0,589.0,443246.0
36,2020-06-29,595.0,565.0,595.0,584.0,443485.0
37,2020-06-30,597.0,558.0,597.0,585.0,317229.0
38,2020-07-01,593.0,560.0,593.0,568.0,729316.0
39,2020-07-02,738.0,592.0,607.0,738.0,73147723.0
40,2020-07-03,900.0,750.0,782.0,785.0,81537367.0
