,index,High,Low,Open,Close,Volume
0,2020-05-04,5340.0,5190.0,5290.0,5260.0,1587208.0
1,2020-05-06,5390.0,5300.0,5390.0,5320.0,1266123.0
2,2020-05-07,5330.0,5150.0,5300.0,5170.0,1533079.0
3,2020-05-08,5270.0,5120.0,5210.0,5170.0,1360560.0
4,2020-05-11,5250.0,5170.0,5210.0,5180.0,1105384.0
5,2020-05-12,5190.0,5010.0,5180.0,5010.0,1124673.0
6,2020-05-13,5060.0,4950.0,5000.0,5060.0,810406.0
7,2020-05-14,5030.0,4875.0,5030.0,4875.0,1061470.0
8,2020-05-15,4950.0,4865.0,4930.0,4880.0,482267.0
9,2020-05-18,5000.0,4900.0,4930.0,4985.0,543945.0
10,2020-05-19,5120.0,5020.0,5050.0,5120.0,674379.0
11,2020-05-20,5190.0,5040.0,5120.0,5080.0,553828.0
12,2020-05-21,5170.0,5060.0,5120.0,5150.0,846496.0
13,2020-05-22,5190.0,5020.0,5190.0,5030.0,547414.0
14,2020-05-25,5110.0,4990.0,5090.0,5110.0,661854.0
15,2020-05-26,5340.0,5120.0,5130.0,5340.0,1214244.0
16,2020-05-27,5400.0,5260.0,5290.0,5340.0,621135.0
17,2020-05-28,5370.0,5180.0,5370.0,5220.0,719518.0
18,2020-05-29,5310.0,5190.0,5190.0,5190.0,801034.0
19,2020-06-01,5300.0,5180.0,5190.0,5290.0,701714.0
20,2020-06-02,5420.0,5290.0,5300.0,5330.0,1647862.0
21,2020-06-03,5500.0,5390.0,5390.0,5470.0,1862485.0
22,2020-06-04,5710.0,5500.0,5520.0,5500.0,2591751.0
23,2020-06-05,5530.0,5400.0,5480.0,5510.0,505683.0
24,2020-06-08,5600.0,5380.0,5560.0,5410.0,594176.0
25,2020-06-09,5570.0,5330.0,5430.0,5410.0,727219.0
26,2020-06-10,5460.0,5350.0,5400.0,5400.0,522620.0
27,2020-06-11,5360.0,5150.0,5340.0,5270.0,1128231.0
28,2020-06-12,5160.0,5050.0,5100.0,5070.0,729159.0
29,2020-06-15,5160.0,4830.0,5010.0,4830.0,1141273.0
30,2020-06-16,5160.0,4905.0,4905.0,5160.0,720401.0
31,2020-06-17,5190.0,5010.0,5100.0,5070.0,618634.0
32,2020-06-18,5050.0,4975.0,5030.0,4990.0,646498.0
33,2020-06-19,5040.0,4950.0,5020.0,4950.0,558715.0
34,2020-06-22,4970.0,4915.0,4930.0,4920.0,404704.0
35,2020-06-23,4975.0,4855.0,4945.0,4895.0,498501.0
36,2020-06-24,4940.0,4870.0,4915.0,4870.0,562645.0
37,2020-06-25,4945.0,4780.0,4865.0,4780.0,759486.0
38,2020-06-26,4875.0,4780.0,4790.0,4840.0,438952.0
39,2020-06-29,4840.0,4755.0,4825.0,4780.0,447986.0
40,2020-06-30,4870.0,4745.0,4800.0,4745.0,838642.0
41,2020-07-01,5050.0,4760.0,4760.0,4930.0,1185166.0
42,2020-07-02,5030.0,4850.0,5030.0,4875.0,687986.0
43,2020-07-03,5010.0,4845.0,4895.0,4995.0,612809.0
44,2020-07-06,5040.0,4955.0,5040.0,5000.0,637703.0
45,2020-07-07,5040.0,4945.0,5020.0,4945.0,454448.0
46,2020-07-08,4985.0,4900.0,4985.0,4900.0,454279.0
47,2020-07-09,4960.0,4885.0,4955.0,4885.0,492626.0
48,2020-07-10,4935.0,4815.0,4935.0,4900.0,522666.0
49,2020-07-13,4950.0,4855.0,4900.0,4945.0,469292.0
50,2020-07-14,4940.0,4885.0,4940.0,4890.0,447591.0
51,2020-07-15,5110.0,4930.0,4930.0,5060.0,1257461.0
52,2020-07-16,5150.0,5050.0,5060.0,5090.0,508726.0
53,2020-07-17,5130.0,5030.0,5130.0,5130.0,424460.0
54,2020-07-20,5150.0,5020.0,5150.0,5090.0,417287.0
55,2020-07-21,5170.0,5050.0,5050.0,5130.0,543262.0
56,2020-07-22,5430.0,5190.0,5240.0,5190.0,1920838.0
57,2020-07-23,5230.0,5080.0,5190.0,5140.0,478944.0
58,2020-07-24,5130.0,5010.0,5130.0,5060.0,512685.0
59,2020-07-27,5270.0,5080.0,5090.0,5170.0,657789.0
60,2020-07-28,5270.0,5110.0,5170.0,5190.0,643285.0
61,2020-07-29,5230.0,5120.0,5130.0,5150.0,384564.0
62,2020-07-30,5220.0,5050.0,5150.0,5050.0,591561.0
