,index,High,Low,Open,Close,Volume
0,2020-04-22,263.0,246.0,248.0,262.0,1530071.0
1,2020-04-23,273.0,263.0,263.0,267.0,3456198.0
2,2020-04-24,338.0,255.0,276.0,310.0,141547105.0
3,2020-04-27,380.0,310.0,325.0,345.0,221763984.0
4,2020-04-28,354.0,311.0,345.0,319.0,49849931.0
5,2020-04-29,342.0,308.0,317.0,313.0,32462269.0
6,2020-05-04,318.0,299.0,304.0,303.0,9205455.0
7,2020-05-06,312.0,300.0,306.0,302.0,7698141.0
8,2020-05-07,307.0,299.0,304.0,304.0,5678059.0
9,2020-05-08,330.0,299.0,305.0,305.0,22822031.0
10,2020-05-11,312.0,299.0,307.0,303.0,7995434.0
11,2020-05-12,307.0,296.0,305.0,300.0,4626550.0
12,2020-05-13,297.0,288.0,295.0,294.0,4266785.0
13,2020-05-14,293.0,275.0,293.0,278.0,5559299.0
14,2020-05-15,285.0,275.0,282.0,278.0,3961905.0
15,2020-05-18,289.0,276.0,278.0,282.0,4118251.0
16,2020-05-19,290.0,279.0,286.0,290.0,4298305.0
17,2020-05-20,295.0,288.0,291.0,292.0,3160417.0
18,2020-05-21,298.0,291.0,292.0,292.0,2412381.0
19,2020-05-22,294.0,286.0,288.0,287.0,2030948.0
20,2020-05-25,291.0,283.0,290.0,290.0,2095628.0
21,2020-05-26,297.0,284.0,292.0,289.0,3453778.0
22,2020-05-27,293.0,287.0,291.0,293.0,3556086.0
23,2020-05-28,293.0,281.0,293.0,283.0,3727595.0
24,2020-05-29,286.0,274.0,284.0,280.0,2644870.0
25,2020-06-01,284.0,277.0,277.0,278.0,2557839.0
26,2020-06-02,291.0,280.0,282.0,288.0,3222195.0
27,2020-06-03,293.0,284.0,288.0,286.0,2086021.0
28,2020-06-04,291.0,285.0,286.0,287.0,1524597.0
29,2020-06-05,309.0,287.0,290.0,291.0,12178471.0
30,2020-06-08,292.0,287.0,292.0,290.0,2232304.0
31,2020-06-09,295.0,284.0,291.0,286.0,3022069.0
32,2020-06-10,287.0,280.0,287.0,282.0,1836768.0
33,2020-06-11,310.0,268.0,282.0,270.0,15428324.0
34,2020-06-12,264.0,252.0,260.0,262.0,3047713.0
35,2020-06-15,266.0,243.0,263.0,243.0,2615765.0
36,2020-06-16,255.0,244.0,246.0,252.0,1819296.0
37,2020-06-17,268.0,246.0,247.0,250.0,2512744.0
38,2020-06-18,261.0,251.0,251.0,257.0,1749166.0
39,2020-06-19,259.0,252.0,257.0,253.0,1328186.0
40,2020-06-22,255.0,249.0,255.0,249.0,1835209.0
41,2020-06-23,253.0,244.0,249.0,244.0,1329098.0
42,2020-06-24,248.0,241.0,245.0,243.0,1078966.0
43,2020-06-25,281.0,236.0,238.0,247.0,26109609.0
44,2020-06-26,258.0,240.0,250.0,240.0,3845742.0
45,2020-06-29,244.0,235.0,240.0,238.0,2119315.0
46,2020-06-30,252.0,236.0,238.0,239.0,3833036.0
47,2020-07-01,242.0,234.0,238.0,236.0,1661053.0
48,2020-07-02,243.0,234.0,235.0,243.0,1340075.0
49,2020-07-03,251.0,241.0,242.0,246.0,1580539.0
50,2020-07-06,260.0,246.0,246.0,258.0,2529545.0
51,2020-07-07,260.0,251.0,257.0,252.0,1017958.0
52,2020-07-08,255.0,247.0,252.0,252.0,648248.0
53,2020-07-09,254.0,247.0,254.0,249.0,745858.0
54,2020-07-10,250.0,243.0,249.0,244.0,827649.0
55,2020-07-13,247.0,241.0,244.0,243.0,869823.0
56,2020-07-14,246.0,240.0,243.0,242.0,1272179.0
57,2020-07-15,249.0,243.0,243.0,243.0,875576.0
58,2020-07-16,251.0,243.0,245.0,245.0,1284378.0
59,2020-07-17,248.0,244.0,245.0,248.0,763242.0
60,2020-07-20,250.0,244.0,248.0,246.0,818309.0
61,2020-07-21,250.0,237.0,244.0,246.0,2948143.0
62,2020-07-22,249.0,242.0,246.0,246.0,1204827.0
63,2020-07-23,250.0,244.0,247.0,248.0,1718515.0
64,2020-07-24,249.0,240.0,247.0,246.0,1322957.0
65,2020-07-27,254.0,245.0,247.0,248.0,1583988.0
66,2020-07-28,259.0,246.0,248.0,253.0,3347722.0
67,2020-07-29,258.0,250.0,252.0,254.0,1780245.0
68,2020-07-30,258.0,253.0,255.0,258.0,937442.0
69,2020-07-31,275.0,254.0,256.0,264.0,5831310.0
70,2020-08-03,271.0,262.0,265.0,265.0,2103981.0
71,2020-08-04,285.0,266.0,273.0,282.0,6414990.0
72,2020-08-05,286.0,270.0,285.0,270.0,2923331.0
73,2020-08-06,283.0,269.0,270.0,276.0,4540441.0
74,2020-08-07,310.0,268.0,310.0,268.0,23056026.0
75,2020-08-10,272.0,259.0,270.0,264.0,5645404.0
76,2020-08-11,265.0,257.0,264.0,260.0,3142583.0
77,2020-08-12,261.0,248.0,260.0,257.0,3239647.0
78,2020-08-13,267.0,255.0,259.0,265.0,2723311.0
79,2020-08-14,271.0,252.0,265.0,257.0,2723500.0
80,2020-08-18,258.0,232.0,257.0,243.0,3423654.0
81,2020-08-19,253.0,241.0,243.0,245.0,1628183.0
82,2020-08-20,245.0,231.0,245.0,236.0,2278493.0
83,2020-08-21,246.0,233.0,233.0,245.0,1382856.0
84,2020-08-24,248.0,241.0,248.0,243.0,1002954.0
85,2020-08-25,256.0,242.0,243.0,244.0,4343907.0
86,2020-08-26,255.0,243.0,244.0,255.0,2275341.0
87,2020-08-27,257.0,245.0,254.0,249.0,3325038.0
88,2020-08-28,254.0,243.0,250.0,250.0,1384237.0
89,2020-08-31,274.0,250.0,251.0,265.0,7627942.0
90,2020-09-01,277.0,261.0,270.0,267.0,7604013.0
91,2020-09-02,301.0,263.0,293.0,265.0,33252471.0
92,2020-09-03,283.0,265.0,278.0,269.0,11009559.0
93,2020-09-04,272.0,256.0,260.0,272.0,4572134.0
94,2020-09-07,273.0,266.0,272.0,273.0,2850602.0
95,2020-09-08,333.0,271.0,272.0,303.0,107916210.0
96,2020-09-09,350.0,301.0,310.0,313.0,116551657.0
97,2020-09-10,311.0,290.0,310.0,295.0,17422227.0
98,2020-09-11,324.0,290.0,292.0,301.0,36736313.0
99,2020-09-14,321.0,307.0,317.0,314.0,14492020.0
100,2020-09-15,320.0,302.0,313.0,313.0,8268651.0
101,2020-09-16,314.0,307.0,310.0,309.0,4978798.0
102,2020-09-17,311.0,303.0,309.0,304.0,3881261.0
103,2020-09-18,313.0,298.0,305.0,306.0,3956389.0
104,2020-09-21,318.0,306.0,308.0,312.0,6428238.0
105,2020-09-22,312.0,296.0,308.0,301.0,5364924.0
106,2020-09-23,306.0,291.0,301.0,304.0,4485700.0
107,2020-09-24,308.0,294.0,302.0,298.0,4328112.0
108,2020-09-25,325.0,294.0,300.0,316.0,15263927.0
109,2020-09-28,342.0,321.0,334.0,327.0,13809920.0
110,2020-09-29,356.0,325.0,333.0,352.0,20551874.0
111,2020-10-05,380.0,343.0,352.0,360.0,17477407.0
112,2020-10-06,468.0,337.0,355.0,465.0,88028890.0
113,2020-10-07,540.0,450.0,455.0,470.0,205782063.0
114,2020-10-08,490.0,436.0,485.0,460.0,61042886.0
115,2020-10-12,458.0,426.0,452.0,427.0,22941609.0
116,2020-10-13,452.0,403.0,421.0,423.0,36604650.0
117,2020-10-14,430.0,402.0,429.0,428.0,13406665.0
118,2020-10-15,428.0,356.0,426.0,368.0,30710890.0
119,2020-10-16,364.0,320.0,351.0,335.0,14141821.0
120,2020-10-19,339.0,315.0,335.0,321.0,7975854.0
121,2020-10-20,330.0,301.0,315.0,326.0,9774243.0
122,2020-10-21,327.0,310.0,325.0,319.0,4948221.0
123,2020-10-22,346.0,312.0,319.0,330.0,11094416.0
124,2020-10-23,332.0,320.0,332.0,322.0,3466097.0
125,2020-10-26,322.0,303.0,322.0,303.0,4358084.0
126,2020-10-27,315.0,293.0,295.0,314.0,4946037.0
127,2020-10-28,322.0,306.0,314.0,318.0,3689515.0
128,2020-10-29,316.0,306.0,312.0,313.0,2975748.0
129,2020-10-30,318.0,307.0,311.0,309.0,3356094.0
130,2020-11-02,332.0,307.0,307.0,323.0,6013036.0
131,2020-11-03,338.0,326.0,327.0,331.0,6118852.0
132,2020-11-04,337.0,323.0,337.0,325.0,3195915.0
133,2020-11-05,343.0,324.0,330.0,333.0,5398643.0
134,2020-11-06,337.0,326.0,333.0,333.0,4262436.0
135,2020-11-09,345.0,332.0,337.0,343.0,4767887.0
136,2020-11-10,356.0,331.0,345.0,346.0,4996208.0
137,2020-11-11,376.0,340.0,346.0,371.0,11491477.0
