,index,High,Low,Open,Close,Volume
0,2020-05-04,318000.0,312000.0,317500.0,314000.0,2421.0
1,2020-05-06,322500.0,315500.0,317500.0,319500.0,2379.0
2,2020-05-07,320000.0,314000.0,316500.0,320000.0,1605.0
3,2020-05-08,321000.0,316000.0,316000.0,318500.0,1916.0
4,2020-05-11,319500.0,316000.0,317000.0,316000.0,1805.0
5,2020-05-12,322000.0,307500.0,322000.0,312500.0,2117.0
6,2020-05-13,319000.0,307500.0,310000.0,316500.0,1947.0
7,2020-05-14,350000.0,315000.0,338500.0,319000.0,9890.0
8,2020-05-15,321000.0,311500.0,320000.0,318000.0,3061.0
9,2020-05-18,318500.0,312000.0,315000.0,312500.0,2729.0
10,2020-05-19,316000.0,312500.0,312500.0,314500.0,2068.0
11,2020-05-20,316000.0,312000.0,315000.0,313500.0,1883.0
12,2020-05-21,314500.0,312500.0,314000.0,312500.0,1653.0
13,2020-05-22,315500.0,310000.0,315000.0,310000.0,1944.0
14,2020-05-25,313000.0,308000.0,313000.0,309500.0,1131.0
15,2020-05-26,312000.0,309000.0,309500.0,311500.0,1363.0
16,2020-05-27,312500.0,309500.0,309500.0,311000.0,2295.0
17,2020-05-28,313500.0,307000.0,310000.0,310000.0,3975.0
18,2020-05-29,312000.0,299500.0,310000.0,299500.0,6913.0
19,2020-06-01,302000.0,296500.0,302000.0,299000.0,3855.0
20,2020-06-02,305000.0,299000.0,299500.0,305000.0,4209.0
21,2020-06-03,315500.0,305000.0,305000.0,310500.0,7646.0
22,2020-06-04,313500.0,309000.0,310000.0,309500.0,3064.0
23,2020-06-05,313000.0,309500.0,310000.0,313000.0,4343.0
24,2020-06-08,317000.0,312000.0,315000.0,314000.0,5483.0
25,2020-06-09,316500.0,312000.0,315000.0,313000.0,3533.0
26,2020-06-10,315000.0,311500.0,314500.0,314000.0,3039.0
27,2020-06-11,312500.0,292000.0,312000.0,299500.0,17800.0
28,2020-06-12,296000.0,288000.0,295000.0,292500.0,5038.0
29,2020-06-15,295500.0,278000.0,292500.0,278000.0,3772.0
30,2020-06-16,295000.0,281500.0,281500.0,292000.0,3844.0
31,2020-06-17,302000.0,290000.0,290500.0,299500.0,3728.0
32,2020-06-18,306000.0,300000.0,303000.0,305500.0,3893.0
33,2020-06-19,305500.0,296500.0,305500.0,297000.0,1732.0
34,2020-06-22,297500.0,295000.0,297000.0,296000.0,841.0
35,2020-06-23,299500.0,296000.0,296000.0,297000.0,1675.0
36,2020-06-24,299500.0,296000.0,297000.0,297000.0,1004.0
37,2020-06-25,297000.0,293000.0,297000.0,297000.0,1435.0
38,2020-06-26,297000.0,287500.0,297000.0,290500.0,1505.0
39,2020-06-29,289000.0,275000.0,289000.0,279000.0,2201.0
