,index,High,Low,Open,Close,Volume
0,2020-05-04,2385.0,2145.0,2175.0,2320.0,13581387.0
1,2020-05-06,2325.0,2240.0,2300.0,2265.0,4961535.0
2,2020-05-07,2450.0,2210.0,2290.0,2300.0,9025169.0
3,2020-05-08,2395.0,2290.0,2360.0,2300.0,4650249.0
4,2020-05-11,2415.0,2220.0,2335.0,2415.0,4639205.0
5,2020-05-12,2390.0,2275.0,2390.0,2320.0,2818436.0
6,2020-05-13,2365.0,2250.0,2275.0,2315.0,2047887.0
7,2020-05-14,2355.0,2275.0,2290.0,2335.0,1814244.0
8,2020-05-15,2400.0,2245.0,2355.0,2250.0,3739647.0
9,2020-05-18,2690.0,2145.0,2230.0,2335.0,34882520.0
10,2020-05-19,2345.0,2250.0,2340.0,2270.0,3140274.0
11,2020-05-20,2330.0,2265.0,2300.0,2290.0,2598868.0
12,2020-05-21,2320.0,2270.0,2290.0,2280.0,1586224.0
13,2020-05-22,2310.0,2175.0,2280.0,2180.0,1600696.0
14,2020-05-25,2285.0,2165.0,2180.0,2200.0,2509012.0
15,2020-05-26,2245.0,2165.0,2240.0,2175.0,1295192.0
16,2020-05-27,2295.0,2150.0,2175.0,2190.0,3391702.0
17,2020-05-28,2340.0,2125.0,2185.0,2155.0,4639365.0
18,2020-05-29,2195.0,2105.0,2155.0,2115.0,1260352.0
19,2020-06-01,2150.0,2095.0,2100.0,2120.0,993113.0
20,2020-06-02,2165.0,2115.0,2125.0,2125.0,879527.0
21,2020-06-03,2165.0,2120.0,2130.0,2125.0,765343.0
22,2020-06-04,2170.0,2125.0,2145.0,2160.0,729923.0
23,2020-06-05,2270.0,2145.0,2165.0,2250.0,2371370.0
24,2020-06-08,2240.0,2175.0,2240.0,2205.0,741110.0
25,2020-06-09,2225.0,2120.0,2205.0,2125.0,1085167.0
26,2020-06-10,2140.0,2045.0,2115.0,2080.0,788983.0
27,2020-06-11,2115.0,2030.0,2070.0,2045.0,554525.0
28,2020-06-12,2000.0,1900.0,1910.0,1985.0,794717.0
29,2020-06-15,1995.0,1800.0,1970.0,1800.0,1081650.0
30,2020-06-16,1920.0,1820.0,1820.0,1910.0,579124.0
31,2020-06-17,1970.0,1860.0,1880.0,1890.0,492308.0
32,2020-06-18,1940.0,1870.0,1895.0,1940.0,415434.0
33,2020-06-19,1970.0,1900.0,1965.0,1915.0,419876.0
34,2020-06-22,1930.0,1880.0,1910.0,1885.0,320522.0
35,2020-06-23,1955.0,1880.0,1895.0,1945.0,781282.0
36,2020-06-24,2020.0,1910.0,1980.0,1930.0,1019422.0
37,2020-06-25,1925.0,1880.0,1905.0,1900.0,347406.0
38,2020-06-26,2200.0,1850.0,1895.0,2030.0,3632447.0
39,2020-06-29,1955.0,1875.0,1930.0,1920.0,1344347.0
40,2020-06-30,1935.0,1875.0,1930.0,1875.0,451231.0
