,index,High,Low,Open,Close,Volume
0,2020-05-08,2780.0,2700.0,2740.0,2770.0,3617.0
1,2020-05-11,2810.0,2740.0,2760.0,2780.0,3470.0
2,2020-05-12,2800.0,2670.0,2780.0,2765.0,6254.0
3,2020-05-13,2765.0,2710.0,2735.0,2765.0,4204.0
4,2020-05-14,2725.0,2670.0,2680.0,2720.0,7256.0
5,2020-05-15,2715.0,2610.0,2680.0,2610.0,11680.0
6,2020-05-18,2660.0,2585.0,2610.0,2615.0,4539.0
7,2020-05-19,2670.0,2620.0,2625.0,2640.0,4654.0
8,2020-05-20,2680.0,2640.0,2640.0,2650.0,1369.0
9,2020-05-21,2685.0,2630.0,2630.0,2650.0,952.0
10,2020-05-22,2700.0,2640.0,2700.0,2670.0,5062.0
11,2020-05-25,2670.0,2640.0,2670.0,2665.0,4889.0
12,2020-05-26,2895.0,2640.0,2640.0,2730.0,110775.0
13,2020-05-27,2770.0,2670.0,2770.0,2685.0,18586.0
14,2020-05-28,2770.0,2665.0,2685.0,2705.0,7322.0
15,2020-05-29,2730.0,2650.0,2685.0,2720.0,4656.0
16,2020-06-01,2730.0,2680.0,2720.0,2715.0,7699.0
17,2020-06-02,2740.0,2695.0,2715.0,2730.0,7971.0
18,2020-06-03,2850.0,2710.0,2760.0,2850.0,30981.0
19,2020-06-04,2890.0,2715.0,2855.0,2720.0,36399.0
20,2020-06-05,2760.0,2720.0,2720.0,2740.0,4695.0
21,2020-06-08,2800.0,2710.0,2740.0,2710.0,8517.0
22,2020-06-09,2800.0,2710.0,2710.0,2740.0,7863.0
23,2020-06-10,2785.0,2685.0,2740.0,2700.0,3148.0
24,2020-06-11,2760.0,2670.0,2700.0,2750.0,4930.0
25,2020-06-12,2730.0,2505.0,2660.0,2610.0,28841.0
26,2020-06-15,2620.0,2560.0,2585.0,2585.0,5246.0
27,2020-06-16,2635.0,2585.0,2590.0,2605.0,4227.0
28,2020-06-17,2630.0,2560.0,2605.0,2600.0,3339.0
29,2020-06-18,2645.0,2585.0,2600.0,2630.0,1738.0
30,2020-06-19,2630.0,2560.0,2620.0,2620.0,3562.0
