,Date,High,Low,Open,Close,Volume
0,2020-05-08,2005.0,1985.0,1985.0,2005.0,14.0
1,2020-05-11,2010.0,1990.0,2010.0,2005.0,3615.0
2,2020-05-12,2060.0,1995.0,2005.0,2050.0,22009.0
3,2020-05-13,2045.0,1990.0,2045.0,2000.0,24260.0
4,2020-05-14,2010.0,2000.0,2005.0,2005.0,1295.0
5,2020-05-15,2030.0,2000.0,2030.0,2005.0,5898.0
6,2020-05-18,2005.0,2000.0,2005.0,2000.0,4289.0
7,2020-05-19,2005.0,2000.0,2005.0,2005.0,664.0
8,2020-05-20,2020.0,2005.0,2005.0,2020.0,11001.0
9,2020-05-21,2015.0,2000.0,2000.0,2015.0,1001.0
10,2020-05-22,2020.0,2005.0,2020.0,2015.0,411.0
11,2020-05-25,2020.0,2000.0,2020.0,2010.0,13945.0
12,2020-05-26,2020.0,2015.0,2020.0,2015.0,7315.0
13,2020-05-27,2010.0,2000.0,2000.0,2010.0,291.0
14,2020-05-28,2010.0,2000.0,2000.0,2010.0,3466.0
15,2020-05-29,2010.0,2010.0,2010.0,2010.0,165.0
16,2020-06-01,2010.0,2000.0,2005.0,2010.0,4488.0
17,2020-06-02,2020.0,2000.0,2005.0,2005.0,13304.0
18,2020-06-03,2025.0,2000.0,2000.0,2020.0,10135.0
19,2020-06-04,2025.0,2005.0,2025.0,2020.0,3802.0
20,2020-06-05,2020.0,2020.0,2020.0,2020.0,4815.0
21,2020-06-08,2020.0,1995.0,1995.0,2020.0,7200.0
22,2020-06-09,2010.0,2010.0,2010.0,2010.0,829.0
23,2020-06-10,2010.0,2005.0,2005.0,2010.0,1744.0
24,2020-06-11,2015.0,2000.0,2015.0,2010.0,3408.0
25,2020-06-12,2030.0,2000.0,2000.0,2010.0,865.0
26,2020-06-15,2010.0,2000.0,2000.0,2010.0,220.0
27,2020-06-16,2020.0,2005.0,2005.0,2020.0,10956.0
28,2020-06-17,2015.0,2010.0,2010.0,2010.0,2852.0
29,2020-06-18,2015.0,2005.0,2015.0,2010.0,4932.0
30,2020-06-19,2010.0,2000.0,2010.0,2005.0,1912.0
31,2020-06-22,2015.0,1995.0,2000.0,2015.0,10903.0
32,2020-06-23,2015.0,2000.0,2000.0,2015.0,1426.0
33,2020-06-24,2015.0,2000.0,2000.0,2015.0,20108.0
34,2020-06-25,2015.0,2000.0,2000.0,2015.0,11.0
35,2020-06-26,2015.0,2000.0,2000.0,2015.0,11005.0
36,2020-06-29,2010.0,2000.0,2000.0,2000.0,1793.0
37,2020-06-30,2020.0,2000.0,2020.0,2015.0,29.0
38,2020-07-01,2010.0,2005.0,2010.0,2010.0,4424.0
39,2020-07-02,2015.0,2000.0,2005.0,2015.0,10073.0
40,2020-07-03,2020.0,2010.0,2020.0,2010.0,4011.0
41,2020-07-06,2010.0,2000.0,2005.0,2010.0,9434.0
42,2020-07-07,2020.0,2000.0,2020.0,2010.0,43391.0
43,2020-07-08,2015.0,2000.0,2015.0,2015.0,5847.0
44,2020-07-09,2010.0,2000.0,2000.0,2005.0,1131.0
45,2020-07-10,2010.0,2005.0,2010.0,2010.0,839.0
46,2020-07-13,2010.0,2010.0,2010.0,2010.0,0.0
47,2020-07-14,2010.0,2005.0,2005.0,2010.0,282.0
48,2020-07-15,2015.0,1995.0,2005.0,2010.0,8078.0
49,2020-07-16,2010.0,1995.0,1995.0,2005.0,2659.0
50,2020-07-17,2010.0,2000.0,2000.0,2010.0,2092.0
51,2020-07-20,2010.0,2000.0,2005.0,2005.0,9644.0
52,2020-07-21,2005.0,2000.0,2005.0,2005.0,1676.0
53,2020-07-22,2005.0,2000.0,2000.0,2005.0,486.0
54,2020-07-23,2005.0,1995.0,1995.0,2005.0,976.0
55,2020-07-24,2000.0,2000.0,2000.0,2000.0,0.0
56,2020-07-27,2015.0,2000.0,2000.0,2010.0,26109.0
57,2020-07-28,2010.0,2010.0,2010.0,2010.0,1.0
58,2020-07-29,2010.0,2010.0,2010.0,2010.0,1.0
59,2020-07-30,2005.0,1995.0,1995.0,2000.0,5044.0
60,2020-07-31,2000.0,1995.0,2000.0,1995.0,11954.0
61,2020-08-03,2000.0,1995.0,2000.0,2000.0,7624.0
62,2020-08-04,2005.0,1995.0,2005.0,2000.0,352.0
63,2020-08-05,2005.0,1995.0,2000.0,1995.0,4694.0
64,2020-08-06,2005.0,1990.0,2005.0,2000.0,2018.0
65,2020-08-07,2010.0,1995.0,2010.0,2000.0,17139.0
66,2020-08-10,1995.0,1985.0,1990.0,1995.0,14259.0
67,2020-08-11,2000.0,1990.0,1990.0,2000.0,1050.0
68,2020-08-12,2000.0,1995.0,1995.0,2000.0,5046.0
69,2020-08-13,2000.0,1990.0,1990.0,2000.0,6652.0
70,2020-08-14,2005.0,2005.0,2005.0,2005.0,13.0
71,2020-08-18,2000.0,1995.0,1995.0,2000.0,224.0
72,2020-08-19,2010.0,1990.0,2010.0,2000.0,42483.0
73,2020-08-20,2010.0,1990.0,2010.0,2005.0,6150.0
74,2020-08-21,2005.0,1985.0,2000.0,2005.0,54.0
75,2020-08-24,2010.0,2000.0,2010.0,2000.0,381.0
