,index,High,Low,Open,Close,Volume
0,2020-07-13,15100.0,10950.0,11650.0,15100.0,20758625.0
1,2020-07-14,19600.0,18150.0,18200.0,19600.0,3322501.0
2,2020-07-15,24700.0,20250.0,24100.0,20400.0,22357139.0
3,2020-07-16,22850.0,18650.0,19800.0,20450.0,10472823.0
4,2020-07-17,21500.0,19500.0,19750.0,20000.0,2921113.0
5,2020-07-20,20650.0,18550.0,19800.0,18600.0,1757660.0
6,2020-07-21,22850.0,17600.0,18300.0,19900.0,10567079.0
7,2020-07-22,21750.0,18950.0,19450.0,19700.0,3744980.0
8,2020-07-23,20750.0,19550.0,20350.0,19700.0,2122541.0
9,2020-07-24,20250.0,18850.0,19350.0,18850.0,1445204.0
10,2020-07-27,19300.0,17900.0,18850.0,17900.0,834847.0
11,2020-07-28,19300.0,17000.0,18550.0,17250.0,1236769.0
12,2020-07-29,17450.0,16450.0,17200.0,16550.0,696525.0
13,2020-07-30,17650.0,16500.0,16750.0,16800.0,798613.0
14,2020-07-31,17250.0,16500.0,16800.0,16500.0,406011.0
15,2020-08-03,18900.0,16150.0,16550.0,17150.0,2987111.0
16,2020-08-04,18350.0,17350.0,17400.0,17800.0,1034617.0
17,2020-08-05,18250.0,17500.0,18150.0,17600.0,365194.0
18,2020-08-06,17600.0,17100.0,17600.0,17200.0,429924.0
19,2020-08-07,17800.0,16900.0,17450.0,16950.0,675808.0
20,2020-08-10,17050.0,16300.0,17000.0,16550.0,328279.0
21,2020-08-11,16700.0,16350.0,16450.0,16400.0,231564.0
22,2020-08-12,18050.0,16300.0,16450.0,17150.0,1467684.0
23,2020-08-13,17400.0,16550.0,17200.0,16600.0,523872.0
24,2020-08-14,16900.0,16350.0,16700.0,16450.0,271883.0
25,2020-08-18,16500.0,14850.0,16200.0,15000.0,407168.0
26,2020-08-19,15450.0,14500.0,15050.0,14550.0,270559.0
27,2020-08-20,14750.0,13450.0,14750.0,13550.0,397043.0
28,2020-08-21,17600.0,13400.0,13750.0,14800.0,6244731.0
29,2020-08-24,17600.0,14200.0,15050.0,16900.0,4567509.0
30,2020-08-25,18300.0,16550.0,17000.0,16950.0,1897483.0
31,2020-08-26,17900.0,16400.0,17100.0,17900.0,1242277.0
32,2020-08-27,21200.0,17450.0,19850.0,17500.0,3066634.0
33,2020-08-28,18100.0,16950.0,17600.0,16950.0,729742.0
34,2020-08-31,17250.0,16250.0,17000.0,16400.0,550562.0
35,2020-09-01,17850.0,16300.0,16300.0,17200.0,921905.0
36,2020-09-02,17600.0,17000.0,17200.0,17050.0,355556.0
37,2020-09-03,17900.0,17100.0,17150.0,17450.0,613813.0
38,2020-09-04,17100.0,16500.0,16650.0,16900.0,339675.0
39,2020-09-07,17250.0,16500.0,16750.0,16750.0,374416.0
40,2020-09-08,17300.0,16700.0,16900.0,16950.0,555052.0
41,2020-09-09,17850.0,16750.0,16750.0,17250.0,1205550.0
42,2020-09-10,17950.0,17050.0,17550.0,17100.0,681260.0
43,2020-09-11,17550.0,17100.0,17300.0,17350.0,490625.0
44,2020-09-14,18100.0,17350.0,17750.0,17450.0,942477.0
45,2020-09-15,16750.0,15800.0,16400.0,15800.0,983261.0
46,2020-09-16,15750.0,15000.0,15750.0,15100.0,484908.0
47,2020-09-17,15400.0,14550.0,14950.0,14700.0,267358.0
48,2020-09-18,14900.0,14300.0,14700.0,14550.0,184173.0
49,2020-09-21,14850.0,14500.0,14750.0,14500.0,142877.0
50,2020-09-22,16450.0,14100.0,15000.0,15750.0,1001477.0
51,2020-09-23,16050.0,14850.0,16000.0,14850.0,409615.0
52,2020-09-24,15200.0,13500.0,14800.0,13900.0,383795.0
53,2020-09-25,14500.0,13750.0,13950.0,14000.0,209101.0
54,2020-09-28,14300.0,13850.0,14100.0,13900.0,131872.0
55,2020-09-29,14300.0,13900.0,14000.0,14200.0,92907.0
56,2020-10-05,14450.0,13950.0,14450.0,14050.0,86878.0
57,2020-10-06,14400.0,14050.0,14300.0,14300.0,130330.0
58,2020-10-07,14600.0,14050.0,14200.0,14400.0,97986.0
59,2020-10-08,15950.0,14300.0,14600.0,15100.0,847022.0
60,2020-10-12,15500.0,14550.0,15000.0,15150.0,1450997.0
61,2020-10-13,15450.0,14200.0,15400.0,14400.0,1015684.0
62,2020-10-14,14750.0,14050.0,14550.0,14150.0,265271.0
63,2020-10-15,14200.0,13000.0,14200.0,13300.0,337987.0
64,2020-10-16,13400.0,12650.0,13150.0,12900.0,186118.0
65,2020-10-19,13200.0,12600.0,12900.0,12700.0,104098.0
66,2020-10-20,15350.0,12000.0,12550.0,13050.0,1457905.0
67,2020-10-21,13700.0,13100.0,13300.0,13250.0,337846.0
68,2020-10-22,13250.0,12650.0,13250.0,12700.0,144534.0
69,2020-10-23,13000.0,12500.0,12750.0,12500.0,108447.0
70,2020-10-26,12500.0,11450.0,12450.0,11500.0,271851.0
71,2020-10-27,11750.0,11100.0,11350.0,11500.0,142421.0
72,2020-10-28,11900.0,11500.0,11500.0,11900.0,108179.0
73,2020-10-29,12300.0,11500.0,11550.0,11950.0,155922.0
74,2020-10-30,12450.0,11550.0,12250.0,11600.0,156368.0
75,2020-11-02,12000.0,11600.0,11600.0,11750.0,77068.0
76,2020-11-03,12500.0,11850.0,11900.0,12400.0,268720.0
77,2020-11-04,12750.0,12150.0,12500.0,12250.0,238071.0
78,2020-11-05,12750.0,12250.0,12250.0,12600.0,218311.0
79,2020-11-06,15700.0,13200.0,13350.0,14450.0,4608571.0
80,2020-11-09,15000.0,14050.0,14850.0,14150.0,954633.0
81,2020-11-10,14000.0,12650.0,14000.0,12850.0,791356.0
82,2020-11-11,13300.0,12800.0,12900.0,13250.0,437023.0
