,index,High,Low,Open,Close,Volume
0,2020-04-22,2300.0,2150.0,2250.0,2260.0,1384784.0
1,2020-04-23,2340.0,2225.0,2280.0,2300.0,997383.0
2,2020-04-24,2330.0,2195.0,2275.0,2280.0,648806.0
3,2020-04-27,2400.0,2245.0,2310.0,2275.0,1469008.0
4,2020-04-28,2335.0,2205.0,2320.0,2220.0,439575.0
5,2020-04-29,2285.0,2160.0,2205.0,2215.0,471329.0
6,2020-05-04,2360.0,2045.0,2150.0,2225.0,1970562.0
7,2020-05-06,2220.0,2135.0,2220.0,2195.0,562762.0
8,2020-05-07,2220.0,2105.0,2175.0,2190.0,319732.0
9,2020-05-08,2300.0,2165.0,2210.0,2295.0,971575.0
10,2020-05-11,2320.0,2200.0,2290.0,2230.0,468605.0
11,2020-05-12,2255.0,2175.0,2225.0,2180.0,373453.0
12,2020-05-13,2350.0,2150.0,2180.0,2285.0,2081180.0
13,2020-05-14,2320.0,2240.0,2250.0,2295.0,831001.0
14,2020-05-15,2525.0,2265.0,2315.0,2525.0,3219172.0
15,2020-05-18,2625.0,2435.0,2490.0,2475.0,1639193.0
16,2020-05-19,2895.0,2420.0,2500.0,2795.0,7110666.0
17,2020-05-20,2880.0,2705.0,2740.0,2780.0,1309165.0
18,2020-05-21,3000.0,2710.0,2800.0,2970.0,1905725.0
19,2020-05-22,3245.0,2980.0,2980.0,3095.0,2222744.0
20,2020-05-25,3225.0,3050.0,3115.0,3160.0,1052651.0
21,2020-05-26,3220.0,3070.0,3150.0,3130.0,689088.0
22,2020-05-27,3180.0,2830.0,3140.0,2980.0,1085486.0
23,2020-05-28,3065.0,2810.0,2980.0,2880.0,699235.0
24,2020-05-29,3300.0,2820.0,2880.0,3230.0,2862250.0
25,2020-06-01,3645.0,3185.0,3215.0,3600.0,2657420.0
26,2020-06-02,3830.0,3520.0,3595.0,3810.0,1226787.0
27,2020-06-03,4140.0,3730.0,3855.0,4010.0,1932299.0
