,index,High,Low,Open,Close,Volume
0,2020-05-08,3780.0,3655.0,3780.0,3730.0,36275.0
1,2020-05-11,3770.0,3660.0,3770.0,3725.0,14412.0
2,2020-05-12,3745.0,3640.0,3745.0,3715.0,11321.0
3,2020-05-13,3715.0,3600.0,3715.0,3700.0,16513.0
4,2020-05-14,3700.0,3565.0,3650.0,3645.0,13660.0
5,2020-05-15,3695.0,3600.0,3695.0,3640.0,2914.0
6,2020-05-18,3650.0,3500.0,3650.0,3590.0,12617.0
7,2020-05-19,3635.0,3560.0,3600.0,3615.0,29262.0
8,2020-05-20,3650.0,3595.0,3650.0,3600.0,27549.0
9,2020-05-21,3650.0,3585.0,3645.0,3640.0,42644.0
10,2020-05-22,3640.0,3510.0,3640.0,3595.0,43229.0
11,2020-05-25,3680.0,3555.0,3595.0,3645.0,81431.0
12,2020-05-26,3680.0,3580.0,3680.0,3640.0,42523.0
13,2020-05-27,3725.0,3615.0,3640.0,3710.0,87315.0
14,2020-05-28,3800.0,3570.0,3750.0,3695.0,113935.0
15,2020-05-29,3690.0,3570.0,3690.0,3665.0,58698.0
16,2020-06-01,3680.0,3550.0,3680.0,3665.0,33256.0
17,2020-06-02,3685.0,3600.0,3685.0,3640.0,34247.0
18,2020-06-03,3700.0,3570.0,3640.0,3690.0,102158.0
19,2020-06-04,3995.0,3655.0,3655.0,3935.0,284327.0
20,2020-06-05,4020.0,3860.0,3960.0,3935.0,165799.0
21,2020-06-08,4000.0,3850.0,3995.0,3900.0,132602.0
22,2020-06-09,3945.0,3770.0,3900.0,3830.0,75942.0
23,2020-06-10,3840.0,3670.0,3830.0,3765.0,86760.0
24,2020-06-11,3840.0,3630.0,3765.0,3800.0,90454.0
25,2020-06-12,3745.0,3580.0,3650.0,3745.0,41926.0
26,2020-06-15,3775.0,3415.0,3775.0,3550.0,109378.0
27,2020-06-16,3680.0,3545.0,3680.0,3630.0,38874.0
28,2020-06-17,3635.0,3470.0,3630.0,3505.0,37410.0
29,2020-06-18,3600.0,3400.0,3505.0,3590.0,44244.0
30,2020-06-19,3840.0,3550.0,3560.0,3645.0,74281.0
31,2020-06-22,3645.0,3510.0,3625.0,3510.0,35382.0
32,2020-06-23,3555.0,3430.0,3555.0,3495.0,33885.0
33,2020-06-24,3540.0,3465.0,3495.0,3505.0,36490.0
34,2020-06-25,3500.0,3400.0,3500.0,3400.0,23253.0
35,2020-06-26,3505.0,3370.0,3400.0,3390.0,21366.0
36,2020-06-29,3435.0,3270.0,3385.0,3340.0,28478.0
37,2020-06-30,3450.0,3340.0,3340.0,3450.0,20551.0
38,2020-07-01,3500.0,3395.0,3455.0,3440.0,11893.0
39,2020-07-02,3475.0,3395.0,3405.0,3430.0,10071.0
40,2020-07-03,3470.0,3375.0,3430.0,3425.0,20697.0
41,2020-07-06,3560.0,3425.0,3465.0,3545.0,27269.0
42,2020-07-07,3560.0,3500.0,3560.0,3520.0,17624.0
43,2020-07-08,3560.0,3465.0,3560.0,3525.0,25403.0
44,2020-07-09,3570.0,3475.0,3555.0,3545.0,25604.0
45,2020-07-10,4060.0,3430.0,3505.0,3590.0,134002.0
46,2020-07-13,3660.0,3555.0,3660.0,3615.0,25045.0
47,2020-07-14,3630.0,3560.0,3595.0,3620.0,5875.0
48,2020-07-15,3685.0,3580.0,3630.0,3635.0,30244.0
49,2020-07-16,3675.0,3600.0,3675.0,3630.0,5918.0
50,2020-07-17,3645.0,3550.0,3630.0,3620.0,23615.0
51,2020-07-20,3620.0,3510.0,3620.0,3560.0,21105.0
