,index,High,Low,Open,Close,Volume
0,2020-05-08,2340.0,2240.0,2250.0,2290.0,111377.0
1,2020-05-11,2325.0,2245.0,2310.0,2245.0,47622.0
2,2020-05-12,2280.0,2195.0,2245.0,2225.0,30713.0
3,2020-05-13,2255.0,2165.0,2165.0,2255.0,54051.0
4,2020-05-14,2250.0,2175.0,2230.0,2175.0,28903.0
5,2020-05-15,2190.0,2105.0,2175.0,2150.0,29190.0
6,2020-05-18,2295.0,2115.0,2150.0,2255.0,76647.0
7,2020-05-19,2290.0,2240.0,2290.0,2265.0,30103.0
8,2020-05-20,2290.0,2240.0,2240.0,2285.0,58800.0
9,2020-05-21,2380.0,2260.0,2285.0,2260.0,92941.0
10,2020-05-22,2340.0,2250.0,2340.0,2300.0,90378.0
11,2020-05-25,2355.0,2260.0,2300.0,2320.0,81679.0
12,2020-05-26,2540.0,2330.0,2365.0,2505.0,277726.0
13,2020-05-27,2585.0,2470.0,2505.0,2515.0,280497.0
14,2020-05-28,2570.0,2290.0,2550.0,2430.0,199151.0
15,2020-05-29,2495.0,2370.0,2450.0,2435.0,56515.0
16,2020-06-01,2465.0,2410.0,2440.0,2460.0,90315.0
17,2020-06-02,2560.0,2440.0,2465.0,2550.0,163919.0
18,2020-06-03,2610.0,2500.0,2580.0,2520.0,106831.0
19,2020-06-04,2545.0,2445.0,2520.0,2500.0,78694.0
20,2020-06-05,2515.0,2475.0,2500.0,2475.0,31998.0
21,2020-06-08,2515.0,2395.0,2475.0,2420.0,99951.0
22,2020-06-09,2480.0,2420.0,2420.0,2480.0,113155.0
23,2020-06-10,2500.0,2460.0,2480.0,2485.0,81859.0
24,2020-06-11,2485.0,2430.0,2485.0,2465.0,56622.0
25,2020-06-12,2455.0,2300.0,2385.0,2430.0,95080.0
26,2020-06-15,2430.0,2190.0,2430.0,2335.0,60630.0
27,2020-06-16,2430.0,2310.0,2370.0,2390.0,95908.0
28,2020-06-17,2370.0,2260.0,2355.0,2340.0,66543.0
29,2020-06-18,2380.0,2280.0,2325.0,2350.0,41127.0
30,2020-06-19,2440.0,2300.0,2440.0,2380.0,42124.0
31,2020-06-22,2420.0,2310.0,2420.0,2360.0,42776.0
32,2020-06-23,2380.0,2320.0,2360.0,2380.0,33290.0
33,2020-06-24,2420.0,2355.0,2385.0,2400.0,37355.0
34,2020-06-25,2370.0,2300.0,2365.0,2340.0,53673.0
35,2020-06-26,2355.0,2300.0,2355.0,2345.0,28112.0
36,2020-06-29,2350.0,2255.0,2310.0,2320.0,37930.0
37,2020-06-30,2365.0,2290.0,2305.0,2360.0,15706.0
38,2020-07-01,2395.0,2275.0,2395.0,2330.0,44366.0
39,2020-07-02,2330.0,2285.0,2330.0,2315.0,27317.0
40,2020-07-03,2350.0,2280.0,2350.0,2280.0,27066.0
41,2020-07-06,2350.0,2255.0,2280.0,2350.0,29768.0
42,2020-07-07,2400.0,2300.0,2355.0,2300.0,26826.0
43,2020-07-08,2330.0,2280.0,2315.0,2280.0,21924.0
44,2020-07-09,2320.0,2280.0,2285.0,2305.0,12359.0
45,2020-07-10,2310.0,2240.0,2305.0,2275.0,53148.0
46,2020-07-13,2305.0,2225.0,2275.0,2260.0,51509.0
47,2020-07-14,2810.0,2230.0,2260.0,2460.0,2391730.0
48,2020-07-15,2490.0,2400.0,2440.0,2475.0,250936.0
49,2020-07-16,2505.0,2430.0,2500.0,2455.0,154391.0
50,2020-07-17,2475.0,2430.0,2455.0,2460.0,101228.0
51,2020-07-20,2535.0,2450.0,2470.0,2530.0,195439.0
