,Date,High,Low,Open,Close,Volume
0,2020-05-04,695.0,682.0,695.0,688.0,729943.0
1,2020-05-06,698.0,683.0,690.0,691.0,886827.0
2,2020-05-07,700.0,670.0,697.0,700.0,885736.0
3,2020-05-08,732.0,705.0,714.0,724.0,1990124.0
4,2020-05-11,776.0,704.0,735.0,725.0,5617797.0
5,2020-05-12,738.0,691.0,731.0,727.0,3742540.0
6,2020-05-13,724.0,703.0,707.0,712.0,954719.0
7,2020-05-14,712.0,690.0,712.0,695.0,961008.0
8,2020-05-15,701.0,680.0,695.0,687.0,902449.0
9,2020-05-18,696.0,675.0,687.0,682.0,642276.0
10,2020-05-19,691.0,673.0,682.0,687.0,809104.0
11,2020-05-20,700.0,685.0,690.0,691.0,529661.0
12,2020-05-21,691.0,670.0,683.0,676.0,1537151.0
13,2020-05-22,727.0,672.0,683.0,685.0,5078568.0
14,2020-05-25,683.0,671.0,682.0,677.0,957618.0
15,2020-05-26,680.0,671.0,680.0,678.0,900876.0
16,2020-05-27,680.0,670.0,679.0,674.0,1437377.0
17,2020-05-28,676.0,662.0,676.0,667.0,1122785.0
18,2020-05-29,668.0,645.0,664.0,655.0,1296541.0
19,2020-06-01,662.0,653.0,654.0,660.0,675242.0
20,2020-06-02,677.0,654.0,655.0,673.0,899856.0
21,2020-06-03,678.0,658.0,678.0,660.0,1460374.0
22,2020-06-04,662.0,650.0,660.0,651.0,1340395.0
23,2020-06-05,660.0,635.0,653.0,659.0,1270047.0
24,2020-06-08,675.0,655.0,655.0,659.0,1167271.0
25,2020-06-09,666.0,650.0,665.0,654.0,488008.0
26,2020-06-10,661.0,640.0,654.0,646.0,1019475.0
27,2020-06-11,653.0,630.0,646.0,635.0,1226025.0
28,2020-06-12,620.0,596.0,600.0,615.0,1113959.0
29,2020-06-15,609.0,548.0,608.0,555.0,1332183.0
30,2020-06-16,613.0,565.0,565.0,600.0,818227.0
31,2020-06-17,605.0,584.0,600.0,592.0,416927.0
32,2020-06-18,607.0,583.0,592.0,593.0,263813.0
33,2020-06-19,603.0,581.0,599.0,602.0,405395.0
34,2020-06-22,601.0,588.0,601.0,590.0,322772.0
35,2020-06-23,595.0,575.0,590.0,576.0,485827.0
36,2020-06-24,593.0,566.0,593.0,572.0,679197.0
37,2020-06-25,581.0,568.0,572.0,568.0,473325.0
38,2020-06-26,574.0,549.0,570.0,555.0,818430.0
39,2020-06-29,555.0,543.0,555.0,544.0,580823.0
40,2020-06-30,557.0,537.0,549.0,549.0,360769.0
41,2020-07-01,559.0,538.0,547.0,538.0,946016.0
42,2020-07-02,561.0,538.0,538.0,552.0,861308.0
43,2020-07-03,610.0,549.0,554.0,600.0,1970216.0
44,2020-07-06,605.0,577.0,603.0,580.0,888388.0
45,2020-07-07,585.0,566.0,580.0,572.0,568242.0
46,2020-07-08,580.0,560.0,573.0,565.0,243860.0
47,2020-07-09,572.0,551.0,569.0,559.0,620335.0
48,2020-07-10,565.0,538.0,553.0,539.0,1067059.0
49,2020-07-13,554.0,543.0,543.0,554.0,530540.0
50,2020-07-14,580.0,550.0,555.0,577.0,557841.0
51,2020-07-15,582.0,560.0,581.0,566.0,410544.0
52,2020-07-16,566.0,546.0,566.0,550.0,1021298.0
53,2020-07-17,559.0,549.0,557.0,553.0,368533.0
54,2020-07-20,555.0,541.0,550.0,552.0,435237.0
55,2020-07-21,559.0,546.0,551.0,558.0,440735.0
56,2020-07-22,562.0,548.0,558.0,553.0,423396.0
57,2020-07-23,557.0,542.0,554.0,544.0,545790.0
58,2020-07-24,547.0,532.0,543.0,539.0,456499.0
59,2020-07-27,540.0,525.0,540.0,538.0,713825.0
60,2020-07-28,549.0,530.0,538.0,530.0,353496.0
61,2020-07-29,541.0,522.0,530.0,527.0,800220.0
62,2020-07-30,528.0,521.0,527.0,522.0,328370.0
63,2020-07-31,528.0,516.0,521.0,526.0,385734.0
64,2020-08-03,531.0,521.0,522.0,523.0,487084.0
65,2020-08-04,535.0,522.0,523.0,531.0,407815.0
66,2020-08-05,530.0,520.0,530.0,524.0,575556.0
67,2020-08-06,526.0,516.0,526.0,525.0,601603.0
68,2020-08-07,528.0,518.0,520.0,523.0,653544.0
69,2020-08-10,526.0,515.0,523.0,521.0,1040287.0
70,2020-08-11,545.0,516.0,516.0,545.0,1431133.0
71,2020-08-12,544.0,515.0,544.0,537.0,628856.0
72,2020-08-13,555.0,528.0,537.0,547.0,504046.0
73,2020-08-14,551.0,531.0,551.0,535.0,303744.0
74,2020-08-18,550.0,510.0,536.0,510.0,1043260.0
75,2020-08-19,520.0,504.0,509.0,512.0,1012477.0
76,2020-08-20,412.0,363.0,391.0,363.0,19562738.0
77,2020-08-21,366.0,311.0,363.0,331.0,11130937.0
78,2020-08-24,363.0,313.0,331.0,356.0,5632380.0
79,2020-08-25,379.0,350.0,358.0,356.0,3379070.0
80,2020-08-26,366.0,346.0,356.0,356.0,1511748.0
81,2020-08-27,364.0,336.0,360.0,337.0,1614017.0
82,2020-08-28,355.0,331.0,337.0,347.0,2160310.0
83,2020-08-31,364.0,346.0,357.0,359.0,2196769.0
84,2020-09-01,366.0,350.0,359.0,356.0,1312349.0
85,2020-09-02,360.0,350.0,357.0,358.0,1409392.0
86,2020-09-03,368.0,354.0,360.0,368.0,1494133.0
87,2020-09-04,372.0,355.0,356.0,370.0,1419849.0
88,2020-09-07,373.0,360.0,373.0,362.0,934977.0
89,2020-09-08,370.0,355.0,362.0,357.0,730257.0
90,2020-09-09,355.0,347.0,354.0,350.0,1209953.0
91,2020-09-10,354.0,345.0,350.0,353.0,1025022.0
92,2020-09-11,367.0,353.0,353.0,362.0,1331357.0
93,2020-09-14,373.0,363.0,363.0,369.0,1167708.0
94,2020-09-15,372.0,358.0,369.0,361.0,794001.0
95,2020-09-16,365.0,355.0,362.0,361.0,731190.0
96,2020-09-17,468.0,347.0,361.0,381.0,19952301.0
97,2020-09-18,418.0,373.0,378.0,392.0,7000323.0
98,2020-09-21,397.0,374.0,393.0,374.0,1933299.0
