,index,High,Low,Open,Close,Volume
0,2020-05-04,27150.0,25900.0,26300.0,26100.0,143736.0
1,2020-05-06,26800.0,25400.0,26800.0,25800.0,162121.0
2,2020-05-07,26000.0,25400.0,25800.0,25600.0,119007.0
3,2020-05-08,26100.0,25450.0,25700.0,25500.0,149048.0
4,2020-05-11,25950.0,25450.0,25600.0,25700.0,152753.0
5,2020-05-12,25700.0,24550.0,25600.0,24650.0,142304.0
6,2020-05-13,25300.0,24100.0,24100.0,25300.0,123146.0
7,2020-05-14,25250.0,24000.0,25250.0,24600.0,164493.0
8,2020-05-15,24650.0,23850.0,24650.0,24550.0,76593.0
9,2020-05-18,26400.0,24700.0,24800.0,26350.0,320305.0
10,2020-05-19,27250.0,26050.0,26850.0,26300.0,228483.0
11,2020-05-20,26500.0,26050.0,26350.0,26300.0,143149.0
12,2020-05-21,29000.0,26300.0,26450.0,28400.0,507400.0
13,2020-05-22,30300.0,28400.0,28850.0,29550.0,572141.0
14,2020-05-25,32350.0,29800.0,29900.0,30700.0,626103.0
15,2020-05-26,31300.0,30100.0,30950.0,31000.0,217836.0
16,2020-05-27,32100.0,30300.0,30850.0,31400.0,219539.0
17,2020-05-28,31300.0,29400.0,31100.0,29550.0,246544.0
18,2020-05-29,31350.0,28650.0,29300.0,30650.0,266986.0
19,2020-06-01,32700.0,30200.0,30700.0,32550.0,272410.0
20,2020-06-02,34900.0,32150.0,32200.0,34650.0,338659.0
21,2020-06-03,35650.0,33350.0,34650.0,34050.0,205140.0
22,2020-06-04,34750.0,32450.0,34000.0,32650.0,282341.0
23,2020-06-05,33250.0,32150.0,32650.0,32650.0,139153.0
24,2020-06-08,33450.0,32100.0,33000.0,32250.0,115689.0
25,2020-06-09,33000.0,31450.0,32100.0,32200.0,227332.0
26,2020-06-10,32250.0,31500.0,32200.0,31550.0,183568.0
27,2020-06-11,31650.0,30050.0,31150.0,30900.0,252824.0
28,2020-06-12,30000.0,28800.0,29250.0,29500.0,171598.0
29,2020-06-15,29250.0,27300.0,29150.0,27400.0,190305.0
30,2020-06-16,29000.0,27800.0,27800.0,29000.0,136033.0
31,2020-06-17,30700.0,28700.0,28700.0,30000.0,250034.0
32,2020-06-18,30300.0,28600.0,29600.0,29200.0,171566.0
33,2020-06-19,29700.0,28400.0,29700.0,28700.0,108942.0
34,2020-06-22,28350.0,27500.0,28300.0,27550.0,186822.0
35,2020-06-23,27900.0,26600.0,27650.0,27100.0,168097.0
36,2020-06-24,27350.0,26850.0,27150.0,27000.0,119795.0
37,2020-06-25,26650.0,25650.0,26400.0,25750.0,230078.0
38,2020-06-26,26500.0,25650.0,26000.0,26150.0,130049.0
39,2020-06-29,26000.0,25200.0,25700.0,25550.0,116755.0
40,2020-06-30,26250.0,25350.0,25650.0,25400.0,201345.0
41,2020-07-01,26150.0,25400.0,25450.0,25900.0,146748.0
42,2020-07-02,27150.0,26000.0,26000.0,26350.0,156218.0
43,2020-07-03,26400.0,25800.0,26250.0,26000.0,79800.0
44,2020-07-06,26600.0,25700.0,26350.0,26100.0,85065.0
45,2020-07-07,26600.0,26000.0,26350.0,26400.0,88897.0
46,2020-07-08,26750.0,25850.0,26550.0,26000.0,101899.0
47,2020-07-09,26200.0,25550.0,26050.0,25550.0,117372.0
48,2020-07-10,25600.0,24400.0,25550.0,24550.0,223127.0
49,2020-07-13,25250.0,24650.0,24700.0,25200.0,106301.0
50,2020-07-14,25400.0,24700.0,25100.0,25350.0,104123.0
51,2020-07-15,26800.0,25500.0,25950.0,26000.0,217774.0
52,2020-07-16,26200.0,25250.0,26000.0,25400.0,161513.0
53,2020-07-17,25850.0,25000.0,25600.0,25150.0,132765.0
54,2020-07-20,25400.0,24850.0,25150.0,25150.0,97700.0
55,2020-07-21,25750.0,25150.0,25150.0,25600.0,124328.0
56,2020-07-22,25750.0,25200.0,25350.0,25300.0,113456.0
57,2020-07-23,25300.0,24700.0,25250.0,24900.0,140741.0
58,2020-07-24,24800.0,24400.0,24700.0,24600.0,108833.0
59,2020-07-27,25100.0,24500.0,24600.0,24700.0,88201.0
60,2020-07-28,25050.0,24500.0,24650.0,24550.0,109867.0
61,2020-07-29,24650.0,24200.0,24400.0,24400.0,153291.0
62,2020-07-30,24550.0,24300.0,24400.0,24450.0,99143.0
63,2020-07-31,24550.0,23900.0,24450.0,24150.0,144267.0
64,2020-08-03,24100.0,23250.0,24100.0,23300.0,141244.0
65,2020-08-04,24000.0,23400.0,23500.0,23850.0,136473.0
66,2020-08-05,24150.0,23600.0,23850.0,23950.0,94453.0
