,index,High,Low,Open,Close,Volume
0,2020-04-22,3095.0,2905.0,3000.0,3030.0,498520.0
1,2020-04-23,3080.0,2980.0,3040.0,2995.0,319305.0
2,2020-04-24,3035.0,2915.0,2980.0,2925.0,340699.0
3,2020-04-27,3030.0,2920.0,3000.0,3030.0,244664.0
4,2020-04-28,3145.0,2975.0,3030.0,3060.0,545852.0
5,2020-04-29,3120.0,3000.0,3060.0,3065.0,299937.0
6,2020-05-04,3195.0,3075.0,3150.0,3140.0,617885.0
7,2020-05-06,3230.0,3125.0,3160.0,3210.0,333610.0
8,2020-05-07,3335.0,3190.0,3260.0,3280.0,609882.0
9,2020-05-08,3325.0,3255.0,3285.0,3300.0,317796.0
10,2020-05-11,3305.0,3170.0,3305.0,3235.0,373516.0
11,2020-05-12,3255.0,3115.0,3235.0,3180.0,369072.0
12,2020-05-13,3230.0,3115.0,3175.0,3150.0,238574.0
13,2020-05-14,3190.0,3070.0,3100.0,3090.0,310584.0
14,2020-05-15,3125.0,3020.0,3120.0,3075.0,232135.0
15,2020-05-18,3110.0,3010.0,3045.0,3055.0,192091.0
16,2020-05-19,3130.0,3070.0,3110.0,3100.0,176437.0
17,2020-05-20,3115.0,3085.0,3100.0,3105.0,124353.0
18,2020-05-21,3140.0,3090.0,3120.0,3100.0,156848.0
19,2020-05-22,3240.0,3075.0,3100.0,3100.0,382095.0
20,2020-05-25,3205.0,3110.0,3145.0,3175.0,300068.0
21,2020-05-26,3225.0,3145.0,3185.0,3165.0,384274.0
22,2020-05-27,3180.0,3105.0,3180.0,3120.0,193842.0
23,2020-05-28,3160.0,2970.0,3160.0,3080.0,318294.0
24,2020-05-29,3085.0,2995.0,3030.0,3035.0,200936.0
25,2020-06-01,3065.0,3000.0,3050.0,3040.0,151589.0
26,2020-06-02,3120.0,3000.0,3050.0,3100.0,309211.0
27,2020-06-03,3120.0,3025.0,3100.0,3055.0,214085.0
28,2020-06-04,3085.0,3030.0,3055.0,3070.0,171402.0
29,2020-06-05,3130.0,3045.0,3090.0,3125.0,182327.0
30,2020-06-08,3130.0,3010.0,3130.0,3030.0,268620.0
31,2020-06-09,3050.0,2955.0,3000.0,3000.0,270679.0
32,2020-06-10,3075.0,2955.0,3000.0,3020.0,354232.0
33,2020-06-11,3000.0,2905.0,2985.0,2930.0,238487.0
34,2020-06-12,2860.0,2750.0,2760.0,2815.0,496290.0
35,2020-06-15,2855.0,2525.0,2855.0,2590.0,524080.0
36,2020-06-16,2775.0,2600.0,2600.0,2755.0,212297.0
37,2020-06-17,2750.0,2600.0,2655.0,2705.0,227218.0
38,2020-06-18,2735.0,2620.0,2700.0,2695.0,112024.0
39,2020-06-19,2850.0,2655.0,2670.0,2735.0,250981.0
40,2020-06-22,2735.0,2665.0,2735.0,2695.0,63874.0
41,2020-06-23,2730.0,2605.0,2710.0,2630.0,118949.0
42,2020-06-24,2810.0,2640.0,2680.0,2745.0,278811.0
43,2020-06-25,2700.0,2580.0,2650.0,2620.0,289427.0
44,2020-06-26,2710.0,2595.0,2635.0,2640.0,125432.0
45,2020-06-29,3095.0,2565.0,2565.0,3095.0,1499081.0
46,2020-06-30,3030.0,2750.0,3030.0,2755.0,1152258.0
47,2020-07-01,2820.0,2680.0,2800.0,2705.0,246543.0
48,2020-07-02,2770.0,2680.0,2730.0,2735.0,150254.0
49,2020-07-03,2815.0,2700.0,2755.0,2810.0,158564.0
50,2020-07-06,2945.0,2750.0,2810.0,2885.0,435824.0
51,2020-07-07,2930.0,2810.0,2900.0,2870.0,201504.0
52,2020-07-08,2910.0,2830.0,2830.0,2845.0,147521.0
53,2020-07-09,2875.0,2795.0,2875.0,2815.0,218397.0
54,2020-07-10,3245.0,2795.0,2895.0,2845.0,7738756.0
55,2020-07-13,2885.0,2760.0,2880.0,2810.0,529355.0
56,2020-07-14,2800.0,2715.0,2785.0,2740.0,494826.0
57,2020-07-15,2860.0,2745.0,2745.0,2845.0,321628.0
