,index,High,Low,Open,Close,Volume
0,2020-05-08,2050.0,1980.0,2050.0,2000.0,1180466.0
1,2020-05-11,2005.0,1930.0,2000.0,1950.0,875700.0
2,2020-05-12,1970.0,1890.0,1960.0,1925.0,512518.0
3,2020-05-13,2030.0,1895.0,1900.0,1995.0,1400352.0
4,2020-05-14,2070.0,1950.0,1970.0,2000.0,3112800.0
5,2020-05-15,2010.0,1945.0,2005.0,1950.0,619714.0
6,2020-05-18,2060.0,1905.0,1950.0,2025.0,1873792.0
7,2020-05-19,2040.0,1985.0,2030.0,2015.0,660616.0
8,2020-05-20,2225.0,2015.0,2045.0,2180.0,5785197.0
9,2020-05-21,2175.0,2080.0,2140.0,2175.0,4125216.0
10,2020-05-22,2700.0,2180.0,2465.0,2180.0,63748708.0
11,2020-05-25,2425.0,2205.0,2210.0,2290.0,12851279.0
12,2020-05-26,2315.0,2220.0,2295.0,2265.0,2805551.0
13,2020-05-27,2550.0,2220.0,2260.0,2415.0,18963278.0
14,2020-05-28,2445.0,2250.0,2410.0,2305.0,3851069.0
15,2020-05-29,2470.0,2210.0,2290.0,2430.0,6860377.0
16,2020-06-01,2545.0,2355.0,2390.0,2525.0,10775409.0
17,2020-06-02,2525.0,2420.0,2500.0,2440.0,3195889.0
18,2020-06-03,2455.0,2355.0,2430.0,2395.0,1802853.0
19,2020-06-04,2425.0,2330.0,2400.0,2350.0,1558015.0
20,2020-06-05,2435.0,2325.0,2345.0,2350.0,1910308.0
21,2020-06-08,2360.0,2265.0,2355.0,2300.0,1810294.0
22,2020-06-09,2355.0,2260.0,2300.0,2330.0,1154818.0
23,2020-06-10,2370.0,2295.0,2350.0,2335.0,1133062.0
24,2020-06-11,2330.0,2280.0,2330.0,2295.0,932834.0
25,2020-06-12,2225.0,2120.0,2150.0,2175.0,2127733.0
26,2020-06-15,2255.0,1980.0,2160.0,1980.0,2807364.0
27,2020-06-16,2085.0,2020.0,2020.0,2060.0,740923.0
28,2020-06-17,2160.0,1990.0,2010.0,2145.0,1432962.0
29,2020-06-18,2140.0,2070.0,2140.0,2075.0,578616.0
30,2020-06-19,2150.0,2045.0,2110.0,2090.0,913864.0
31,2020-06-22,2130.0,2070.0,2115.0,2075.0,599138.0
32,2020-06-23,2120.0,2050.0,2090.0,2095.0,647016.0
33,2020-06-24,2140.0,2070.0,2090.0,2080.0,767094.0
34,2020-06-25,2210.0,2000.0,2050.0,2200.0,4106076.0
35,2020-06-26,2435.0,2125.0,2285.0,2125.0,14908763.0
36,2020-06-29,2100.0,2010.0,2095.0,2020.0,1504869.0
37,2020-06-30,2055.0,1995.0,2045.0,2010.0,889415.0
38,2020-07-01,2095.0,2010.0,2020.0,2030.0,1359543.0
39,2020-07-02,2045.0,2015.0,2030.0,2035.0,408905.0
40,2020-07-03,2065.0,2030.0,2055.0,2035.0,501075.0
41,2020-07-06,2205.0,2040.0,2065.0,2205.0,2733476.0
42,2020-07-07,2225.0,2120.0,2225.0,2140.0,1527489.0
43,2020-07-08,2270.0,2100.0,2140.0,2270.0,3172454.0
44,2020-07-09,2400.0,2220.0,2265.0,2385.0,8206132.0
45,2020-07-10,2385.0,2300.0,2360.0,2305.0,2741172.0
46,2020-07-13,2410.0,2330.0,2345.0,2400.0,2833959.0
47,2020-07-14,2445.0,2135.0,2370.0,2260.0,4557553.0
48,2020-07-15,2280.0,2170.0,2260.0,2230.0,1200180.0
49,2020-07-16,2280.0,2210.0,2230.0,2235.0,963629.0
50,2020-07-17,2265.0,2220.0,2235.0,2245.0,494626.0
51,2020-07-20,2260.0,2200.0,2260.0,2215.0,538692.0
52,2020-07-21,2330.0,2180.0,2215.0,2265.0,3063832.0
53,2020-07-22,2310.0,2255.0,2280.0,2265.0,949643.0
54,2020-07-23,2280.0,2200.0,2265.0,2215.0,924907.0
55,2020-07-24,2335.0,2225.0,2235.0,2230.0,2480932.0
56,2020-07-27,2275.0,2220.0,2230.0,2275.0,943449.0
57,2020-07-28,2355.0,2245.0,2335.0,2250.0,2237270.0
58,2020-07-29,2280.0,2210.0,2240.0,2280.0,743337.0
59,2020-07-30,2295.0,2245.0,2285.0,2255.0,756947.0
60,2020-07-31,2930.0,2315.0,2370.0,2800.0,77146188.0
61,2020-08-03,2930.0,2620.0,2895.0,2640.0,20584302.0
62,2020-08-04,2665.0,2555.0,2650.0,2645.0,8222245.0
63,2020-08-05,2700.0,2580.0,2625.0,2595.0,7275253.0
64,2020-08-06,2605.0,2520.0,2600.0,2545.0,2719184.0
65,2020-08-07,2575.0,2510.0,2535.0,2545.0,1532949.0
66,2020-08-10,2575.0,2465.0,2565.0,2485.0,1974570.0
67,2020-08-11,2585.0,2490.0,2495.0,2515.0,3676692.0
68,2020-08-12,2515.0,2410.0,2510.0,2435.0,1773170.0
69,2020-08-13,2505.0,2440.0,2460.0,2475.0,1825061.0
70,2020-08-14,2470.0,2350.0,2455.0,2370.0,1521136.0
71,2020-08-18,2440.0,2155.0,2380.0,2200.0,2139370.0
72,2020-08-19,2335.0,2200.0,2200.0,2250.0,1317855.0
73,2020-08-20,2315.0,2065.0,2255.0,2095.0,1984450.0
74,2020-08-21,2135.0,2035.0,2100.0,2090.0,674944.0
75,2020-08-24,2135.0,2065.0,2085.0,2115.0,506797.0
76,2020-08-25,2215.0,2120.0,2120.0,2190.0,741011.0
77,2020-08-26,2215.0,2135.0,2200.0,2190.0,743087.0
78,2020-08-27,2225.0,2155.0,2200.0,2160.0,752935.0
79,2020-08-28,2190.0,2140.0,2165.0,2165.0,609594.0
80,2020-08-31,2255.0,2170.0,2175.0,2245.0,1072366.0
81,2020-09-01,2275.0,2220.0,2250.0,2275.0,636957.0
82,2020-09-02,2310.0,2255.0,2265.0,2310.0,907698.0
83,2020-09-03,2345.0,2275.0,2325.0,2295.0,1063197.0
84,2020-09-04,2250.0,2175.0,2190.0,2245.0,904041.0
85,2020-09-07,2525.0,2330.0,2335.0,2420.0,17896171.0
86,2020-09-08,2635.0,2350.0,2505.0,2350.0,14247394.0
87,2020-09-09,2615.0,2330.0,2340.0,2435.0,12814315.0
88,2020-09-10,2500.0,2385.0,2445.0,2500.0,2829200.0
89,2020-09-11,2490.0,2400.0,2490.0,2400.0,1634410.0
90,2020-09-14,2500.0,2405.0,2445.0,2470.0,2064676.0
91,2020-09-15,2515.0,2410.0,2485.0,2430.0,1941445.0
92,2020-09-16,2705.0,2385.0,2440.0,2650.0,12860998.0
93,2020-09-17,2575.0,2450.0,2545.0,2565.0,9106850.0
94,2020-09-18,3220.0,2570.0,2820.0,2595.0,105098108.0
95,2020-09-21,2665.0,2390.0,2605.0,2425.0,7823372.0
96,2020-09-22,2445.0,2250.0,2400.0,2255.0,4689011.0
97,2020-09-23,2390.0,2285.0,2285.0,2330.0,5752688.0
98,2020-09-24,2620.0,2280.0,2295.0,2545.0,20528266.0
99,2020-09-25,2505.0,2375.0,2480.0,2385.0,4558825.0
100,2020-09-28,2545.0,2395.0,2415.0,2475.0,5144047.0
101,2020-09-29,2565.0,2470.0,2515.0,2500.0,5087338.0
102,2020-10-05,2690.0,2485.0,2515.0,2645.0,9160812.0
103,2020-10-06,2700.0,2565.0,2640.0,2700.0,5545463.0
104,2020-10-07,2715.0,2620.0,2655.0,2645.0,3412524.0
105,2020-10-08,2880.0,2570.0,2680.0,2575.0,22578088.0
106,2020-10-12,2660.0,2570.0,2625.0,2585.0,3400188.0
107,2020-10-13,2675.0,2580.0,2605.0,2620.0,2905409.0
108,2020-10-14,3170.0,2635.0,2635.0,2945.0,88911048.0
109,2020-10-15,3310.0,2780.0,3160.0,2795.0,41225188.0
110,2020-10-16,3135.0,2745.0,2755.0,2910.0,30358797.0
111,2020-10-19,3270.0,2850.0,3090.0,2850.0,65047007.0
112,2020-10-20,3030.0,2775.0,2840.0,2950.0,12538891.0
113,2020-10-21,2950.0,2785.0,2925.0,2830.0,5309068.0
114,2020-10-22,2800.0,2680.0,2780.0,2680.0,7248886.0
115,2020-10-23,3335.0,2750.0,3050.0,2755.0,81729589.0
116,2020-10-26,3190.0,2690.0,2760.0,3155.0,58721901.0
117,2020-10-27,3025.0,2800.0,2985.0,2825.0,17734830.0
118,2020-10-28,3010.0,2825.0,2935.0,2865.0,10945596.0
119,2020-10-29,2945.0,2800.0,2820.0,2835.0,5446750.0
120,2020-10-30,2825.0,2610.0,2790.0,2620.0,4472761.0
121,2020-11-02,2710.0,2615.0,2630.0,2645.0,1957228.0
122,2020-11-03,2715.0,2645.0,2660.0,2670.0,1816693.0
123,2020-11-04,2725.0,2560.0,2720.0,2580.0,2629981.0
124,2020-11-05,2785.0,2625.0,2640.0,2730.0,4665728.0
125,2020-11-06,2740.0,2620.0,2730.0,2640.0,2002145.0
126,2020-11-09,2790.0,2665.0,2700.0,2785.0,3041336.0
127,2020-11-10,2835.0,2700.0,2770.0,2825.0,2485216.0
128,2020-11-11,2850.0,2735.0,2850.0,2765.0,2508906.0
