,index,High,Low,Open,Close,Volume
0,2020-04-22,2640.0,2395.0,2470.0,2640.0,66111.0
1,2020-04-23,2770.0,2575.0,2640.0,2685.0,110470.0
2,2020-04-24,2720.0,2560.0,2685.0,2580.0,47203.0
3,2020-04-27,2650.0,2570.0,2590.0,2620.0,25472.0
4,2020-04-28,2650.0,2545.0,2630.0,2650.0,26762.0
5,2020-04-29,2675.0,2590.0,2655.0,2650.0,21305.0
6,2020-05-04,2680.0,2605.0,2640.0,2660.0,24527.0
7,2020-05-06,2755.0,2665.0,2665.0,2725.0,44141.0
8,2020-05-07,2780.0,2710.0,2725.0,2765.0,26968.0
9,2020-05-08,2800.0,2735.0,2765.0,2780.0,24755.0
10,2020-05-11,2775.0,2680.0,2775.0,2695.0,20745.0
11,2020-05-12,2835.0,2560.0,2665.0,2710.0,59501.0
12,2020-05-13,2710.0,2655.0,2710.0,2685.0,13653.0
13,2020-05-14,2680.0,2580.0,2680.0,2635.0,10754.0
14,2020-05-15,2630.0,2560.0,2630.0,2590.0,25305.0
15,2020-05-18,2620.0,2565.0,2565.0,2615.0,25575.0
16,2020-05-19,2680.0,2560.0,2620.0,2655.0,42969.0
17,2020-05-20,2750.0,2645.0,2645.0,2710.0,18131.0
18,2020-05-21,3045.0,2725.0,2795.0,2765.0,496409.0
19,2020-05-22,2820.0,2685.0,2810.0,2685.0,68744.0
20,2020-05-25,2750.0,2650.0,2685.0,2750.0,35048.0
21,2020-05-26,2835.0,2735.0,2770.0,2820.0,49023.0
22,2020-05-27,3130.0,2790.0,2790.0,2985.0,511804.0
23,2020-05-28,3105.0,2855.0,3080.0,2930.0,209986.0
24,2020-05-29,2930.0,2805.0,2930.0,2840.0,54032.0
25,2020-06-01,2905.0,2835.0,2840.0,2875.0,57517.0
26,2020-06-02,2905.0,2840.0,2880.0,2880.0,89640.0
27,2020-06-03,3100.0,2850.0,2895.0,3035.0,143828.0
28,2020-06-04,3090.0,2930.0,3040.0,2995.0,143915.0
29,2020-06-05,3120.0,2960.0,2995.0,3045.0,122186.0
30,2020-06-08,3050.0,2990.0,3045.0,3010.0,43694.0
31,2020-06-09,3005.0,2925.0,3005.0,2935.0,54000.0
32,2020-06-10,2955.0,2900.0,2910.0,2945.0,45824.0
33,2020-06-11,2965.0,2850.0,2965.0,2870.0,39902.0
34,2020-06-12,2810.0,2655.0,2655.0,2745.0,51346.0
35,2020-06-15,2745.0,2550.0,2745.0,2590.0,63639.0
36,2020-06-16,2705.0,2605.0,2605.0,2705.0,23952.0
37,2020-06-17,2700.0,2570.0,2690.0,2670.0,39132.0
38,2020-06-18,2670.0,2620.0,2670.0,2670.0,17832.0
39,2020-06-19,2950.0,2695.0,2700.0,2805.0,100400.0
40,2020-06-22,2860.0,2755.0,2860.0,2770.0,31572.0
41,2020-06-23,2810.0,2705.0,2770.0,2760.0,34359.0
42,2020-06-24,2900.0,2715.0,2765.0,2745.0,50215.0
43,2020-06-25,2740.0,2660.0,2740.0,2670.0,35716.0
44,2020-06-26,2850.0,2635.0,2670.0,2700.0,158033.0
45,2020-06-29,2690.0,2645.0,2650.0,2655.0,46017.0
46,2020-06-30,2770.0,2655.0,2665.0,2690.0,21010.0
47,2020-07-01,2730.0,2655.0,2670.0,2715.0,26549.0
48,2020-07-02,3510.0,2725.0,2725.0,3115.0,8461018.0
49,2020-07-03,3195.0,3065.0,3105.0,3195.0,683494.0
50,2020-07-06,3200.0,3080.0,3170.0,3200.0,341973.0
51,2020-07-07,3265.0,3105.0,3195.0,3265.0,461216.0
52,2020-07-08,3295.0,3155.0,3235.0,3205.0,309850.0
53,2020-07-09,3230.0,3055.0,3210.0,3100.0,282557.0
54,2020-07-10,3135.0,2980.0,3115.0,3065.0,119337.0
55,2020-07-13,3295.0,3065.0,3095.0,3125.0,392667.0
56,2020-07-14,3130.0,3075.0,3120.0,3100.0,80667.0
57,2020-07-15,3135.0,3050.0,3135.0,3080.0,69537.0
