,index,High,Low,Open,Close,Volume
0,2020-04-22,2685.0,2560.0,2645.0,2645.0,360670.0
1,2020-04-23,2755.0,2650.0,2680.0,2685.0,264368.0
2,2020-04-24,2710.0,2525.0,2660.0,2600.0,310172.0
3,2020-04-27,2680.0,2595.0,2605.0,2650.0,184450.0
4,2020-04-28,2680.0,2595.0,2670.0,2660.0,167918.0
5,2020-04-29,2695.0,2605.0,2655.0,2620.0,112144.0
6,2020-05-04,2645.0,2510.0,2600.0,2620.0,96349.0
7,2020-05-06,2765.0,2635.0,2635.0,2740.0,236493.0
8,2020-05-07,2800.0,2720.0,2790.0,2735.0,190770.0
9,2020-05-08,2780.0,2710.0,2745.0,2775.0,152318.0
10,2020-05-11,2830.0,2715.0,2780.0,2795.0,213908.0
11,2020-05-12,2860.0,2710.0,2830.0,2740.0,204628.0
12,2020-05-13,2800.0,2675.0,2690.0,2800.0,204218.0
13,2020-05-14,2795.0,2725.0,2770.0,2725.0,141118.0
14,2020-05-15,2760.0,2660.0,2715.0,2725.0,135995.0
15,2020-05-18,2795.0,2710.0,2725.0,2730.0,137452.0
16,2020-05-19,2780.0,2730.0,2750.0,2735.0,180840.0
17,2020-05-20,2845.0,2735.0,2735.0,2820.0,295370.0
18,2020-05-21,2830.0,2755.0,2825.0,2770.0,186927.0
19,2020-05-22,2785.0,2670.0,2770.0,2670.0,208251.0
20,2020-05-25,2710.0,2635.0,2660.0,2680.0,179041.0
21,2020-05-26,2740.0,2675.0,2685.0,2710.0,184078.0
22,2020-05-27,2910.0,2695.0,2730.0,2705.0,567487.0
23,2020-05-28,2780.0,2630.0,2745.0,2650.0,361882.0
24,2020-05-29,2645.0,2570.0,2640.0,2610.0,189529.0
25,2020-06-01,2720.0,2595.0,2595.0,2665.0,204151.0
26,2020-06-02,2745.0,2650.0,2660.0,2720.0,224949.0
27,2020-06-03,2740.0,2660.0,2740.0,2685.0,189652.0
28,2020-06-04,2720.0,2650.0,2700.0,2695.0,227840.0
29,2020-06-05,2740.0,2670.0,2700.0,2730.0,115646.0
30,2020-06-08,2835.0,2715.0,2745.0,2785.0,493986.0
31,2020-06-09,2805.0,2695.0,2805.0,2710.0,264376.0
32,2020-06-10,2720.0,2675.0,2685.0,2690.0,111395.0
33,2020-06-11,2710.0,2635.0,2690.0,2670.0,189415.0
34,2020-06-12,2635.0,2545.0,2575.0,2615.0,258961.0
35,2020-06-15,2630.0,2365.0,2615.0,2365.0,456128.0
