,index,High,Low,Open,Close,Volume
0,2020-05-04,14200.0,13450.0,13800.0,13500.0,182776.0
1,2020-05-06,14150.0,13400.0,13550.0,14150.0,120687.0
2,2020-05-07,14550.0,13950.0,14350.0,14200.0,182602.0
3,2020-05-08,14450.0,14000.0,14400.0,14100.0,80672.0
4,2020-05-11,14500.0,14000.0,14150.0,14300.0,95611.0
5,2020-05-12,14450.0,13700.0,14350.0,14150.0,66275.0
6,2020-05-13,14500.0,13850.0,13850.0,14250.0,116565.0
7,2020-05-14,14350.0,14000.0,14250.0,14000.0,57940.0
8,2020-05-15,14250.0,13950.0,13950.0,14150.0,66285.0
9,2020-05-18,14250.0,13850.0,14100.0,13950.0,76877.0
10,2020-05-19,14150.0,13700.0,14050.0,13950.0,61132.0
11,2020-05-20,14000.0,13750.0,13950.0,13800.0,44978.0
12,2020-05-21,14000.0,13750.0,13850.0,13900.0,43534.0
13,2020-05-22,13900.0,13550.0,13900.0,13750.0,51583.0
14,2020-05-25,13750.0,13500.0,13750.0,13650.0,33510.0
15,2020-05-26,13850.0,13400.0,13650.0,13750.0,41310.0
16,2020-05-27,14100.0,13600.0,13750.0,13750.0,90487.0
17,2020-05-28,14050.0,13500.0,13800.0,13700.0,63853.0
18,2020-05-29,14000.0,13600.0,13750.0,13750.0,34248.0
19,2020-06-01,13900.0,13650.0,13650.0,13900.0,40486.0
20,2020-06-02,14450.0,13800.0,14000.0,14300.0,130376.0
21,2020-06-03,14450.0,13950.0,14450.0,14050.0,67948.0
22,2020-06-04,14400.0,13950.0,14100.0,13950.0,50332.0
23,2020-06-05,14450.0,13800.0,13950.0,14400.0,81639.0
24,2020-06-08,15150.0,14350.0,14600.0,15050.0,153919.0
25,2020-06-09,15700.0,14650.0,15200.0,15650.0,199889.0
26,2020-06-10,15600.0,15200.0,15600.0,15200.0,96223.0
27,2020-06-11,15850.0,15000.0,15400.0,15300.0,124528.0
28,2020-06-12,14900.0,14050.0,14400.0,14750.0,104881.0
29,2020-06-15,15350.0,13750.0,14750.0,14000.0,129607.0
30,2020-06-16,16950.0,14350.0,14400.0,16350.0,1381046.0
31,2020-06-17,19100.0,15400.0,15800.0,19100.0,2060088.0
32,2020-06-18,20900.0,18650.0,19500.0,18800.0,2440241.0
33,2020-06-19,19000.0,17450.0,18800.0,17800.0,569498.0
34,2020-06-22,18300.0,16850.0,17700.0,18300.0,541876.0
35,2020-06-23,18500.0,17450.0,18100.0,17850.0,304164.0
36,2020-06-24,18400.0,17750.0,18000.0,17850.0,243909.0
37,2020-06-25,17700.0,17200.0,17400.0,17200.0,158163.0
38,2020-06-26,17700.0,16450.0,17350.0,16650.0,302155.0
39,2020-06-29,16650.0,15300.0,16500.0,15500.0,264552.0
40,2020-06-30,16550.0,15200.0,15800.0,16500.0,288501.0
41,2020-07-01,16450.0,14900.0,16450.0,15300.0,207876.0
42,2020-07-02,15450.0,15100.0,15250.0,15300.0,114243.0
43,2020-07-03,15400.0,14900.0,15300.0,15400.0,66725.0
44,2020-07-06,15400.0,15000.0,15400.0,15000.0,57405.0
45,2020-07-07,15250.0,14750.0,15100.0,15100.0,86819.0
46,2020-07-08,15100.0,14750.0,14950.0,14850.0,71959.0
47,2020-07-09,15400.0,14500.0,14850.0,15400.0,160429.0
48,2020-07-10,15650.0,15050.0,15200.0,15400.0,127146.0
49,2020-07-13,15600.0,15200.0,15300.0,15400.0,77532.0
50,2020-07-14,15900.0,15300.0,15450.0,15550.0,120242.0
51,2020-07-15,15750.0,15250.0,15650.0,15350.0,79373.0
52,2020-07-16,15400.0,14950.0,15400.0,15150.0,47145.0
53,2020-07-17,15500.0,15000.0,15500.0,15200.0,48117.0
54,2020-07-20,15150.0,14700.0,15050.0,15100.0,109345.0
55,2020-07-21,15800.0,15100.0,15150.0,15450.0,181945.0
56,2020-07-22,15900.0,15200.0,15550.0,15900.0,111413.0
57,2020-07-23,17400.0,15600.0,16000.0,16950.0,623780.0
58,2020-07-24,18000.0,16400.0,16700.0,16500.0,769143.0
59,2020-07-27,16400.0,15600.0,16300.0,15600.0,223280.0
60,2020-07-28,15850.0,15300.0,15800.0,15500.0,100831.0
61,2020-07-29,16000.0,15500.0,15550.0,15800.0,89611.0
62,2020-07-30,15800.0,15400.0,15800.0,15750.0,84356.0
63,2020-07-31,16400.0,15750.0,15800.0,16200.0,187551.0
64,2020-08-03,17200.0,16350.0,16600.0,16650.0,273417.0
65,2020-08-04,18000.0,16400.0,16700.0,17700.0,494170.0
66,2020-08-05,22350.0,17850.0,18300.0,19950.0,4813980.0
67,2020-08-06,20550.0,19050.0,20250.0,20250.0,893540.0
68,2020-08-07,21600.0,19650.0,20250.0,20100.0,869076.0
69,2020-08-10,20950.0,19800.0,20100.0,20600.0,430787.0
70,2020-08-11,21500.0,20050.0,20350.0,20700.0,470015.0
71,2020-08-12,23150.0,20400.0,21300.0,22000.0,1701064.0
72,2020-08-13,21850.0,20300.0,21750.0,20300.0,459465.0
73,2020-08-14,20250.0,18700.0,20100.0,19250.0,473841.0
74,2020-08-18,19350.0,17400.0,19200.0,17650.0,345128.0
75,2020-08-19,18450.0,17550.0,17850.0,18150.0,197606.0
76,2020-08-20,18750.0,17050.0,18300.0,17600.0,262893.0
77,2020-08-21,17900.0,17200.0,17750.0,17400.0,93536.0
78,2020-08-24,17750.0,16950.0,17200.0,17400.0,101013.0
79,2020-08-25,20450.0,17400.0,17650.0,19900.0,740409.0
80,2020-08-26,21400.0,19450.0,19900.0,20900.0,547454.0
81,2020-08-27,22100.0,20850.0,21250.0,21200.0,581849.0
82,2020-08-28,21650.0,20400.0,21250.0,21000.0,267050.0
83,2020-08-31,21450.0,20750.0,21050.0,20950.0,204620.0
84,2020-09-01,22250.0,20750.0,21000.0,21300.0,355915.0
85,2020-09-02,21950.0,21150.0,21500.0,21300.0,124483.0
86,2020-09-03,22400.0,21300.0,21750.0,22350.0,675165.0
87,2020-09-04,28650.0,24750.0,26050.0,24750.0,5456647.0
88,2020-09-07,26000.0,23750.0,24750.0,23900.0,1006783.0
89,2020-09-08,24300.0,22750.0,24300.0,22900.0,533717.0
90,2020-09-09,23000.0,22000.0,22200.0,22350.0,309215.0
91,2020-09-10,22900.0,22100.0,22350.0,22450.0,192824.0
92,2020-09-11,22550.0,22000.0,22300.0,22350.0,175625.0
93,2020-09-14,22700.0,22100.0,22500.0,22600.0,123128.0
94,2020-09-15,24100.0,22550.0,22650.0,23700.0,419279.0
95,2020-09-16,25100.0,23500.0,23500.0,23800.0,434542.0
96,2020-09-17,24600.0,23000.0,24000.0,23000.0,204806.0
97,2020-09-18,23050.0,22200.0,22950.0,22350.0,130788.0
98,2020-09-21,22600.0,19900.0,22100.0,20300.0,368736.0
99,2020-09-22,20250.0,19150.0,20050.0,19550.0,200980.0
100,2020-09-23,20200.0,18850.0,19650.0,19750.0,139077.0
101,2020-09-24,19500.0,18450.0,19000.0,18700.0,159455.0
102,2020-09-25,19200.0,18350.0,18450.0,18450.0,111842.0
103,2020-09-28,19000.0,18300.0,18550.0,18500.0,120028.0
104,2020-09-29,22850.0,17900.0,18600.0,22000.0,2914878.0
105,2020-10-05,26550.0,22000.0,26500.0,22000.0,3516870.0
106,2020-10-06,22500.0,21000.0,22100.0,21450.0,760329.0
107,2020-10-07,25050.0,21850.0,23700.0,22100.0,2205789.0
108,2020-10-08,26000.0,22000.0,22100.0,24550.0,3708700.0
109,2020-10-12,24150.0,23000.0,24100.0,23000.0,509629.0
110,2020-10-13,23250.0,22000.0,23150.0,22100.0,426045.0
