,index,High,Low,Open,Close,Volume
0,2020-04-22,4320.0,4055.0,4080.0,4290.0,4619616.0
1,2020-04-23,5090.0,4340.0,4680.0,4360.0,32797784.0
2,2020-04-24,4570.0,4300.0,4380.0,4410.0,5536500.0
3,2020-04-27,4520.0,4405.0,4440.0,4410.0,2358152.0
4,2020-04-28,4845.0,4410.0,4490.0,4540.0,10802790.0
5,2020-04-29,4720.0,4520.0,4590.0,4560.0,5578451.0
6,2020-05-04,4605.0,4420.0,4500.0,4560.0,1979882.0
7,2020-05-06,4660.0,4535.0,4580.0,4595.0,1916610.0
8,2020-05-07,4745.0,4575.0,4620.0,4650.0,4632628.0
9,2020-05-08,4785.0,4620.0,4655.0,4785.0,4813835.0
10,2020-05-11,4925.0,4700.0,4920.0,4725.0,5291791.0
11,2020-05-12,4790.0,4530.0,4755.0,4670.0,2433963.0
12,2020-05-13,4680.0,4530.0,4565.0,4645.0,1491977.0
13,2020-05-14,4645.0,4485.0,4610.0,4510.0,1281440.0
14,2020-05-15,4555.0,4435.0,4550.0,4465.0,1013893.0
15,2020-05-18,4620.0,4335.0,4470.0,4620.0,1691295.0
16,2020-05-19,4685.0,4555.0,4675.0,4620.0,1662678.0
17,2020-05-20,4725.0,4555.0,4630.0,4715.0,2471726.0
18,2020-05-21,6030.0,4730.0,4800.0,6000.0,86517540.0
19,2020-05-22,6230.0,5500.0,5900.0,5650.0,32359002.0
20,2020-05-25,6240.0,5670.0,5700.0,5800.0,31584824.0
21,2020-05-26,5820.0,5610.0,5770.0,5790.0,7114775.0
22,2020-05-27,6020.0,5550.0,5770.0,5600.0,12040117.0
23,2020-05-28,5760.0,5340.0,5650.0,5510.0,5505829.0
24,2020-05-29,5800.0,5440.0,5600.0,5470.0,5532085.0
25,2020-06-01,5820.0,5550.0,5560.0,5800.0,8178233.0
26,2020-06-02,5980.0,5700.0,5910.0,5700.0,7283629.0
27,2020-06-03,5830.0,5530.0,5740.0,5670.0,6016374.0
28,2020-06-04,5790.0,5640.0,5740.0,5670.0,2660747.0
29,2020-06-05,5730.0,5580.0,5670.0,5620.0,1754742.0
30,2020-06-08,5670.0,5490.0,5620.0,5510.0,1623324.0
31,2020-06-09,5640.0,5510.0,5560.0,5520.0,1378590.0
32,2020-06-10,5970.0,5460.0,5520.0,5650.0,9479490.0
33,2020-06-11,5670.0,5440.0,5590.0,5480.0,2005740.0
34,2020-06-12,5290.0,5030.0,5080.0,5200.0,2574710.0
35,2020-06-15,5210.0,4650.0,5110.0,4650.0,2228258.0
36,2020-06-16,5240.0,4765.0,4765.0,5110.0,4244816.0
37,2020-06-17,5350.0,4910.0,5070.0,5100.0,3299594.0
38,2020-06-18,5190.0,5040.0,5130.0,5100.0,890161.0
39,2020-06-19,5170.0,5050.0,5150.0,5050.0,832112.0
40,2020-06-22,5150.0,5000.0,5000.0,5140.0,858517.0
41,2020-06-23,5200.0,5010.0,5170.0,5030.0,915195.0
42,2020-06-24,5530.0,5020.0,5130.0,5220.0,7648602.0
43,2020-06-25,5300.0,5030.0,5080.0,5200.0,2463026.0
44,2020-06-26,5580.0,5200.0,5280.0,5240.0,8184925.0
45,2020-06-29,5360.0,5050.0,5230.0,5280.0,2024453.0
46,2020-06-30,5460.0,5260.0,5390.0,5290.0,2147338.0
47,2020-07-01,5530.0,5180.0,5290.0,5240.0,2566505.0
48,2020-07-02,5340.0,5200.0,5270.0,5300.0,930282.0
49,2020-07-03,5340.0,5220.0,5340.0,5230.0,779339.0
50,2020-07-06,5320.0,5230.0,5300.0,5250.0,648037.0
51,2020-07-07,5390.0,5250.0,5260.0,5270.0,1775451.0
52,2020-07-08,5350.0,5220.0,5280.0,5350.0,886055.0
