,index,High,Low,Open,Close,Volume
0,2020-05-08,9450.0,9200.0,9390.0,9340.0,47022.0
1,2020-05-11,9350.0,9020.0,9350.0,9050.0,36118.0
2,2020-05-12,9140.0,8850.0,9050.0,9060.0,30297.0
3,2020-05-13,9030.0,8850.0,9030.0,8990.0,15273.0
4,2020-05-14,9000.0,8880.0,9000.0,8950.0,26617.0
5,2020-05-15,9200.0,8860.0,9170.0,9060.0,36987.0
6,2020-05-18,9270.0,8950.0,9100.0,8950.0,32323.0
7,2020-05-19,9410.0,9060.0,9410.0,9090.0,48494.0
8,2020-05-20,9250.0,9050.0,9090.0,9160.0,20621.0
9,2020-05-21,9290.0,9100.0,9250.0,9200.0,29121.0
10,2020-05-22,9250.0,8970.0,9210.0,9010.0,26413.0
11,2020-05-25,9140.0,8850.0,9010.0,8910.0,15368.0
12,2020-05-26,9080.0,8820.0,9080.0,8960.0,12703.0
13,2020-05-27,9170.0,8940.0,9050.0,9160.0,25720.0
14,2020-05-28,9200.0,8840.0,9150.0,8920.0,34716.0
15,2020-05-29,9250.0,8600.0,8900.0,8850.0,57825.0
16,2020-06-01,9030.0,8850.0,8860.0,8940.0,17148.0
17,2020-06-02,9050.0,8880.0,8950.0,8990.0,19179.0
18,2020-06-03,9330.0,8930.0,9030.0,9010.0,56718.0
19,2020-06-04,9100.0,8880.0,9020.0,9010.0,32295.0
20,2020-06-05,9190.0,9020.0,9190.0,9150.0,76287.0
21,2020-06-08,10300.0,9220.0,9390.0,9990.0,879477.0
22,2020-06-09,9860.0,9550.0,9710.0,9670.0,175006.0
23,2020-06-10,9700.0,9000.0,9670.0,9240.0,94624.0
24,2020-06-11,10150.0,9200.0,9300.0,9390.0,874395.0
25,2020-06-12,9080.0,8670.0,8940.0,8860.0,92339.0
26,2020-06-15,8870.0,7900.0,8860.0,7900.0,86186.0
27,2020-06-16,9100.0,8050.0,8050.0,8360.0,227351.0
28,2020-06-17,8480.0,8130.0,8360.0,8290.0,38859.0
29,2020-06-18,8530.0,8160.0,8160.0,8420.0,48248.0
30,2020-06-19,8740.0,8420.0,8510.0,8680.0,41892.0
31,2020-06-22,8810.0,8360.0,8810.0,8380.0,30673.0
32,2020-06-23,8760.0,8250.0,8760.0,8310.0,22708.0
33,2020-06-24,8580.0,8310.0,8310.0,8540.0,33616.0
34,2020-06-25,8490.0,8310.0,8490.0,8380.0,21766.0
35,2020-06-26,8600.0,8400.0,8590.0,8490.0,34816.0
36,2020-06-29,9230.0,8270.0,8280.0,8700.0,89552.0
37,2020-06-30,9050.0,8690.0,8700.0,8800.0,28820.0
38,2020-07-01,9000.0,8740.0,8740.0,8780.0,19879.0
39,2020-07-02,9000.0,8750.0,8990.0,8800.0,20319.0
40,2020-07-03,8920.0,8730.0,8890.0,8750.0,16226.0
41,2020-07-06,9030.0,8680.0,8680.0,8850.0,24954.0
42,2020-07-07,9110.0,8750.0,9000.0,9020.0,36150.0
43,2020-07-08,9800.0,8940.0,8940.0,9160.0,66686.0
44,2020-07-09,9230.0,8950.0,9160.0,9100.0,20030.0
45,2020-07-10,9170.0,8680.0,9150.0,8750.0,20862.0
46,2020-07-13,8890.0,8740.0,8760.0,8800.0,9099.0
47,2020-07-14,8940.0,8650.0,8790.0,8860.0,11953.0
48,2020-07-15,9050.0,8850.0,8970.0,8920.0,20306.0
49,2020-07-16,9560.0,9000.0,9020.0,9490.0,90006.0
50,2020-07-17,9650.0,9310.0,9600.0,9430.0,43902.0
51,2020-07-20,9410.0,8830.0,9410.0,8930.0,63457.0
52,2020-07-21,8990.0,8550.0,8930.0,8700.0,31112.0
53,2020-07-22,8780.0,8610.0,8710.0,8690.0,19674.0
54,2020-07-23,8780.0,8470.0,8690.0,8560.0,30874.0
55,2020-07-24,8640.0,8350.0,8560.0,8460.0,28522.0
56,2020-07-27,8550.0,8390.0,8400.0,8510.0,13942.0
57,2020-07-28,8570.0,8370.0,8570.0,8370.0,17186.0
58,2020-07-29,8380.0,8200.0,8300.0,8370.0,9105.0
59,2020-07-30,8530.0,8350.0,8400.0,8470.0,7799.0
60,2020-07-31,8470.0,8250.0,8470.0,8340.0,16371.0
61,2020-08-03,8400.0,8160.0,8340.0,8160.0,12087.0
62,2020-08-04,8270.0,8140.0,8160.0,8180.0,14070.0
63,2020-08-05,8450.0,8190.0,8350.0,8240.0,11348.0
64,2020-08-06,8260.0,8090.0,8240.0,8140.0,20710.0
65,2020-08-07,8610.0,8050.0,8140.0,8350.0,46328.0
66,2020-08-10,8360.0,8130.0,8350.0,8140.0,23351.0
67,2020-08-11,8340.0,8130.0,8140.0,8130.0,11789.0
68,2020-08-12,8230.0,8020.0,8230.0,8080.0,16490.0
69,2020-08-13,8240.0,8110.0,8200.0,8240.0,13717.0
70,2020-08-14,8280.0,8040.0,8160.0,8270.0,23301.0
71,2020-08-18,8380.0,7730.0,8270.0,7900.0,51282.0
72,2020-08-19,8300.0,7800.0,7900.0,8100.0,30583.0
73,2020-08-20,8250.0,7800.0,8100.0,7970.0,22999.0
74,2020-08-21,8090.0,7710.0,7970.0,7950.0,11495.0
75,2020-08-24,7960.0,7750.0,7950.0,7750.0,9409.0
76,2020-08-25,7860.0,7590.0,7830.0,7740.0,20851.0
77,2020-08-26,7780.0,7660.0,7730.0,7760.0,4871.0
78,2020-08-27,7770.0,7600.0,7760.0,7690.0,9985.0
79,2020-08-28,7750.0,7590.0,7590.0,7640.0,7890.0
80,2020-08-31,7760.0,7570.0,7700.0,7750.0,6099.0
81,2020-09-01,7770.0,7620.0,7750.0,7740.0,8338.0
82,2020-09-02,7770.0,7610.0,7740.0,7730.0,10528.0
83,2020-09-03,7830.0,7680.0,7680.0,7760.0,4924.0
84,2020-09-04,7760.0,7600.0,7610.0,7700.0,19691.0
85,2020-09-07,7780.0,7510.0,7780.0,7690.0,12642.0
86,2020-09-08,7740.0,7610.0,7690.0,7740.0,12853.0
87,2020-09-09,7740.0,7610.0,7730.0,7740.0,10764.0
88,2020-09-10,7790.0,7660.0,7740.0,7760.0,6906.0
89,2020-09-11,7800.0,7690.0,7780.0,7770.0,4047.0
90,2020-09-14,7750.0,7640.0,7750.0,7710.0,13164.0
91,2020-09-15,7750.0,7670.0,7710.0,7700.0,11246.0
92,2020-09-16,8030.0,7670.0,7690.0,7820.0,25901.0
93,2020-09-17,9500.0,7780.0,7900.0,8050.0,991715.0
94,2020-09-18,8200.0,7840.0,8070.0,7840.0,51286.0
95,2020-09-21,7900.0,7710.0,7760.0,7900.0,34950.0
96,2020-09-22,7870.0,7570.0,7800.0,7570.0,24562.0
97,2020-09-23,7620.0,7420.0,7570.0,7420.0,13875.0
98,2020-09-24,7390.0,7120.0,7390.0,7120.0,15961.0
99,2020-09-25,7370.0,7090.0,7100.0,7300.0,6481.0
100,2020-09-28,7380.0,7190.0,7380.0,7320.0,3663.0
101,2020-09-29,7540.0,7340.0,7530.0,7520.0,11970.0
102,2020-10-05,7570.0,7420.0,7520.0,7490.0,7143.0
103,2020-10-06,7680.0,7510.0,7540.0,7660.0,13079.0
104,2020-10-07,7720.0,7560.0,7660.0,7690.0,7339.0
105,2020-10-08,7780.0,7650.0,7750.0,7770.0,12255.0
106,2020-10-12,7960.0,7640.0,7780.0,7920.0,11267.0
107,2020-10-13,8320.0,7900.0,7900.0,8250.0,43793.0
108,2020-10-14,8500.0,8250.0,8300.0,8450.0,33472.0
109,2020-10-15,8580.0,7950.0,8580.0,8300.0,47872.0
110,2020-10-16,8440.0,8110.0,8280.0,8240.0,11474.0
111,2020-10-19,8390.0,7950.0,8240.0,8050.0,6480.0
112,2020-10-20,8280.0,7900.0,8090.0,8200.0,13476.0
113,2020-10-21,8350.0,8060.0,8080.0,8150.0,4831.0
114,2020-10-22,8200.0,7930.0,8200.0,8070.0,4604.0
115,2020-10-23,8190.0,7890.0,8070.0,7980.0,6111.0
116,2020-10-26,8150.0,7750.0,8070.0,7750.0,10660.0
117,2020-10-27,7800.0,7620.0,7800.0,7620.0,5274.0
118,2020-10-28,8030.0,7550.0,7770.0,7930.0,4420.0
119,2020-10-29,7950.0,7610.0,7900.0,7810.0,3882.0
120,2020-10-30,7890.0,7590.0,7810.0,7590.0,5945.0
121,2020-11-02,7850.0,7600.0,7600.0,7630.0,2744.0
122,2020-11-03,7960.0,7720.0,7720.0,7790.0,10147.0
123,2020-11-04,8690.0,7790.0,7790.0,8150.0,71391.0
124,2020-11-05,8190.0,7860.0,8190.0,8000.0,23814.0
125,2020-11-06,8080.0,7970.0,8000.0,8030.0,6567.0
126,2020-11-09,8060.0,7910.0,8010.0,8000.0,6945.0
127,2020-11-10,9490.0,8070.0,8400.0,8120.0,400004.0
128,2020-11-11,8350.0,8060.0,8350.0,8250.0,41592.0
