,index,High,Low,Open,Close,Volume
0,2020-04-22,72500.0,68800.0,69000.0,70000.0,437177.0
1,2020-04-23,70100.0,67700.0,70000.0,67800.0,335474.0
2,2020-04-24,68300.0,66000.0,66500.0,66400.0,258816.0
3,2020-04-27,68900.0,66200.0,67000.0,67500.0,218197.0
4,2020-04-28,68100.0,65700.0,67700.0,65900.0,236986.0
5,2020-04-29,66600.0,64600.0,65900.0,66600.0,188767.0
6,2020-05-04,67200.0,64800.0,65900.0,65500.0,171562.0
7,2020-05-06,67500.0,65500.0,66000.0,67400.0,180137.0
8,2020-05-07,67700.0,66800.0,67600.0,66900.0,135587.0
9,2020-05-08,68900.0,66500.0,66500.0,67500.0,190742.0
10,2020-05-11,68500.0,66300.0,67900.0,67100.0,245810.0
11,2020-05-12,70300.0,66500.0,67000.0,66700.0,404881.0
12,2020-05-13,66800.0,65300.0,66600.0,66300.0,173964.0
13,2020-05-14,67700.0,65500.0,66300.0,66000.0,181098.0
14,2020-05-15,65900.0,62000.0,65900.0,63000.0,596931.0
15,2020-05-18,64400.0,61100.0,62500.0,64100.0,445275.0
16,2020-05-19,65300.0,62200.0,64100.0,62800.0,371860.0
17,2020-05-20,63500.0,62000.0,63000.0,62700.0,226249.0
18,2020-05-21,63200.0,61600.0,63000.0,61600.0,312469.0
19,2020-05-22,64900.0,61700.0,61700.0,62000.0,542563.0
20,2020-05-25,62500.0,59300.0,62500.0,59900.0,402703.0
21,2020-05-26,62000.0,59600.0,60100.0,60300.0,369741.0
22,2020-05-27,68300.0,59800.0,61200.0,65200.0,1717380.0
23,2020-05-28,64900.0,61500.0,64900.0,62000.0,571246.0
24,2020-05-29,62900.0,60800.0,61900.0,62600.0,322433.0
25,2020-06-01,65000.0,62200.0,62700.0,64300.0,401064.0
26,2020-06-02,76200.0,64300.0,65000.0,72700.0,3336919.0
27,2020-06-03,75000.0,70900.0,73000.0,73400.0,1126091.0
28,2020-06-04,74100.0,71000.0,74100.0,72500.0,630979.0
29,2020-06-05,75300.0,71600.0,71600.0,72300.0,684505.0
30,2020-06-08,74400.0,71500.0,73700.0,72100.0,514692.0
31,2020-06-09,72700.0,69500.0,72100.0,70200.0,542882.0
32,2020-06-10,71300.0,66000.0,70000.0,67400.0,1003496.0
33,2020-06-11,70200.0,65700.0,68800.0,66400.0,797675.0
34,2020-06-12,65200.0,63300.0,63800.0,64100.0,496545.0
35,2020-06-15,68300.0,62200.0,64100.0,63100.0,824034.0
36,2020-06-16,66800.0,64200.0,65200.0,66200.0,422527.0
37,2020-06-17,68100.0,64800.0,65600.0,66700.0,451702.0
38,2020-06-18,67000.0,64700.0,66700.0,64800.0,290279.0
39,2020-06-19,65500.0,63600.0,65300.0,64500.0,246823.0
40,2020-06-22,65200.0,63600.0,64200.0,63800.0,222671.0
41,2020-06-23,66600.0,63900.0,64200.0,64100.0,316442.0
42,2020-06-24,67200.0,64000.0,64900.0,65000.0,396162.0
43,2020-06-25,66200.0,64300.0,64700.0,65400.0,275830.0
44,2020-06-26,71500.0,65800.0,69500.0,66000.0,942551.0
45,2020-06-29,65400.0,62300.0,65200.0,62400.0,467277.0
46,2020-06-30,63400.0,60500.0,63100.0,61100.0,364673.0
47,2020-07-01,63600.0,61500.0,61500.0,62700.0,268191.0
48,2020-07-02,64400.0,62200.0,62700.0,63800.0,219433.0
49,2020-07-03,64100.0,62700.0,64000.0,63600.0,171069.0
50,2020-07-06,63600.0,62300.0,63600.0,62700.0,187854.0
51,2020-07-07,64300.0,62500.0,62600.0,63600.0,222389.0
