,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_member,max_limit,spcl_cnd,options
0,HK00001,애큐온저축은행,정기예금,제한없음,,"- 인터넷뱅킹 가입 : 연 0.05%
- 폰뱅킹 가입 : 연 0.05%
- 모바일뱅킹 가입 : 연 0.10%","[['6', '단리', 1.2, 1.3], ['12', '단리', 1.9, 2], ['24', '단리', 1.9, 2], ['36', '단리', 2, 2.1], ['6', '복리', 1.2, 1.3], ['12', '복리', 1.9, 2], ['24', '복리', 1.9, 2], ['36', '복리', 2, 2.1]]"
1,HK00004,애큐온저축은행,인터넷정기예금,제한없음,,없음,"[['6', '단리', 1.25, 1.25], ['12', '단리', 1.95, 1.95], ['24', '단리', 1.95, 1.95], ['36', '단리', 2.05, 2.05], ['6', '복리', 1.25, 1.25], ['12', '복리', 1.95, 1.95], ['24', '복리', 1.95, 1.95], ['36', '복리', 2.05, 2.05]]"
2,HK00005,애큐온저축은행,모바일정기예금,제한없음,,없음,"[['6', '단리', 1.3, 1.3], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['36', '단리', 2.1, 2.1], ['6', '복리', 1.3, 1.3], ['12', '복리', 2, 2], ['24', '복리', 2, 2], ['36', '복리', 2.1, 2.1]]"
3,HK00006,애큐온저축은행,플러스회전식정기예금(변동금리),제한없음,,"- 가입후 매1년마다 해당시점 정기예금 12개월금리+0.1% 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공 (미완료된 회전주기기간은 당행 중도해지이자율 적용)
- 모바일뱅킹 가입 : 연 0.10%","[['12', '단리', 1.9, 2], ['24', '단리', 1.9, 2], ['36', '단리', 1.9, 2], ['12', '복리', 1.9, 2], ['24', '복리', 1.9, 2], ['36', '복리', 1.9, 2]]"
4,HK00007,애큐온저축은행,애큐온모바일예금,제한없음,,"- 모바일 가입 : 연 0.10% (고시금리 포함)
- 멤버십 동의 : 연 0.10% (고시금리 미포함)","[['12', '단리', 2, 2.1], ['12', '복리', 2, 2.1]]"
5,HK00008,애큐온저축은행,3UP-정기예금,제한없음,,"- 인터넷뱅킹 가입 : 연 0.05%
- 모바일뱅킹 가입 : 연 0.10%","[['12', '단리', 1.87, 1.97], ['12', '복리', 1.87, 1.97]]"
6,24000,신한저축은행,정기예금,제한없음,,없음,"[['6', '단리', 1.3, 1.3], ['12', '단리', 1.7, 1.7], ['24', '단리', 1.7, 1.7], ['36', '단리', 1.7, 1.7], ['6', '복리', 1.3, 1.3], ['12', '복리', 1.7, 1.7], ['24', '복리', 1.7, 1.7], ['36', '복리', 1.7, 1.7]]"
7,24001,OSB저축은행,CD연동장기정기예금,제한없음,,없음,"[['24', '단리', 1.7, 1.7], ['36', '단리', 1.8, 1.8]]"
8,0800,디비저축은행,Dream Big 정기예금 (변동금리),개인고객,,"- 가입시점 및 가입 후 매 회전주기(1년)마다 해당시점 정기예금 12개월 금리 + 0.1%
- 회전일(매 금리변경일) 경과 후 중도해지시, 회전일(매 1년) 경과시점까지에 한하여 약정이율을 적용하며, 연장일부터 해지전일까지의 경과기간에 해당하는 중도해지이율 적용","[['36', '단리', 1.9, 1.9], ['36', '복리', 1.9, 1.9]]"
9,0801,디비저축은행,Dream Big 정기예금 (비대면) (변동금리),개인고객,,"- 가입시점 및 가입 후 매 회전주기(1년)마다 해당시점 정기예금 12개월 금리 + 0.1%
- 회전일(매 금리변경일) 경과 후 중도해지시, 회전일(매 1년) 경과시점까지에 한하여 약정이율을 적용하며, 연장일부터 해지전일까지의 경과기간에 해당하는 중도해지이율 적용","[['36', '단리', 1.9, 1.9], ['36', '복리', 1.9, 1.9]]"
10,2400,디비저축은행,정기예금,누구나 가입가능,,"* 최고우대금리 : 0.1% 
- 인터넷 가입시 : 연 0.1% 
- 모바일 가입시 : 연 0.1%","[['6', '단리', 1.5, 1.6], ['12', '단리', 1.8, 1.9], ['24', '단리', 1.8, 1.9], ['6', '복리', 1.5, 1.6], ['12', '복리', 1.8, 1.9], ['24', '복리', 1.8, 1.9]]"
