,name,code,market_code
0,DSR,155660,KS
1,GS글로벌,001250,KS
2,HDC현대산업개발,294870,KS
3,KG케미칼,001390,KS
4,LG이노텍,011070,KS
5,LG전자,066570,KS
6,LG헬로비전,037560,KS
7,OCI,010060,KS
8,S&TC,100840,KS
9,S&T모티브,064960,KS
10,SK이노베이션,096770,KS
11,STX,011810,KS
12,WISCOM,024070,KS
13,YG PLUS,037270,KS
14,갤럭시아에스엠,011420,KS
15,고려아연,010130,KS
16,극동유화,014530,KS
17,까뮤이앤씨,013700,KS
18,대덕,008060,KS
19,대덕전자,353200,KS
20,대영포장,014160,KS
21,대한유화,006650,KS
22,동아쏘시오홀딩스,000640,KS
23,두산,000150,KS
24,두산밥캣,241560,KS
25,락앤락,115390,KS
26,롯데정보통신,286940,KS
27,마니커,027740,KS
28,만도,204320,KS
29,메리츠증권,008560,KS
30,모두투어리츠,204210,KS
31,부국증권,001270,KS
32,삼성SDI,006400,KS
33,삼성엔지니어링,028050,KS
34,삼성중공업,010140,KS
35,삼성출판사,068290,KS
36,삼성화재해상보험,000810,KS
37,삼양식품,003230,KS
38,삼양홀딩스,000070,KS
39,삼영전자공업,005680,KS
40,삼영화학공업,003720,KS
41,상상인증권,001290,KS
42,선도전기,007610,KS
43,선진,136490,KS
44,세방전지,004490,KS
45,세원셀론텍,091090,KS
46,신한알파리츠,293940,KS
47,신한지주,055550,KS
48,쌍용자동차,003620,KS
49,아시아나항공,020560,KS
50,에넥스,011090,KS
51,영화금속,012280,KS
52,윌비스,008600,KS
53,유나이티드,033270,KS
54,인지컨트롤스,023800,KS
55,인터지스,129260,KS
56,일성건설,013360,KS
57,일진다이아,081000,KS
58,제일약품,271980,KS
59,제일연마,001560,KS
60,제일파마홀딩스,002620,KS
61,조흥,002600,KS
62,지역난방공사,071320,KS
63,진도,088790,KS
64,코오롱인더,120110,KS
65,키다리스튜디오,020120,KS
66,태경산업,015890,KS
67,태양금속공업,004100,KS
68,포스코강판,058430,KS
69,필룩스,033180,KS
70,한국공항,005430,KS
71,한국종합기술,023350,KS
72,한국패러랠,168490,KS
73,한라홀딩스,060980,KS
74,한미약품,128940,KS
75,한솔로지스틱스,009180,KS
76,한일철강,002220,KS
77,한일현대시멘트,006390,KS
78,한창제지,009460,KS
79,한화생명,088350,KS
80,한화시스템,272210,KS
81,현대건설,000720,KS
82,현대건설기계,267270,KS
83,현대모비스,012330,KS
84,현대비앤지스틸,004560,KS
85,현대엘리베이터,017800,KS
86,현대차증권,001500,KS
87,현대홈쇼핑,057050,KS
88,호전실업,111110,KS
89,CJ CGV,079160,KS
90,HDC현대EP,089470,KS
91,JW홀딩스,096760,KS
92,KB금융,105560,KS
93,SG충방,001380,KS
94,금강공업,014280,KS
95,금호산업,002990,KS
96,금호전기,001210,KS
97,기업은행,024110,KS
98,남선알미늄,008350,KS
99,남성,004270,KS
100,넷마블,251270,KS
101,대구백화점,006370,KS
102,대우건설,047040,KS
103,대원제약,003220,KS
104,대한방직,001070,KS
105,대한제당,001790,KS
106,대한해운,005880,KS
107,덕양산업,024900,KS
108,동원금속,018500,KS
109,두산인프라코어,042670,KS
110,디씨엠,024090,KS
111,디티알오토모티브,007340,KS
112,롯데손해보험,000400,KS
113,롯데제과,280360,KS
114,롯데칠성음료,005300,KS
115,롯데케미칼,011170,KS
116,롯데하이마트,071840,KS
117,미래에셋생명,085620,KS
118,미원홀딩스,107590,KS
119,백산,035150,KS
120,보락,002760,KS
121,사조대림,003960,KS
122,사조동아원,008040,KS
123,서원,021050,KS
124,세방,004360,KS
125,세아홀딩스,058650,KS
126,세이브존I&C,067830,KS
127,신송홀딩스,006880,KS
128,신일전자,002700,KS
129,써니전자,004770,KS
130,아이마켓코리아,122900,KS
131,아이에이치큐,003560,KS
132,에이블씨엔씨,078520,KS
133,엔씨소프트,036570,KS
134,영보화학,014440,KS
135,영진약품,003520,KS
136,영풍,000670,KS
137,예스코홀딩스,015360,KS
138,유니온머티리얼,047400,KS
139,유유제약,000220,KS
140,유한양행,000100,KS
141,이마트,139480,KS
142,이수화학,005950,KS
143,이스타코,015020,KS
144,인천도시가스,034590,KS
145,일정실업,008500,KS
146,종근당홀딩스,001630,KS
147,지엠비코리아,013870,KS
148,진원생명과학,011000,KS
149,컨버즈,109070,KS
150,케이씨텍,281820,KS
151,코리아써키트,007810,KS
152,코스모화학,005420,KS
153,코아스,071950,KS
154,코오롱플라스틱,138490,KS
155,쿠쿠홀딩스,192400,KS
156,큐로,015590,KS
157,티비에이치글로벌,084870,KS
158,하이트론씨스템즈,019490,KS
159,한국금융지주,071050,KS
160,한국전자홀딩스,006200,KS
161,한국타이어앤테크놀로지,161390,KS
162,한국토지신탁,034830,KS
163,한국특수형강,007280,KS
164,한화솔루션,009830,KS
165,해태제과식품,101530,KS
166,현대에너지솔루션,322000,KS
167,현대위아,011210,KS
168,현대코퍼레이션홀딩스,227840,KS
169,호텔신라,008770,KS
170,화승인더스트리,006060,KS
171,화천기공,000850,KS
172,환인제약,016580,KS
173,효성,004800,KS
174,효성화학,298000,KS
175,흥아해운,003280,KS
176,BGF리테일,282330,KS
177,BNK금융지주,138930,KS
178,CJ제일제당,097950,KS
179,DRB동일,004840,KS
180,GS건설,006360,KS
181,HDC아이콘트롤스,039570,KS
182,KPX케미칼,025000,KS
183,KTis,058860,KS
184,LG상사,001120,KS
185,MH에탄올,023150,KS
186,SBS,034120,KS
187,SBS미디어홀딩스,101060,KS
188,SK텔레콤,017670,KS
189,강원랜드,035250,KS
190,교보증권,030610,KS
191,국제약품,002720,KS
192,금양,001570,KS
193,남해화학,025860,KS
194,넥센타이어,002350,KS
195,녹십자홀딩스,005250,KS
196,농심홀딩스,072710,KS
197,다스코,058730,KS
198,대림건설,001880,KS
199,대웅제약,069620,KS
200,더존비즈온,012510,KS
201,동방아그로,007590,KS
202,동서,026960,KS
203,동성코퍼레이션,102260,KS
204,동양,001520,KS
205,동양생명,082640,KS
206,동원산업,006040,KS
207,두산퓨얼셀,336260,KS
208,디아이,003160,KS
209,디와이,013570,KS
210,디피씨,026890,KS
211,롯데정밀화학,004000,KS
212,맥쿼리인프라,088980,KS
213,메타랩스,090370,KS
214,명문제약,017180,KS
215,모토닉,009680,KS
216,미래에셋맵스리츠,357250,KS
217,미원화학,134380,KS
218,범양건영,002410,KS
219,베트남개발1,096300,KS
220,빙그레,005180,KS
221,삼성에스디에스,018260,KS
222,삼성증권,016360,KS
223,삼성카드,029780,KS
224,삼양통상,002170,KS
225,삼영무역,002810,KS
226,삼정펄프,009770,KS
227,샘표식품,248170,KS
228,서연이화,200880,KS
229,성보화학,003080,KS
230,세아제강,306200,KS
231,센트랄모텍,308170,KS
232,송원산업,004430,KS
233,신성이엔지,011930,KS
234,신세계인터내셔날,031430,KS
235,신세계푸드,031440,KS
236,신화실업,001770,KS
237,씨아이테크,004920,KS
238,아세아시멘트,183190,KS
239,애경산업,018250,KS
240,에이플러스에셋,244920,KS
241,엔에이치엔,181710,KS
242,유니켐,011330,KS
243,유화증권,003460,KS
244,이구산업,025820,KS
245,이월드,084680,KS
246,일성신약,003120,KS
247,제이에스코퍼레이션,194370,KS
248,제이준코스메틱,025620,KS
249,조비,001550,KS
250,조선선재,120030,KS
251,종근당바이오,063160,KS
252,진양화학,051630,KS
253,케이탑리츠,145270,KS
254,코람코에너지리츠,357120,KS
255,코스모신소재,005070,KS
256,코웨이,021240,KS
257,쿠쿠홈시스,284740,KS
258,키위미디어그룹,012170,KS
259,태평양물산,007980,KS
260,테이팩스,055490,KS
261,텔코웨어,078000,KS
262,티와이홀딩스,363280,KS
263,팜스코,036580,KS
264,퍼시스,016800,KS
265,포스코케미칼,003670,KS
266,풍산홀딩스,005810,KS
267,하이스틸,071090,KS
268,하이트진로,000080,KS
269,한국석유공업,004090,KS
270,한국수출포장공업,002200,KS
271,한국자산신탁,123890,KS
272,한국주강,025890,KS
273,한국콜마홀딩스,024720,KS
274,한국테크놀로지그룹,000240,KS
275,한미사이언스,008930,KS
276,한샘,009240,KS
277,한솔홀딩스,004150,KS
278,한신기계공업,011700,KS
279,한화,000880,KS
280,한화에어로스페이스,012450,KS
281,현대자동차,005380,KS
282,현대퓨처넷,126560,KS
283,효성 ITX,094280,KS
284,휴니드테크놀러지스,005870,KS
285,CJ대한통운,000120,KS
286,DSR제강,069730,KS
287,GKL,114090,KS
288,JW중외제약,001060,KS
289,KPX홀딩스,092230,KS
290,KSS해운,044450,KS
291,LF,093050,KS
292,LG하우시스,108670,KS
293,LG화학,051910,KS
294,LIG넥스원,079550,KS
295,LS,006260,KS
296,NAVER,035420,KS
297,NICE,034310,KS
298,NI스틸,008260,KS
299,SGC에너지,005090,KS
300,SH에너지화학,002360,KS
301,SK증권,001510,KS
302,SK하이닉스,000660,KS
303,경인양행,012610,KS
304,경인전자,009140,KS
305,국보,001140,KS
306,기신정기,092440,KS
307,녹십자,006280,KS
308,대교,019680,KS
309,대동전자,008110,KS
310,대림비앤코,005750,KS
311,대양금속,009190,KS
312,대창,012800,KS
313,동국제강,001230,KS
314,동양물산기업,002900,KS
315,동화약품,000020,KS
316,두산솔루스,336370,KS
317,두산중공업,034020,KS
318,디아이동일,001530,KS
319,디아이씨,092200,KS
320,롯데관광개발,032350,KS
321,맵스리얼티1,094800,KS
322,무학,033920,KS
323,미래아이앤지,007120,KS
324,바다로19호,155900,KS
325,부산주공,005030,KS
326,빅히트,352820,KS
327,사조씨푸드,014710,KS
328,삼성물산,028260,KS
329,삼성바이오로직스,207940,KS
330,삼성전자,005930,KS
331,삼성제약,001360,KS
332,삼원강재,023000,KS
333,삼익THK,004380,KS
334,삼일제약,000520,KS
335,삼진제약,005500,KS
336,삼화왕관,004450,KS
337,서연,007860,KS
338,선창산업,002820,KS
339,성신양회,004980,KS
340,세기상사,002420,KS
341,세아특수강,019440,KS
342,세우글로벌,013000,KS
343,세원정공,021820,KS
344,세진중공업,075580,KS
345,세화아이엠씨,145210,KS
346,셀트리온,068270,KS
347,신라교역,004970,KS
348,신성통상,005390,KS
349,신세계,004170,KS
350,아모레퍼시픽,090430,KS
351,아세아,002030,KS
352,아이에스동서,010780,KS
353,에스제이엠,123700,KS
354,에이리츠,140910,KS
355,에이엔피,015260,KS
356,엔에스쇼핑,138250,KS
357,엔케이,085310,KS
358,엔피씨,004250,KS
359,영원무역,111770,KS
360,영원무역홀딩스,009970,KS
361,우리들휴브레인,118000,KS
362,우신시스템,017370,KS
363,우진,105840,KS
364,우진플라임,049800,KS
365,유니드,014830,KS
366,유진증권,001200,KS
367,이건산업,008250,KS
368,이노션,214320,KS
369,이연제약,102460,KS
370,인스코비,006490,KS
371,잇츠한불,226320,KS
372,조광페인트,004910,KS
373,조선내화,000480,KS
374,지누스,013890,KS
375,진에어,272450,KS
376,참엔지니어링,009310,KS
377,케이씨씨글라스,344820,KS
378,코리아오토글라스,152330,KS
379,코오롱글로벌,003070,KS
380,키움증권,039490,KS
381,토니모리,214420,KS
382,페이퍼코리아,001020,KS
383,포스코,005490,KS
384,폴루스바이오팜,007630,KS
385,하나제약,293480,KS
386,한국쉘석유,002960,KS
387,한국철강,104700,KS
388,한국화장품제조,003350,KS
389,한미글로벌,053690,KS
390,한솔피엔에스,010420,KS
391,한양증권,001750,KS
392,한진중공업,097230,KS
393,한진중공업홀딩스,003480,KS
394,현대일렉트릭,267260,KS
395,현대제철,004020,KS
396,황금에스티,032560,KS
397,AJ네트웍스,095570,KS
398,AK홀딩스,006840,KS
399,CJ,001040,KS
400,CJ씨푸드,011150,KS
401,DB금융투자,016610,KS
402,DGB금융지주,139130,KS
403,E1,017940,KS
404,F&F,007700,KS
405,KC코트렐,119650,KS
406,KEC,092220,KS
407,KISCO홀딩스,001940,KS
408,LG,003550,KS
409,LG디스플레이,034220,KS
410,LS전선아시아,229640,KS
411,NH프라임리츠,338100,KS
412,S&T중공업,003570,KS
413,S&T홀딩스,036530,KS
414,S-Oil,010950,KS
415,SK네트웍스,001740,KS
416,SK케미칼,285130,KS
417,경동인베스트,012320,KS
418,계룡건설산업,013580,KS
419,국동,005320,KS
420,남양유업,003920,KS
421,노루페인트,090350,KS
422,대상,001680,KS
423,대성홀딩스,016710,KS
424,대한제강,084010,KS
425,대호에이엘,069460,KS
426,덕성,004830,KS
427,덴티움,145720,KS
428,동원F&B,049770,KS
429,만호제강,001080,KS
430,모나미,005360,KS
431,문배철강,008420,KS
432,미창석유공업,003650,KS
433,백광산업,001340,KS
434,벽산,007210,KS
435,부국철강,026940,KS
436,부산도시가스,015350,KS
437,비비안,002070,KS
438,비상교육,100220,KS
439,사조산업,007160,KS
440,삼부토건,001470,KS
441,삼성공조,006660,KS
442,삼성생명,032830,KS
443,삼성전기,009150,KS
444,삼양사,145990,KS
445,삼양패키징,272550,KS
446,삼일씨엔에스,004440,KS
447,삼화전기,009470,KS
448,샘표,007540,KS
449,서흥,008490,KS
450,세하,027970,KS
451,수산중공업,017550,KS
452,신세계I&C,035510,KS
453,신세계건설,034300,KS
454,신영와코루,005800,KS
455,신영증권,001720,KS
456,신원,009270,KS
457,아주캐피탈,033660,KS
458,에스엘,005850,KS
459,에이프로젠 KIC,007460,KS
460,엘브이엠씨,900140,KS
461,엘에스일렉트릭,010120,KS
462,오리온,271560,KS
463,우리금융지주,316140,KS
464,우성사료,006980,KS
465,웰바이오텍,010600,KS
466,유니온,000910,KS
467,유안타증권,003470,KS
468,일진전기,103590,KS
469,조광피혁,004700,KS
470,조일알미늄,018470,KS
471,진흥기업,002780,KS
472,카카오,035720,KS
473,케이씨티시,009070,KS
474,케이티,030200,KS
475,코리안리,003690,KS
476,코스맥스비티아이,044820,KS
477,코오롱머티리얼,144620,KS
