idx,회사명,주당액면가액(원)당기,주당액면가액(원)전기,주당액면가액(원)전전기,(연결)당기순이익(백만원)당기,(연결)당기순이익(백만원)전기,(연결)당기순이익(백만원)전전기,(별도)당기순이익(백만원)당기,(별도)당기순이익(백만원)전기,(별도)당기순이익(백만원)전전기,주식 유형1,유형1 예측,유형1 당기,유형1 전기,유형1 전전기,주식 유형2,유형2 예측,유형2 당기,유형2 전기,유형2 전전기,주식 유형3,유형3 예측,유형3 당기,유형3 전기,유형3 전전기
0,제룡산업,500,500,500,2545,3230,8266,NULL,NULL,NULL,주당 현금배당금(원)보통주식(1)당기,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,삼진,500,500,500,12092,1595,2764,8185,5889,1887,주당 현금배당금(원)보통주(1)당기,225,200,100,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,서호전기,500,500,500,15313,5417,6185,15055,4796,6036,주당 현금배당금(원)보통주(1)당기,1316,1200,500,900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,KG모빌리언스,500,500,500,17606,12119,12655,17906,12671,13407,주당 현금배당금(원)(1)당기,200,200,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,홈센타홀딩스,500,500,500,-222,-35454,-57535,-4583,-36608,-47655,주당 현금배당금(원)보통주(1)당기,50,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,남화산업,200,200,10000,NULL,NULL,NULL,3080,4215,8543,주당 현금배당금(원)대주주(1)당기,-5728,50,40,5000,주당 현금배당금(원)소액주주(1)당기,70,50,40,NULL,NULL,NULL,NULL,NULL,NULL
6,만도,1000,1000,5000,110523,105660,4783,85990,58025,-86037,주당 현금배당금(원)(1)당기,8,550,500,1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,칩스앤미디어,500,500,500,4521,2642,-2323,4510,2675,-2275,주당 현금배당금(원)보통주(1)당기,311,152,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,태광산업,5000,5000,5000,167540,249125,179184,53673,176670,72912,주당 현금배당금(원)보통주(1)당기,1595,1550,3000,1925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,대한화섬,5000,5000,5000,NULL,NULL,NULL,22520,44247,20411,주당 현금배당금(원)보통주(1)당기,39,410,750,825,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,동국산업,1000,1000,1000,13568,10523,19721,12664,8376,19350,주당 현금배당금(원)(1)당기,106,130,130,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,케이씨씨,5000,5000,5000,-222525,-23574,41785,-119231,-21930,-27030,주당 현금배당금(원)의결권 있는 주식(1)당기,2583,5500,9000,9000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,현대엘리베이터,5000,5000,5000,48516,7941,93617,63724,24611,101061,주당 현금배당금(원)보통주(1)당기,1366,900,900,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,휴네시온,500,500,500,1793,1006,2994,1798,1006,2995,주당 현금배당금(원)보통주 (1)당기,5,35,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,화일약품,500,500,500,3194,5076,2665,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,104,125,150,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,케이티,5000,5000,5000,669347,762305,561526,431828,561224,463268,주당 현금배당금(원)보통주(1)당기,1216,1100,1100,1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,덕성,500,500,500,185,-2022,523,-1943,-2022,523,주당 현금배당금(원)보통주(1)당기,20,20,20,20,주당 현금배당금(원)우선주(1)당기,25,25,25,25,NULL,NULL,NULL,NULL,NULL
17,한국주철관공업,500,500,500,7221,11214,24899,5039,2637,5951,주당 현금배당금(원)보통주(1)당기,200,200,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
