,index,High,Low,Open,Close,Volume
0,2020-05-04,49150.0,46550.0,47050.0,48600.0,1738.0
1,2020-05-06,48900.0,48050.0,48600.0,48650.0,489.0
2,2020-05-07,48850.0,48550.0,48650.0,48850.0,200.0
3,2020-05-08,49450.0,48550.0,49300.0,48550.0,548.0
4,2020-05-11,48700.0,48000.0,48600.0,48700.0,321.0
5,2020-05-12,48800.0,47950.0,48700.0,48600.0,475.0
6,2020-05-13,48550.0,47300.0,48550.0,48400.0,559.0
7,2020-05-14,48250.0,47200.0,48200.0,47800.0,221.0
8,2020-05-15,48950.0,47400.0,47750.0,48550.0,1120.0
9,2020-05-18,49500.0,47600.0,48950.0,49200.0,2308.0
10,2020-05-19,49550.0,48700.0,49500.0,49200.0,1386.0
11,2020-05-20,49550.0,48850.0,49200.0,49350.0,895.0
12,2020-05-21,50400.0,49300.0,49550.0,50300.0,995.0
13,2020-05-22,50700.0,49800.0,50300.0,50500.0,408.0
14,2020-05-25,50500.0,49950.0,50300.0,50300.0,196.0
15,2020-05-26,50700.0,50200.0,50700.0,50600.0,199.0
16,2020-05-27,51200.0,49800.0,49800.0,51200.0,419.0
17,2020-05-28,51300.0,50100.0,50900.0,50500.0,422.0
18,2020-05-29,50500.0,48000.0,50500.0,49700.0,620.0
19,2020-06-01,50000.0,49500.0,49700.0,49900.0,542.0
20,2020-06-02,64800.0,50100.0,50100.0,64800.0,102272.0
21,2020-06-03,80000.0,65100.0,70700.0,67700.0,201756.0
22,2020-06-04,69400.0,58400.0,67900.0,59300.0,55087.0
23,2020-06-05,62000.0,57900.0,59000.0,60200.0,20588.0
24,2020-06-08,60500.0,58800.0,59300.0,60200.0,9794.0
25,2020-06-09,60400.0,58600.0,60200.0,60200.0,11009.0
26,2020-06-10,60200.0,59200.0,60100.0,59300.0,3890.0
27,2020-06-11,60200.0,59200.0,60000.0,59600.0,7213.0
28,2020-06-12,58300.0,53100.0,56600.0,58200.0,7011.0
29,2020-06-15,58500.0,56200.0,58200.0,56800.0,6293.0
30,2020-06-16,58500.0,56900.0,57400.0,57800.0,2560.0
31,2020-06-17,57800.0,55000.0,57300.0,56300.0,3333.0
32,2020-06-18,62200.0,56200.0,56600.0,59900.0,15610.0
33,2020-06-19,77800.0,63400.0,64600.0,77800.0,40654.0
34,2020-06-22,94800.0,64900.0,94000.0,65800.0,98429.0
35,2020-06-23,68100.0,61800.0,67200.0,62700.0,16442.0
36,2020-06-24,63000.0,60300.0,63000.0,62000.0,9976.0
37,2020-06-25,64900.0,60900.0,62000.0,64900.0,10903.0
38,2020-06-26,64300.0,61800.0,64100.0,61800.0,5793.0
39,2020-06-29,61000.0,59000.0,60900.0,59100.0,4902.0
40,2020-06-30,60400.0,59100.0,59200.0,59500.0,1836.0
41,2020-07-01,59900.0,57900.0,59200.0,57900.0,2299.0
42,2020-07-02,58500.0,56900.0,57600.0,58400.0,3090.0
43,2020-07-03,58300.0,57200.0,58300.0,57700.0,2966.0
44,2020-07-06,59500.0,57200.0,58600.0,59300.0,5115.0
45,2020-07-07,60700.0,57700.0,60700.0,59300.0,4141.0
46,2020-07-08,60000.0,58400.0,59000.0,60000.0,5589.0
47,2020-07-09,71500.0,60200.0,63300.0,60600.0,53096.0
48,2020-07-10,63500.0,57900.0,60300.0,62900.0,14379.0
49,2020-07-13,69400.0,61600.0,63800.0,65400.0,14981.0
50,2020-07-14,67600.0,62600.0,65500.0,64000.0,6490.0
51,2020-07-15,64500.0,59600.0,64000.0,61300.0,9506.0
52,2020-07-16,62600.0,60100.0,62600.0,61000.0,3255.0
53,2020-07-17,63000.0,61000.0,61000.0,62300.0,2579.0
54,2020-07-20,62200.0,60400.0,61600.0,62100.0,2483.0
55,2020-07-21,65700.0,60800.0,60800.0,62600.0,8441.0
56,2020-07-22,64000.0,61800.0,62800.0,63200.0,4774.0
57,2020-07-23,67500.0,62300.0,62900.0,65800.0,14747.0
58,2020-07-24,71300.0,64100.0,69800.0,64600.0,11554.0
59,2020-07-27,66300.0,63700.0,63800.0,65100.0,2737.0
60,2020-07-28,65300.0,64300.0,64600.0,64700.0,1740.0
61,2020-07-29,66000.0,64200.0,64300.0,65700.0,2507.0
62,2020-07-30,66100.0,62500.0,65700.0,63500.0,5414.0
63,2020-07-31,64500.0,62800.0,63500.0,63800.0,2691.0
64,2020-08-03,63800.0,62000.0,63800.0,62200.0,2509.0
65,2020-08-04,64000.0,62200.0,63000.0,62300.0,1429.0
66,2020-08-05,63300.0,61700.0,63300.0,61700.0,1623.0
67,2020-08-06,62800.0,61200.0,62800.0,61700.0,2536.0
68,2020-08-07,65700.0,62200.0,62800.0,62800.0,5049.0
69,2020-08-10,63200.0,62000.0,62800.0,62000.0,2037.0
70,2020-08-11,63400.0,61300.0,62200.0,61300.0,5625.0
71,2020-08-12,61300.0,59500.0,61100.0,60200.0,3465.0
72,2020-08-13,61100.0,59300.0,60200.0,60400.0,9195.0
73,2020-08-14,61400.0,59800.0,60700.0,59800.0,2664.0
74,2020-08-18,59600.0,56000.0,59300.0,57000.0,7924.0
75,2020-08-19,58100.0,55100.0,56700.0,55700.0,5297.0
76,2020-08-20,56300.0,51000.0,55500.0,52300.0,17298.0
77,2020-08-21,53900.0,51200.0,53200.0,52400.0,13930.0
78,2020-08-24,52500.0,50500.0,52400.0,51000.0,14708.0
79,2020-08-25,53300.0,51200.0,51400.0,53000.0,4920.0
80,2020-08-26,54300.0,53000.0,53100.0,54100.0,4702.0
81,2020-08-27,54200.0,52500.0,54100.0,52900.0,4032.0
82,2020-08-28,54000.0,52900.0,52900.0,53700.0,2721.0
83,2020-08-31,56300.0,53700.0,53700.0,55800.0,5362.0
84,2020-09-01,56900.0,55800.0,55800.0,56600.0,2865.0
85,2020-09-02,56900.0,55700.0,56600.0,55800.0,1348.0
86,2020-09-03,56400.0,54700.0,55900.0,55600.0,2193.0
87,2020-09-04,55000.0,53900.0,54900.0,54300.0,1712.0
88,2020-09-07,57700.0,53900.0,54000.0,56000.0,5381.0
89,2020-09-08,57300.0,56000.0,57300.0,56500.0,2325.0
90,2020-09-09,57100.0,55300.0,56300.0,55300.0,1310.0
91,2020-09-10,56800.0,55300.0,55500.0,56500.0,1480.0
92,2020-09-11,56600.0,55800.0,56600.0,56100.0,2509.0
93,2020-09-14,57100.0,55900.0,56100.0,57100.0,3384.0
94,2020-09-15,57800.0,55600.0,57100.0,56600.0,6471.0
95,2020-09-16,58100.0,56400.0,56400.0,56600.0,3092.0
96,2020-09-17,57100.0,56200.0,56600.0,56200.0,3276.0
97,2020-09-18,57000.0,56000.0,56900.0,56300.0,2262.0
98,2020-09-21,57100.0,53800.0,56300.0,54700.0,3480.0
99,2020-09-22,54700.0,53100.0,54700.0,53900.0,1520.0
100,2020-09-23,54400.0,52800.0,53900.0,53900.0,826.0
101,2020-09-24,53600.0,51500.0,52700.0,52000.0,1816.0
102,2020-09-25,52800.0,51400.0,52000.0,52300.0,1782.0
103,2020-09-28,53000.0,51700.0,51900.0,52700.0,493.0
104,2020-09-29,53400.0,52300.0,53400.0,53200.0,742.0
105,2020-10-05,53500.0,52600.0,52600.0,53200.0,1093.0
106,2020-10-06,54400.0,52800.0,52800.0,54200.0,1598.0
107,2020-10-07,54600.0,53500.0,53500.0,54200.0,1994.0
108,2020-10-08,54600.0,52500.0,53900.0,52600.0,4277.0
109,2020-10-12,53100.0,52300.0,52600.0,52800.0,1102.0
110,2020-10-13,53400.0,52500.0,52900.0,53300.0,1192.0
111,2020-10-14,53500.0,52600.0,53300.0,52800.0,1952.0
112,2020-10-15,54100.0,52200.0,52800.0,53500.0,4357.0
113,2020-10-16,65400.0,52300.0,53500.0,55900.0,70309.0
114,2020-10-19,57200.0,54200.0,56000.0,54300.0,9559.0
115,2020-10-20,56600.0,53700.0,54000.0,55500.0,11056.0
116,2020-10-21,57300.0,55000.0,55000.0,56700.0,5957.0
117,2020-10-22,59600.0,56700.0,56700.0,56700.0,15221.0
118,2020-10-23,57700.0,55300.0,57100.0,55900.0,6251.0
119,2020-10-26,56200.0,54200.0,56200.0,54400.0,4218.0
120,2020-10-27,55200.0,54000.0,54400.0,54900.0,2532.0
121,2020-10-28,56100.0,54500.0,55000.0,55800.0,3949.0
122,2020-10-29,55900.0,54500.0,55300.0,54700.0,2005.0
123,2020-10-30,55700.0,54400.0,54800.0,55000.0,2830.0
124,2020-11-02,55900.0,54500.0,55900.0,54600.0,2488.0
125,2020-11-03,55700.0,54400.0,54700.0,55200.0,2219.0
126,2020-11-04,56100.0,55000.0,55400.0,55500.0,1434.0
127,2020-11-05,55900.0,55300.0,55600.0,55800.0,1994.0
128,2020-11-06,57200.0,55200.0,55600.0,57000.0,7654.0
129,2020-11-09,58000.0,56500.0,57200.0,57300.0,4740.0
130,2020-11-10,59000.0,57200.0,57400.0,58700.0,8332.0
131,2020-11-11,58700.0,57400.0,58700.0,58100.0,1916.0
