,index,High,Low,Open,Close,Volume
0,2020-05-04,366000.0,358000.0,361000.0,360000.0,669179.0
1,2020-05-06,366500.0,356500.0,366500.0,361000.0,344167.0
2,2020-05-07,361000.0,352500.0,358000.0,354000.0,431374.0
3,2020-05-08,356500.0,346500.0,349000.0,352500.0,678484.0
4,2020-05-11,354000.0,345000.0,351500.0,346500.0,629395.0
5,2020-05-12,346000.0,336500.0,346000.0,338000.0,554982.0
6,2020-05-13,352500.0,330000.0,330000.0,352000.0,861294.0
7,2020-05-14,351000.0,341000.0,348000.0,344500.0,399418.0
8,2020-05-15,349500.0,343000.0,348500.0,346500.0,364374.0
9,2020-05-18,356000.0,346000.0,349500.0,354000.0,408948.0
10,2020-05-19,364000.0,356500.0,363500.0,357000.0,395494.0
11,2020-05-20,362500.0,351500.0,352500.0,362500.0,358098.0
12,2020-05-21,385000.0,365000.0,367000.0,377500.0,1033430.0
13,2020-05-22,385000.0,373500.0,382000.0,377000.0,504011.0
14,2020-05-25,389500.0,375000.0,380000.0,389500.0,505854.0
15,2020-05-26,416000.0,398000.0,398500.0,414000.0,958956.0
16,2020-05-27,412000.0,394500.0,406000.0,395500.0,622426.0
17,2020-05-28,404000.0,380000.0,403000.0,388500.0,842769.0
18,2020-05-29,391000.0,381500.0,381500.0,390500.0,526505.0
19,2020-06-01,401000.0,389500.0,391000.0,396000.0,401656.0
20,2020-06-02,402000.0,393000.0,400000.0,395000.0,390982.0
21,2020-06-03,401500.0,395000.0,399000.0,400500.0,474692.0
22,2020-06-04,420000.0,399500.0,400500.0,417500.0,966577.0
23,2020-06-05,434000.0,421000.0,421500.0,434000.0,865564.0
24,2020-06-08,446000.0,432000.0,440000.0,434000.0,684281.0
25,2020-06-09,441500.0,425500.0,439000.0,432500.0,609988.0
26,2020-06-10,442000.0,429500.0,432500.0,440000.0,535589.0
27,2020-06-11,469500.0,446000.0,447000.0,463000.0,1250374.0
28,2020-06-12,466000.0,436000.0,436500.0,462000.0,1007453.0
29,2020-06-15,460500.0,428000.0,455000.0,428000.0,851192.0
30,2020-06-16,487500.0,444000.0,445000.0,487500.0,1156149.0
31,2020-06-17,512000.0,481500.0,484000.0,491500.0,1390544.0
32,2020-06-18,494500.0,481500.0,491500.0,491000.0,509457.0
33,2020-06-19,512000.0,488000.0,499500.0,512000.0,738862.0
34,2020-06-22,519000.0,502000.0,510000.0,506000.0,509229.0
35,2020-06-23,518000.0,500000.0,512000.0,504000.0,516968.0
36,2020-06-24,520000.0,510000.0,514000.0,516000.0,391402.0
37,2020-06-25,513000.0,499000.0,506000.0,499000.0,551096.0
38,2020-06-26,509000.0,488500.0,508000.0,501000.0,473636.0
39,2020-06-29,501000.0,486000.0,492000.0,489500.0,454763.0
40,2020-06-30,502000.0,487500.0,501000.0,490500.0,443059.0
41,2020-07-01,503000.0,491000.0,499000.0,491500.0,357203.0
42,2020-07-02,496500.0,487500.0,495000.0,496000.0,362498.0
43,2020-07-03,515000.0,502000.0,509000.0,507000.0,443404.0
44,2020-07-06,511000.0,498500.0,507000.0,509000.0,317805.0
45,2020-07-07,531000.0,515000.0,525000.0,516000.0,630054.0
46,2020-07-08,521000.0,509000.0,518000.0,513000.0,358194.0
47,2020-07-09,549000.0,512000.0,515000.0,539000.0,819218.0
48,2020-07-10,548000.0,527000.0,544000.0,529000.0,470969.0
49,2020-07-13,548000.0,531000.0,540000.0,547000.0,368579.0
50,2020-07-14,545000.0,531000.0,535000.0,534000.0,441154.0
51,2020-07-15,546000.0,536000.0,539000.0,544000.0,341645.0
52,2020-07-16,547000.0,520000.0,547000.0,523000.0,504937.0
