,index,High,Low,Open,Close,Volume
0,2020-04-22,1325.0,1210.0,1220.0,1310.0,726813.0
1,2020-04-23,1380.0,1295.0,1315.0,1340.0,1061046.0
2,2020-04-24,1370.0,1260.0,1320.0,1270.0,833688.0
3,2020-04-27,1300.0,1255.0,1290.0,1270.0,673175.0
4,2020-04-28,1330.0,1270.0,1290.0,1325.0,945687.0
5,2020-04-29,1425.0,1335.0,1355.0,1365.0,4094739.0
6,2020-05-04,1425.0,1330.0,1340.0,1375.0,1512088.0
7,2020-05-06,1410.0,1365.0,1405.0,1385.0,1177179.0
8,2020-05-07,1665.0,1420.0,1600.0,1440.0,24119655.0
9,2020-05-08,1490.0,1400.0,1450.0,1460.0,2978786.0
10,2020-05-11,1455.0,1390.0,1455.0,1400.0,1363154.0
11,2020-05-12,1385.0,1330.0,1375.0,1355.0,1189714.0
12,2020-05-13,1375.0,1320.0,1320.0,1360.0,648112.0
13,2020-05-14,1355.0,1300.0,1335.0,1305.0,927722.0
14,2020-05-15,1325.0,1275.0,1320.0,1305.0,625736.0
15,2020-05-18,1390.0,1300.0,1320.0,1375.0,947372.0
16,2020-05-19,1400.0,1350.0,1400.0,1380.0,762231.0
17,2020-05-20,1415.0,1370.0,1380.0,1385.0,665308.0
18,2020-05-21,1460.0,1395.0,1410.0,1435.0,1461188.0
19,2020-05-22,1450.0,1380.0,1440.0,1385.0,803979.0
20,2020-05-25,1420.0,1380.0,1390.0,1400.0,641849.0
21,2020-05-26,1440.0,1385.0,1425.0,1425.0,892322.0
22,2020-05-27,1460.0,1420.0,1440.0,1450.0,1122699.0
23,2020-05-28,1480.0,1365.0,1470.0,1395.0,1413800.0
24,2020-05-29,1445.0,1340.0,1375.0,1440.0,1147472.0
25,2020-06-01,1475.0,1435.0,1445.0,1455.0,969557.0
26,2020-06-02,1465.0,1440.0,1450.0,1465.0,680322.0
27,2020-06-03,1490.0,1445.0,1485.0,1455.0,626903.0
28,2020-06-04,1470.0,1420.0,1470.0,1440.0,536344.0
29,2020-06-05,1480.0,1425.0,1455.0,1470.0,952430.0
30,2020-06-08,1520.0,1450.0,1490.0,1465.0,1451731.0
31,2020-06-09,1475.0,1430.0,1470.0,1435.0,845175.0
32,2020-06-10,1455.0,1405.0,1455.0,1420.0,890165.0
33,2020-06-11,1435.0,1405.0,1405.0,1420.0,456229.0
34,2020-06-12,1385.0,1310.0,1320.0,1380.0,906696.0
35,2020-06-15,1365.0,1250.0,1350.0,1265.0,1074131.0
36,2020-06-16,1330.0,1280.0,1280.0,1320.0,661370.0
37,2020-06-17,1315.0,1250.0,1310.0,1280.0,700685.0
38,2020-06-18,1330.0,1265.0,1295.0,1300.0,469381.0
39,2020-06-19,1345.0,1285.0,1305.0,1340.0,401716.0
40,2020-06-22,1360.0,1320.0,1340.0,1340.0,428554.0
41,2020-06-23,1370.0,1305.0,1350.0,1315.0,358265.0
42,2020-06-24,1360.0,1315.0,1325.0,1345.0,268916.0
43,2020-06-25,1350.0,1300.0,1335.0,1320.0,256673.0
44,2020-06-26,1370.0,1305.0,1340.0,1345.0,332029.0
45,2020-06-29,1370.0,1300.0,1340.0,1315.0,379888.0
46,2020-06-30,1340.0,1300.0,1335.0,1315.0,434504.0
47,2020-07-01,1355.0,1300.0,1320.0,1305.0,403633.0
48,2020-07-02,1440.0,1310.0,1320.0,1420.0,2370291.0
49,2020-07-03,1425.0,1375.0,1420.0,1410.0,658501.0
50,2020-07-06,1535.0,1375.0,1420.0,1475.0,3239200.0
51,2020-07-07,1490.0,1425.0,1485.0,1455.0,2786143.0
52,2020-07-08,1740.0,1465.0,1550.0,1465.0,41136840.0
53,2020-07-09,1500.0,1425.0,1480.0,1445.0,3308599.0
54,2020-07-10,1460.0,1385.0,1445.0,1385.0,1875203.0
55,2020-07-13,1440.0,1385.0,1385.0,1435.0,2039956.0
56,2020-07-14,1460.0,1405.0,1425.0,1450.0,1060936.0
57,2020-07-15,1460.0,1420.0,1450.0,1440.0,847914.0
58,2020-07-16,1475.0,1410.0,1435.0,1420.0,1587806.0
