,index,High,Low,Open,Close,Volume
0,2020-05-08,8200.0,7950.0,8190.0,8000.0,460756.0
1,2020-05-11,8070.0,7920.0,8000.0,8010.0,209708.0
2,2020-05-12,8030.0,7750.0,8010.0,7880.0,242509.0
3,2020-05-13,7840.0,7660.0,7770.0,7780.0,265552.0
4,2020-05-14,7890.0,7680.0,7700.0,7800.0,210367.0
5,2020-05-15,8160.0,7850.0,7900.0,7890.0,562051.0
6,2020-05-18,7900.0,7700.0,7870.0,7870.0,288688.0
7,2020-05-19,8070.0,7930.0,8060.0,8020.0,335844.0
8,2020-05-20,8360.0,7990.0,8010.0,8310.0,647466.0
9,2020-05-21,8820.0,8380.0,8450.0,8620.0,728846.0
10,2020-05-22,8660.0,8270.0,8630.0,8370.0,394770.0
11,2020-05-25,8980.0,8710.0,8800.0,8890.0,1133385.0
12,2020-05-26,9560.0,8990.0,9000.0,9340.0,1460639.0
13,2020-05-27,10100.0,9450.0,9470.0,10100.0,2332060.0
14,2020-05-28,10400.0,9400.0,10350.0,9660.0,1316995.0
15,2020-05-29,10150.0,9520.0,9660.0,9990.0,1061447.0
16,2020-06-01,10850.0,10150.0,10300.0,10400.0,1475472.0
17,2020-06-02,12350.0,10500.0,11950.0,10800.0,3850973.0
18,2020-06-03,12850.0,10400.0,11100.0,11600.0,10112796.0
19,2020-06-04,12250.0,11200.0,11850.0,11400.0,1938410.0
20,2020-06-05,11500.0,10950.0,11400.0,11050.0,841543.0
21,2020-06-08,11300.0,10850.0,11150.0,10950.0,704158.0
22,2020-06-09,11100.0,10500.0,11050.0,10650.0,765566.0
23,2020-06-10,10750.0,10400.0,10600.0,10550.0,453614.0
24,2020-06-11,10600.0,10100.0,10600.0,10300.0,685998.0
25,2020-06-12,10200.0,9720.0,9850.0,10200.0,770242.0
26,2020-06-15,10150.0,9200.0,10100.0,9210.0,910655.0
27,2020-06-16,9730.0,9400.0,9400.0,9650.0,476986.0
28,2020-06-17,9740.0,9260.0,9550.0,9360.0,530073.0
29,2020-06-18,9820.0,9360.0,9430.0,9650.0,386773.0
30,2020-06-19,9800.0,9440.0,9780.0,9580.0,227732.0
31,2020-06-22,9770.0,9520.0,9690.0,9550.0,291198.0
32,2020-06-23,9630.0,9240.0,9620.0,9320.0,332600.0
33,2020-06-24,9460.0,9240.0,9390.0,9410.0,192283.0
34,2020-06-25,9320.0,9080.0,9250.0,9170.0,264369.0
35,2020-06-26,9230.0,8770.0,9090.0,8840.0,533509.0
36,2020-06-29,8750.0,8460.0,8720.0,8570.0,346372.0
37,2020-06-30,8850.0,8600.0,8690.0,8620.0,237646.0
38,2020-07-01,9050.0,8670.0,8740.0,8670.0,329910.0
39,2020-07-02,8880.0,8680.0,8690.0,8820.0,139246.0
40,2020-07-03,9050.0,8830.0,8830.0,9040.0,165780.0
41,2020-07-06,9180.0,8960.0,9070.0,9010.0,234088.0
42,2020-07-07,9090.0,8870.0,9010.0,8940.0,176311.0
43,2020-07-08,8990.0,8810.0,8980.0,8870.0,157345.0
44,2020-07-09,8980.0,8830.0,8900.0,8870.0,145185.0
45,2020-07-10,8850.0,8580.0,8820.0,8690.0,255451.0
46,2020-07-13,8980.0,8580.0,8690.0,8950.0,204723.0
47,2020-07-14,9000.0,8760.0,8890.0,8870.0,188045.0
48,2020-07-15,9670.0,8960.0,8960.0,9670.0,906638.0
49,2020-07-16,9830.0,9500.0,9700.0,9630.0,697573.0
50,2020-07-17,9650.0,9330.0,9630.0,9370.0,316930.0
51,2020-07-20,9580.0,9380.0,9380.0,9500.0,221133.0
52,2020-07-21,9930.0,9620.0,9620.0,9810.0,733408.0
53,2020-07-22,9930.0,9650.0,9810.0,9750.0,323998.0
54,2020-07-23,9790.0,9400.0,9750.0,9550.0,292280.0
55,2020-07-24,9640.0,9380.0,9500.0,9470.0,234805.0
56,2020-07-27,9640.0,9200.0,9470.0,9530.0,191660.0
57,2020-07-28,9680.0,9490.0,9530.0,9520.0,231639.0
58,2020-07-29,9990.0,9400.0,9560.0,9990.0,648345.0
59,2020-07-30,10250.0,9770.0,10200.0,10100.0,636483.0
60,2020-07-31,10200.0,9880.0,10050.0,10000.0,404789.0
61,2020-08-03,10500.0,9960.0,10050.0,10450.0,629422.0
62,2020-08-04,10900.0,10400.0,10650.0,10550.0,804807.0
63,2020-08-05,10650.0,9990.0,10500.0,10150.0,764694.0
64,2020-08-06,10250.0,9990.0,10250.0,10050.0,351810.0
65,2020-08-07,10100.0,9730.0,10000.0,9780.0,355192.0
66,2020-08-10,10100.0,9600.0,9800.0,10050.0,525578.0
67,2020-08-11,10100.0,9900.0,10000.0,9950.0,379615.0
68,2020-08-12,10150.0,9740.0,9950.0,9780.0,378881.0
69,2020-08-13,10050.0,9780.0,9850.0,9970.0,261472.0
70,2020-08-14,10350.0,9800.0,10100.0,10100.0,809068.0
71,2020-08-18,10300.0,9200.0,10250.0,9260.0,765429.0
72,2020-08-19,9700.0,9340.0,9700.0,9380.0,380447.0
73,2020-08-20,9360.0,8760.0,9360.0,8810.0,556671.0
74,2020-08-21,9040.0,8500.0,8910.0,8850.0,400523.0
75,2020-08-24,9220.0,8740.0,8850.0,9090.0,299884.0
76,2020-08-25,9700.0,9120.0,9200.0,9600.0,453287.0
77,2020-08-26,9640.0,9240.0,9600.0,9370.0,352401.0
78,2020-08-27,9360.0,9040.0,9360.0,9100.0,309956.0
79,2020-08-28,9210.0,9060.0,9200.0,9080.0,205153.0
80,2020-08-31,9280.0,9060.0,9060.0,9190.0,211152.0
81,2020-09-01,9720.0,9120.0,9120.0,9490.0,639695.0
82,2020-09-02,9640.0,9370.0,9440.0,9500.0,243411.0
83,2020-09-03,9750.0,9530.0,9530.0,9680.0,296139.0
84,2020-09-04,10350.0,9730.0,9750.0,10150.0,1797780.0
85,2020-09-07,10650.0,9900.0,10200.0,10300.0,1356642.0
86,2020-09-08,10550.0,9960.0,10550.0,10000.0,686041.0
87,2020-09-09,10250.0,9750.0,9860.0,10150.0,494708.0
88,2020-09-10,10450.0,10000.0,10300.0,10100.0,655615.0
89,2020-09-11,10150.0,9990.0,10150.0,10100.0,227828.0
90,2020-09-14,10450.0,10100.0,10400.0,10150.0,360553.0
91,2020-09-15,10300.0,10000.0,10300.0,10050.0,251268.0
92,2020-09-16,10150.0,9990.0,10150.0,10050.0,278776.0
93,2020-09-17,10150.0,9800.0,10050.0,9840.0,287393.0
94,2020-09-18,9950.0,9740.0,9910.0,9930.0,217042.0
95,2020-09-21,10150.0,9700.0,9920.0,9800.0,287914.0
96,2020-09-22,9850.0,9310.0,9800.0,9350.0,273647.0
97,2020-09-23,9530.0,9210.0,9520.0,9420.0,195755.0
98,2020-09-24,9520.0,9150.0,9290.0,9190.0,239369.0
99,2020-09-25,9370.0,9150.0,9300.0,9250.0,157596.0
100,2020-09-28,10200.0,9280.0,9280.0,9780.0,508543.0
101,2020-09-29,10100.0,9780.0,10000.0,9880.0,276539.0
102,2020-10-05,10250.0,9700.0,9890.0,10250.0,385020.0
103,2020-10-06,10300.0,10050.0,10300.0,10050.0,261653.0
104,2020-10-07,10550.0,9930.0,9960.0,10450.0,884182.0
105,2020-10-08,10450.0,10150.0,10400.0,10250.0,342847.0
106,2020-10-12,10400.0,10050.0,10350.0,10100.0,247467.0
107,2020-10-13,10500.0,10150.0,10200.0,10450.0,623228.0
108,2020-10-14,10500.0,9930.0,10400.0,10000.0,443853.0
109,2020-10-15,10300.0,9950.0,10200.0,10150.0,545702.0
110,2020-10-16,10450.0,9980.0,10250.0,10000.0,541895.0
111,2020-10-19,10100.0,9750.0,10000.0,9870.0,272980.0
112,2020-10-20,9970.0,9620.0,9840.0,9790.0,229603.0
113,2020-10-21,10500.0,9720.0,9750.0,10400.0,1045169.0
114,2020-10-22,10450.0,9960.0,10400.0,10150.0,770048.0
115,2020-10-23,10250.0,9880.0,10200.0,9890.0,390837.0
116,2020-10-26,9920.0,9520.0,9900.0,9520.0,330262.0
117,2020-10-27,9730.0,9300.0,9490.0,9520.0,215311.0
118,2020-10-28,9800.0,9450.0,9450.0,9750.0,155298.0
119,2020-10-29,9640.0,9400.0,9460.0,9580.0,182963.0
120,2020-10-30,9750.0,9410.0,9600.0,9440.0,154654.0
121,2020-11-02,9650.0,9420.0,9430.0,9510.0,105467.0
122,2020-11-03,9920.0,9620.0,9700.0,9790.0,268668.0
