,index,High,Low,Open,Close,Volume
0,2020-05-04,28200.0,26300.0,27050.0,26800.0,335244.0
1,2020-05-06,27650.0,26250.0,27150.0,26750.0,135301.0
2,2020-05-07,27450.0,26650.0,26800.0,26800.0,197549.0
3,2020-05-08,27300.0,26550.0,27300.0,26850.0,103654.0
4,2020-05-11,28050.0,26550.0,26600.0,27500.0,179833.0
5,2020-05-12,28100.0,26700.0,28100.0,27500.0,134235.0
6,2020-05-13,27900.0,27200.0,27450.0,27550.0,91969.0
7,2020-05-14,27850.0,26500.0,27500.0,26700.0,107040.0
8,2020-05-15,29250.0,26700.0,26900.0,28850.0,312770.0
9,2020-05-18,29350.0,28100.0,28850.0,28100.0,129936.0
10,2020-05-19,29200.0,28100.0,28200.0,28400.0,121649.0
11,2020-05-20,28850.0,28250.0,28850.0,28300.0,86655.0
12,2020-05-21,28450.0,28100.0,28350.0,28250.0,70651.0
13,2020-05-22,28500.0,27300.0,28450.0,27400.0,72086.0
14,2020-05-25,29050.0,27450.0,27450.0,28550.0,124095.0
15,2020-05-26,28900.0,28000.0,28900.0,28250.0,54206.0
16,2020-05-27,28500.0,27700.0,28200.0,28100.0,87003.0
17,2020-05-28,28550.0,27700.0,27950.0,28100.0,95255.0
18,2020-05-29,28300.0,27500.0,27900.0,27500.0,114201.0
19,2020-06-01,28600.0,27600.0,27700.0,28300.0,94504.0
20,2020-06-02,28600.0,27750.0,28150.0,28500.0,86374.0
21,2020-06-03,29000.0,28550.0,28550.0,28700.0,129046.0
22,2020-06-04,30500.0,28700.0,28900.0,29000.0,218325.0
23,2020-06-05,29800.0,28500.0,29600.0,29550.0,118960.0
24,2020-06-08,30000.0,29400.0,29950.0,29500.0,116434.0
25,2020-06-09,30000.0,29300.0,29500.0,29750.0,120760.0
26,2020-06-10,30150.0,29350.0,29750.0,30000.0,109693.0
27,2020-06-11,30250.0,29000.0,30000.0,29350.0,131994.0
28,2020-06-12,29350.0,27100.0,27100.0,28500.0,178038.0
29,2020-06-15,29650.0,27600.0,28350.0,28200.0,210868.0
30,2020-06-16,29900.0,28650.0,28800.0,29100.0,161692.0
31,2020-06-17,32500.0,29000.0,29000.0,32500.0,626591.0
32,2020-06-18,32500.0,30850.0,32200.0,31350.0,265146.0
33,2020-06-19,34250.0,30500.0,31350.0,33400.0,285341.0
34,2020-06-22,35950.0,33850.0,34050.0,35800.0,313469.0
35,2020-06-23,37150.0,34450.0,36000.0,36650.0,301171.0
36,2020-06-24,37600.0,35500.0,36600.0,35650.0,144913.0
37,2020-06-25,37550.0,34800.0,34800.0,36100.0,196220.0
38,2020-06-26,38600.0,36300.0,36750.0,38400.0,250312.0
39,2020-06-29,39800.0,37300.0,37800.0,38100.0,245314.0
40,2020-06-30,39750.0,38100.0,38600.0,38500.0,190887.0
41,2020-07-01,39250.0,35600.0,39000.0,36350.0,216520.0
42,2020-07-02,37350.0,35500.0,36900.0,36550.0,100403.0
43,2020-07-03,36700.0,35500.0,36550.0,35750.0,147088.0
