,index,High,Low,Open,Close,Volume
0,2020-05-08,4115.0,3930.0,3930.0,4040.0,77986.0
1,2020-05-11,4080.0,3930.0,4040.0,3965.0,38869.0
2,2020-05-12,4005.0,3800.0,4005.0,3870.0,40682.0
3,2020-05-13,3870.0,3750.0,3870.0,3825.0,31392.0
4,2020-05-14,3825.0,3720.0,3825.0,3795.0,48854.0
5,2020-05-15,3830.0,3740.0,3790.0,3755.0,21098.0
6,2020-05-18,3835.0,3685.0,3835.0,3720.0,30557.0
7,2020-05-19,3900.0,3765.0,3900.0,3830.0,51504.0
8,2020-05-20,4045.0,3800.0,3920.0,4045.0,112533.0
9,2020-05-21,4055.0,3900.0,4050.0,3960.0,96234.0
10,2020-05-22,4115.0,3940.0,3960.0,4000.0,108482.0
11,2020-05-25,4020.0,3860.0,4000.0,3875.0,65411.0
12,2020-05-26,3960.0,3835.0,3900.0,3955.0,42165.0
13,2020-05-27,4020.0,3905.0,3955.0,3940.0,45708.0
14,2020-05-28,3980.0,3765.0,3980.0,3885.0,66257.0
15,2020-05-29,3885.0,3785.0,3880.0,3835.0,27521.0
16,2020-06-01,3900.0,3795.0,3835.0,3855.0,34024.0
17,2020-06-02,3925.0,3850.0,3860.0,3895.0,42303.0
18,2020-06-03,3970.0,3850.0,3895.0,3895.0,67589.0
19,2020-06-04,4050.0,3850.0,3895.0,3975.0,103159.0
20,2020-06-05,4035.0,3855.0,3975.0,3925.0,83602.0
21,2020-06-08,3975.0,3915.0,3975.0,3940.0,41663.0
22,2020-06-09,3990.0,3870.0,3990.0,3910.0,45947.0
23,2020-06-10,3940.0,3865.0,3910.0,3895.0,41704.0
24,2020-06-11,3935.0,3815.0,3935.0,3870.0,60681.0
25,2020-06-12,3735.0,3590.0,3700.0,3730.0,59682.0
26,2020-06-15,3700.0,3385.0,3655.0,3385.0,76626.0
27,2020-06-16,3585.0,3455.0,3585.0,3500.0,41034.0
28,2020-06-17,3535.0,3400.0,3535.0,3480.0,24942.0
29,2020-06-18,3490.0,3380.0,3460.0,3390.0,22480.0
30,2020-06-19,3500.0,3360.0,3390.0,3360.0,25810.0
31,2020-06-22,3360.0,3230.0,3315.0,3260.0,21281.0
32,2020-06-23,3350.0,3180.0,3260.0,3205.0,47941.0
33,2020-06-24,3550.0,3205.0,3335.0,3410.0,82023.0
34,2020-06-25,3455.0,3300.0,3410.0,3320.0,39120.0
35,2020-06-26,3450.0,3285.0,3310.0,3320.0,22736.0
36,2020-06-29,3310.0,3170.0,3310.0,3185.0,33664.0
37,2020-06-30,4140.0,3140.0,3185.0,4140.0,2724134.0
38,2020-07-01,3940.0,3520.0,3930.0,3565.0,653062.0
39,2020-07-02,4255.0,3425.0,3650.0,3955.0,1039665.0
40,2020-07-03,4555.0,3870.0,3960.0,4290.0,1913628.0
41,2020-07-06,4425.0,4225.0,4325.0,4320.0,407156.0
42,2020-07-07,4380.0,4115.0,4365.0,4160.0,201719.0
43,2020-07-08,4400.0,4135.0,4160.0,4200.0,166643.0
44,2020-07-09,4240.0,4105.0,4200.0,4130.0,76333.0
45,2020-07-10,4130.0,3905.0,4090.0,3965.0,114320.0
46,2020-07-13,4200.0,3915.0,4000.0,4140.0,103635.0
47,2020-07-14,4165.0,3960.0,4165.0,4090.0,57901.0
48,2020-07-15,4195.0,3970.0,4100.0,4005.0,56562.0
49,2020-07-16,4405.0,3950.0,4005.0,4185.0,336003.0
50,2020-07-17,4275.0,4095.0,4275.0,4155.0,41408.0
51,2020-07-20,4195.0,3930.0,4155.0,3995.0,101448.0
52,2020-07-21,4095.0,3990.0,3990.0,4070.0,60510.0
53,2020-07-22,4060.0,3945.0,4060.0,3990.0,83064.0
54,2020-07-23,3995.0,3820.0,3980.0,3875.0,106439.0
55,2020-07-24,3960.0,3760.0,3760.0,3955.0,69526.0
56,2020-07-27,4030.0,3850.0,4030.0,3905.0,68880.0
57,2020-07-28,4010.0,3890.0,3905.0,3980.0,84156.0
58,2020-07-29,4050.0,3950.0,4030.0,4000.0,42763.0
59,2020-07-30,4160.0,3955.0,3970.0,3985.0,84007.0
60,2020-07-31,4120.0,3940.0,3985.0,4015.0,57225.0
61,2020-08-03,4050.0,3940.0,4015.0,3975.0,55503.0
62,2020-08-04,4030.0,3925.0,3975.0,3970.0,40388.0
63,2020-08-05,4075.0,3940.0,3985.0,3945.0,60031.0
64,2020-08-06,4010.0,3900.0,3945.0,3930.0,46191.0
65,2020-08-07,4100.0,3930.0,3985.0,3990.0,98297.0
66,2020-08-10,4140.0,3975.0,4085.0,4140.0,108300.0
67,2020-08-11,4480.0,4095.0,4150.0,4380.0,304587.0
68,2020-08-12,4930.0,4350.0,4380.0,4555.0,982638.0
69,2020-08-13,4785.0,4555.0,4570.0,4565.0,241431.0
70,2020-08-14,4845.0,4555.0,4575.0,4695.0,304728.0
71,2020-08-18,4600.0,4160.0,4580.0,4245.0,188021.0
72,2020-08-19,4610.0,4200.0,4250.0,4590.0,173822.0
73,2020-08-20,4680.0,4075.0,4680.0,4360.0,394398.0
74,2020-08-21,4475.0,4230.0,4360.0,4270.0,66985.0
75,2020-08-24,4270.0,4050.0,4270.0,4130.0,63990.0
76,2020-08-25,4260.0,4100.0,4100.0,4250.0,49551.0
77,2020-08-26,4300.0,4055.0,4300.0,4200.0,55106.0
78,2020-08-27,4290.0,4030.0,4160.0,4050.0,123677.0
79,2020-08-28,4175.0,4030.0,4040.0,4065.0,54439.0
80,2020-08-31,4200.0,4040.0,4070.0,4100.0,49891.0
81,2020-09-01,4150.0,4070.0,4100.0,4135.0,33840.0
82,2020-09-02,4270.0,4140.0,4200.0,4240.0,59923.0
83,2020-09-03,4245.0,4170.0,4240.0,4205.0,33657.0
84,2020-09-04,4120.0,4025.0,4080.0,4110.0,49352.0
85,2020-09-07,4215.0,4020.0,4110.0,4170.0,58657.0
86,2020-09-08,4200.0,4125.0,4170.0,4175.0,52743.0
87,2020-09-09,4180.0,4040.0,4105.0,4100.0,50653.0
88,2020-09-10,4150.0,4035.0,4100.0,4100.0,51800.0
89,2020-09-11,4125.0,4050.0,4050.0,4065.0,27759.0
90,2020-09-14,4130.0,4050.0,4050.0,4110.0,41080.0
91,2020-09-15,4130.0,4050.0,4130.0,4085.0,40191.0
92,2020-09-16,4160.0,4080.0,4085.0,4135.0,66845.0
93,2020-09-17,4150.0,4000.0,4125.0,4080.0,55184.0
94,2020-09-18,4085.0,3990.0,4080.0,4065.0,36240.0
95,2020-09-21,4060.0,3920.0,4060.0,3955.0,59079.0
96,2020-09-22,4000.0,3800.0,3955.0,3850.0,53491.0
97,2020-09-23,3900.0,3800.0,3850.0,3850.0,37744.0
98,2020-09-24,3850.0,3615.0,3850.0,3685.0,54401.0
99,2020-09-25,3755.0,3630.0,3630.0,3725.0,22545.0
100,2020-09-28,3845.0,3755.0,3800.0,3840.0,24048.0
101,2020-09-29,4000.0,3825.0,3825.0,4000.0,42107.0
102,2020-10-05,4035.0,3830.0,4000.0,4035.0,18083.0
103,2020-10-06,4050.0,3995.0,3995.0,4030.0,20306.0
104,2020-10-07,4050.0,3990.0,4030.0,4020.0,10944.0
105,2020-10-08,4040.0,3980.0,4020.0,4030.0,21089.0
106,2020-10-12,4160.0,4010.0,4030.0,4090.0,58023.0
107,2020-10-13,4145.0,4035.0,4145.0,4070.0,19288.0
108,2020-10-14,4090.0,3960.0,4070.0,3980.0,30476.0
109,2020-10-15,4025.0,3910.0,3945.0,3950.0,17157.0
110,2020-10-16,3950.0,3845.0,3950.0,3900.0,15236.0
111,2020-10-19,3980.0,3840.0,3900.0,3855.0,28363.0
112,2020-10-20,3895.0,3750.0,3820.0,3785.0,19550.0
