,index,High,Low,Open,Close,Volume
0,2020-05-04,3490.0,3280.0,3300.0,3340.0,2925000.0
1,2020-05-06,3335.0,3205.0,3330.0,3295.0,1484293.0
2,2020-05-07,3305.0,3235.0,3300.0,3265.0,766501.0
3,2020-05-08,3305.0,3230.0,3275.0,3300.0,872402.0
4,2020-05-11,3250.0,3135.0,3200.0,3170.0,1159448.0
5,2020-05-12,3360.0,3060.0,3120.0,3170.0,1859920.0
6,2020-05-13,3455.0,3200.0,3255.0,3225.0,5963664.0
7,2020-05-14,3335.0,3100.0,3225.0,3245.0,1264471.0
8,2020-05-15,3390.0,3180.0,3265.0,3365.0,1984892.0
9,2020-05-18,3365.0,3210.0,3345.0,3265.0,993340.0
10,2020-05-19,3350.0,3235.0,3260.0,3300.0,1058857.0
11,2020-05-20,3490.0,3295.0,3330.0,3335.0,4443698.0
12,2020-05-21,3535.0,3320.0,3350.0,3445.0,3253005.0
13,2020-05-22,3620.0,3405.0,3430.0,3560.0,4124416.0
14,2020-05-25,3585.0,3445.0,3570.0,3530.0,1783446.0
15,2020-05-26,3735.0,3515.0,3650.0,3540.0,4293147.0
16,2020-05-27,3705.0,3515.0,3695.0,3605.0,3637172.0
17,2020-05-28,3590.0,3355.0,3590.0,3495.0,2292487.0
18,2020-05-29,3600.0,3355.0,3425.0,3580.0,3107363.0
19,2020-06-01,4650.0,3400.0,3580.0,4500.0,55320455.0
20,2020-06-02,5550.0,4570.0,4620.0,4760.0,84123612.0
21,2020-06-03,5000.0,4510.0,4890.0,4645.0,13143952.0
22,2020-06-04,5910.0,4880.0,4935.0,5310.0,85783208.0
23,2020-06-05,5210.0,5050.0,5180.0,5210.0,2713361.0
24,2020-06-08,5280.0,5160.0,5180.0,5250.0,1153188.0
25,2020-06-09,5270.0,5150.0,5230.0,5270.0,1573495.0
26,2020-06-10,5300.0,4930.0,5090.0,4955.0,5677865.0
27,2020-06-11,5080.0,4700.0,4915.0,4740.0,4866322.0
28,2020-06-12,4635.0,4465.0,4555.0,4635.0,2172947.0
29,2020-06-15,5160.0,4255.0,4635.0,4410.0,14612436.0
