,index,High,Low,Open,Close,Volume
0,2020-04-22,12300.0,11900.0,11950.0,12300.0,184930.0
1,2020-04-23,12650.0,12300.0,12500.0,12650.0,194579.0
2,2020-04-24,12700.0,12200.0,12700.0,12400.0,169598.0
3,2020-04-27,12600.0,12150.0,12600.0,12350.0,192500.0
4,2020-04-28,14450.0,12400.0,12400.0,13300.0,3061343.0
5,2020-04-29,13350.0,12650.0,13300.0,13050.0,605242.0
6,2020-05-04,12950.0,12400.0,12950.0,12600.0,266821.0
7,2020-05-06,13000.0,12550.0,12700.0,12850.0,255432.0
8,2020-05-07,12950.0,12600.0,12750.0,12750.0,203833.0
9,2020-05-08,13700.0,12750.0,12800.0,13150.0,558106.0
10,2020-05-11,13000.0,12650.0,13000.0,12750.0,270820.0
11,2020-05-12,12700.0,12250.0,12700.0,12400.0,287203.0
12,2020-05-13,12250.0,11900.0,12100.0,12050.0,288225.0
13,2020-05-14,12000.0,11450.0,11800.0,11550.0,285155.0
14,2020-05-15,11700.0,10950.0,11600.0,11050.0,381226.0
15,2020-05-18,12050.0,11200.0,11300.0,11950.0,553854.0
16,2020-05-19,13750.0,12700.0,13700.0,12950.0,1086902.0
17,2020-05-20,13000.0,12450.0,12700.0,12650.0,338177.0
18,2020-05-21,12950.0,12450.0,12950.0,12700.0,228911.0
19,2020-05-22,12600.0,12250.0,12550.0,12350.0,238443.0
20,2020-05-25,12500.0,12050.0,12300.0,12450.0,178300.0
21,2020-05-26,13100.0,12400.0,12650.0,12950.0,547977.0
22,2020-05-27,13400.0,12900.0,13350.0,13250.0,661549.0
23,2020-05-28,13450.0,12600.0,13450.0,12850.0,357143.0
24,2020-05-29,12800.0,12250.0,12700.0,12250.0,388137.0
25,2020-06-01,12600.0,12250.0,12300.0,12550.0,192572.0
26,2020-06-02,13050.0,12550.0,12650.0,12700.0,326776.0
27,2020-06-03,12900.0,12650.0,12900.0,12900.0,316105.0
28,2020-06-04,13500.0,12700.0,13000.0,12950.0,572302.0
29,2020-06-05,13650.0,13000.0,13150.0,13300.0,960356.0
30,2020-06-08,13650.0,13150.0,13600.0,13300.0,370516.0
31,2020-06-09,13500.0,13000.0,13450.0,13250.0,241311.0
32,2020-06-10,13200.0,12750.0,13200.0,13000.0,190165.0
33,2020-06-11,12900.0,12600.0,12900.0,12600.0,346024.0
34,2020-06-12,12250.0,11600.0,12000.0,12250.0,368884.0
35,2020-06-15,12050.0,11250.0,11950.0,11550.0,392536.0
36,2020-06-16,11850.0,11650.0,11650.0,11800.0,224928.0
37,2020-06-17,11800.0,11450.0,11650.0,11550.0,160412.0
38,2020-06-18,11400.0,11100.0,11350.0,11150.0,236370.0
39,2020-06-19,11250.0,11000.0,11150.0,11050.0,244844.0
40,2020-06-22,11000.0,10800.0,10800.0,10850.0,144821.0
41,2020-06-23,11000.0,10350.0,10850.0,10400.0,294937.0
42,2020-06-24,10650.0,10250.0,10250.0,10500.0,127943.0
43,2020-06-25,10350.0,10050.0,10350.0,10150.0,184138.0
44,2020-06-26,10350.0,10050.0,10200.0,10300.0,110007.0
45,2020-06-29,10200.0,9880.0,10200.0,9960.0,207719.0
46,2020-06-30,10700.0,10050.0,10150.0,10500.0,448111.0
47,2020-07-01,10800.0,10300.0,10750.0,10350.0,178171.0
48,2020-07-02,10500.0,10000.0,10300.0,10450.0,169582.0
49,2020-07-03,10550.0,10350.0,10500.0,10500.0,117622.0
50,2020-07-06,10500.0,10250.0,10400.0,10300.0,82238.0
51,2020-07-07,10650.0,10300.0,10450.0,10300.0,163756.0
52,2020-07-08,10500.0,10250.0,10500.0,10350.0,96125.0
53,2020-07-09,10400.0,10200.0,10250.0,10200.0,108635.0
54,2020-07-10,10200.0,10000.0,10100.0,10100.0,110655.0
55,2020-07-13,10300.0,10050.0,10200.0,10200.0,74137.0
56,2020-07-14,10200.0,10050.0,10200.0,10100.0,94519.0
57,2020-07-15,10700.0,10400.0,10600.0,10600.0,282834.0
58,2020-07-16,11200.0,10750.0,10800.0,10950.0,371542.0
59,2020-07-17,10900.0,10600.0,10900.0,10800.0,133354.0
60,2020-07-20,10850.0,10400.0,10550.0,10750.0,171098.0
61,2020-07-21,11300.0,10900.0,11000.0,11250.0,344704.0
62,2020-07-22,11800.0,11200.0,11400.0,11350.0,293524.0
63,2020-07-23,11450.0,10900.0,11250.0,11050.0,174558.0
64,2020-07-24,11200.0,10800.0,10850.0,11050.0,148824.0
65,2020-07-27,11100.0,10850.0,11000.0,10900.0,88956.0
66,2020-07-28,11300.0,10800.0,11000.0,11000.0,146801.0
67,2020-07-29,11350.0,10900.0,11000.0,11200.0,155503.0
68,2020-07-30,11700.0,11250.0,11300.0,11500.0,262986.0
69,2020-07-31,11700.0,11250.0,11700.0,11250.0,145205.0
70,2020-08-03,11200.0,10800.0,11200.0,11050.0,180430.0
71,2020-08-04,11300.0,10950.0,11050.0,11050.0,140743.0
72,2020-08-05,11300.0,11000.0,11050.0,11100.0,167771.0
73,2020-08-06,11250.0,11050.0,11150.0,11200.0,176687.0
74,2020-08-07,11900.0,11350.0,11650.0,11450.0,656451.0
75,2020-08-10,11450.0,11150.0,11450.0,11200.0,196933.0
76,2020-08-11,11450.0,11200.0,11300.0,11300.0,201667.0
77,2020-08-12,14400.0,11600.0,11650.0,12750.0,6312295.0
78,2020-08-13,13250.0,12300.0,12850.0,13100.0,1458145.0
79,2020-08-14,13600.0,12800.0,13000.0,12800.0,794931.0
80,2020-08-18,12200.0,11100.0,11800.0,11350.0,1056270.0
81,2020-08-19,11800.0,11200.0,11350.0,11700.0,283274.0
82,2020-08-20,11650.0,10750.0,11600.0,10900.0,488335.0
83,2020-08-21,11300.0,10850.0,10950.0,11100.0,288352.0
84,2020-08-24,11000.0,10500.0,10850.0,10900.0,290931.0
85,2020-08-25,11500.0,11200.0,11400.0,11300.0,244123.0
86,2020-08-26,11250.0,10950.0,11250.0,11250.0,186070.0
87,2020-08-27,11250.0,10750.0,11200.0,10750.0,325270.0
88,2020-08-28,11100.0,10750.0,11000.0,10850.0,242288.0
89,2020-08-31,11400.0,11050.0,11100.0,11200.0,381088.0
90,2020-09-01,11400.0,11050.0,11300.0,11350.0,211182.0
91,2020-09-02,11800.0,11350.0,11400.0,11700.0,293968.0
92,2020-09-03,12150.0,11750.0,12000.0,11900.0,395417.0
93,2020-09-04,12300.0,11550.0,11600.0,12000.0,623401.0
94,2020-09-07,12400.0,11800.0,12050.0,12250.0,399773.0
95,2020-09-08,12500.0,12150.0,12350.0,12400.0,314936.0
96,2020-09-09,12450.0,12150.0,12150.0,12250.0,235498.0
97,2020-09-10,12300.0,11900.0,12250.0,12100.0,296262.0
98,2020-09-11,12100.0,11800.0,12050.0,12100.0,183247.0
99,2020-09-14,12350.0,12100.0,12250.0,12200.0,218741.0
100,2020-09-15,12400.0,12050.0,12250.0,12300.0,278941.0
101,2020-09-16,12650.0,12200.0,12350.0,12350.0,269487.0
102,2020-09-17,12350.0,12050.0,12300.0,12050.0,167820.0
