,index,High,Low,Open,Close,Volume
0,2020-05-08,5000.0,4850.0,4940.0,4960.0,34820.0
1,2020-05-11,5180.0,4910.0,4950.0,5120.0,87098.0
2,2020-05-12,5450.0,5100.0,5120.0,5330.0,103138.0
3,2020-05-13,5430.0,5200.0,5370.0,5240.0,93423.0
4,2020-05-14,5260.0,5010.0,5240.0,5100.0,52250.0
5,2020-05-15,5240.0,4890.0,5050.0,5170.0,41270.0
6,2020-05-18,5500.0,5120.0,5120.0,5400.0,60656.0
7,2020-05-19,5500.0,5280.0,5400.0,5350.0,23555.0
8,2020-05-20,5440.0,5290.0,5350.0,5430.0,41068.0
9,2020-05-21,5490.0,5300.0,5430.0,5400.0,21514.0
10,2020-05-22,5400.0,5320.0,5320.0,5380.0,13272.0
11,2020-05-25,5590.0,5340.0,5380.0,5490.0,80313.0
12,2020-05-26,5790.0,5500.0,5560.0,5740.0,93302.0
13,2020-05-27,5910.0,5550.0,5720.0,5720.0,88465.0
14,2020-05-28,5800.0,5470.0,5740.0,5760.0,76359.0
15,2020-05-29,6000.0,5630.0,5750.0,5930.0,65270.0
16,2020-06-01,6000.0,5780.0,6000.0,5880.0,62164.0
17,2020-06-02,6020.0,5810.0,5880.0,6020.0,33014.0
18,2020-06-03,6420.0,5990.0,6130.0,6350.0,118495.0
19,2020-06-04,6340.0,6100.0,6340.0,6270.0,82525.0
20,2020-06-05,6300.0,6140.0,6200.0,6280.0,21935.0
21,2020-06-08,6350.0,6190.0,6270.0,6330.0,35021.0
22,2020-06-09,6380.0,6200.0,6380.0,6310.0,32390.0
23,2020-06-10,6360.0,6150.0,6310.0,6200.0,27868.0
24,2020-06-11,6200.0,5860.0,6200.0,6070.0,56652.0
25,2020-06-12,6050.0,5750.0,5750.0,6000.0,74883.0
26,2020-06-15,6050.0,5610.0,5880.0,5800.0,37717.0
27,2020-06-16,6000.0,5830.0,5950.0,5940.0,24560.0
28,2020-06-17,6010.0,5910.0,5910.0,5990.0,23681.0
29,2020-06-18,6020.0,5820.0,6020.0,5850.0,34460.0
30,2020-06-19,6080.0,5840.0,5900.0,6050.0,25882.0
31,2020-06-22,6140.0,5980.0,6070.0,6060.0,57153.0
32,2020-06-23,6190.0,5920.0,6070.0,6060.0,36514.0
33,2020-06-24,6150.0,5940.0,6140.0,6090.0,59580.0
34,2020-06-25,6100.0,5800.0,5930.0,6100.0,25496.0
35,2020-06-26,6250.0,6010.0,6250.0,6020.0,12984.0
36,2020-06-29,6100.0,5900.0,6020.0,6000.0,53760.0
37,2020-06-30,6200.0,5950.0,6090.0,6030.0,74012.0
38,2020-07-01,6150.0,5730.0,6130.0,6020.0,32944.0
39,2020-07-02,6140.0,5980.0,6020.0,6050.0,15915.0
40,2020-07-03,6150.0,6050.0,6060.0,6130.0,29904.0
41,2020-07-06,6200.0,6060.0,6200.0,6190.0,15807.0
42,2020-07-07,6350.0,6120.0,6250.0,6290.0,54704.0
43,2020-07-08,6330.0,6160.0,6290.0,6210.0,20014.0
