,index,High,Low,Open,Close,Volume
0,2020-05-04,430.0,375.0,420.0,384.0,12733364.0
1,2020-05-06,392.0,383.0,384.0,386.0,3416456.0
2,2020-05-07,404.0,382.0,382.0,394.0,3239119.0
3,2020-05-08,407.0,389.0,404.0,392.0,2754578.0
4,2020-05-11,395.0,382.0,392.0,385.0,1118191.0
5,2020-05-12,389.0,379.0,386.0,383.0,1217774.0
6,2020-05-13,394.0,380.0,380.0,390.0,1351765.0
7,2020-05-14,391.0,380.0,387.0,388.0,1651472.0
8,2020-05-15,393.0,380.0,388.0,385.0,1169156.0
9,2020-05-18,388.0,377.0,385.0,381.0,996171.0
10,2020-05-19,385.0,374.0,382.0,379.0,1788998.0
11,2020-05-20,389.0,377.0,377.0,385.0,1140710.0
12,2020-05-21,391.0,382.0,391.0,387.0,990467.0
13,2020-05-22,391.0,377.0,388.0,383.0,1239764.0
14,2020-05-25,399.0,383.0,385.0,388.0,3044384.0
15,2020-05-26,400.0,387.0,399.0,394.0,1993359.0
16,2020-05-27,397.0,387.0,393.0,395.0,1140814.0
17,2020-05-28,403.0,381.0,398.0,388.0,1900037.0
18,2020-05-29,390.0,381.0,384.0,390.0,997740.0
19,2020-06-01,397.0,386.0,386.0,394.0,1048366.0
20,2020-06-02,408.0,389.0,395.0,403.0,2509344.0
21,2020-06-03,409.0,395.0,408.0,395.0,1195877.0
22,2020-06-04,398.0,391.0,395.0,395.0,964961.0
23,2020-06-05,399.0,387.0,395.0,389.0,785615.0
24,2020-06-08,391.0,382.0,389.0,385.0,1333463.0
25,2020-06-09,388.0,382.0,384.0,388.0,942737.0
26,2020-06-10,389.0,383.0,388.0,389.0,562206.0
27,2020-06-11,421.0,385.0,386.0,400.0,6636974.0
28,2020-06-12,394.0,381.0,392.0,388.0,1912801.0
29,2020-06-15,413.0,375.0,393.0,390.0,5809799.0
30,2020-06-16,407.0,389.0,390.0,403.0,3726729.0
31,2020-06-17,440.0,402.0,423.0,431.0,14209392.0
32,2020-06-18,432.0,390.0,431.0,400.0,10479568.0
33,2020-06-19,485.0,405.0,408.0,430.0,33183060.0
34,2020-06-22,432.0,411.0,432.0,414.0,4752993.0
35,2020-06-23,435.0,409.0,414.0,414.0,3660743.0
36,2020-06-24,413.0,390.0,398.0,412.0,3187219.0
37,2020-06-25,409.0,394.0,408.0,397.0,1309083.0
38,2020-06-26,409.0,397.0,399.0,406.0,1311339.0
39,2020-06-29,411.0,395.0,404.0,398.0,1328308.0
40,2020-06-30,405.0,391.0,400.0,394.0,1340856.0
41,2020-07-01,399.0,386.0,394.0,389.0,1367414.0
42,2020-07-02,394.0,385.0,389.0,393.0,496917.0
43,2020-07-03,397.0,389.0,393.0,395.0,894152.0
44,2020-07-06,401.0,392.0,395.0,397.0,684763.0
45,2020-07-07,400.0,385.0,397.0,389.0,1262085.0
46,2020-07-08,393.0,385.0,390.0,388.0,838192.0
47,2020-07-09,391.0,383.0,389.0,386.0,739095.0
48,2020-07-10,392.0,383.0,383.0,389.0,663076.0
49,2020-07-13,395.0,383.0,389.0,387.0,641921.0
50,2020-07-14,389.0,383.0,387.0,388.0,666985.0
51,2020-07-15,393.0,383.0,393.0,383.0,705616.0
52,2020-07-16,387.0,381.0,387.0,386.0,762947.0
53,2020-07-17,388.0,382.0,382.0,385.0,381133.0
54,2020-07-20,386.0,379.0,386.0,381.0,744854.0
55,2020-07-21,393.0,381.0,381.0,390.0,975546.0
56,2020-07-22,392.0,385.0,390.0,392.0,384083.0
57,2020-07-23,392.0,381.0,392.0,387.0,900197.0
58,2020-07-24,385.0,380.0,385.0,382.0,746641.0
59,2020-07-27,386.0,379.0,382.0,379.0,552657.0
60,2020-07-28,382.0,375.0,382.0,377.0,680894.0
61,2020-07-29,381.0,375.0,377.0,377.0,611755.0
62,2020-07-30,382.0,375.0,376.0,382.0,445369.0
63,2020-07-31,382.0,377.0,382.0,377.0,276398.0
