,index,High,Low,Open,Close,Volume
0,2020-05-04,5150.0,5000.0,5000.0,5100.0,215419.0
1,2020-05-06,5175.0,5075.0,5175.0,5125.0,211372.0
2,2020-05-07,5400.0,5150.0,5175.0,5275.0,515742.0
3,2020-05-08,5650.0,5275.0,5350.0,5525.0,1147126.0
4,2020-05-11,5725.0,5425.0,5650.0,5425.0,702742.0
5,2020-05-12,5475.0,5125.0,5400.0,5225.0,296725.0
6,2020-05-13,5550.0,5050.0,5125.0,5475.0,453920.0
7,2020-05-14,5475.0,5275.0,5400.0,5325.0,289177.0
8,2020-05-15,5600.0,5200.0,5350.0,5450.0,355134.0
9,2020-05-18,5375.0,5125.0,5275.0,5150.0,307747.0
10,2020-05-19,5350.0,5200.0,5300.0,5275.0,275817.0
11,2020-05-20,5525.0,5225.0,5300.0,5500.0,627638.0
12,2020-05-21,5625.0,5400.0,5550.0,5400.0,379300.0
13,2020-05-22,5800.0,5350.0,5425.0,5650.0,1382905.0
14,2020-05-25,6650.0,5775.0,5925.0,6250.0,5383707.0
15,2020-05-26,6350.0,6050.0,6175.0,6300.0,1402018.0
16,2020-05-27,7700.0,6775.0,7350.0,6800.0,6480608.0
17,2020-05-28,8825.0,6650.0,6875.0,7975.0,19048482.0
18,2020-05-29,8800.0,6950.0,7750.0,7050.0,12731800.0
19,2020-06-01,8075.0,7150.0,7200.0,7550.0,10545299.0
20,2020-06-02,7800.0,7275.0,7550.0,7575.0,4370181.0
21,2020-06-03,7725.0,7025.0,7675.0,7250.0,1908345.0
22,2020-06-04,8625.0,7525.0,7800.0,7700.0,23219419.0
23,2020-06-05,8150.0,7525.0,8025.0,7650.0,3970878.0
24,2020-06-08,7800.0,7100.0,7650.0,7400.0,1562757.0
25,2020-06-09,7350.0,6975.0,7275.0,7125.0,1278981.0
26,2020-06-10,7175.0,6825.0,7100.0,7125.0,1159526.0
27,2020-06-11,7150.0,6700.0,7150.0,6750.0,946016.0
28,2020-06-12,6675.0,6200.0,6300.0,6550.0,878708.0
29,2020-06-15,6650.0,5775.0,6650.0,5775.0,1470231.0
30,2020-06-16,6525.0,5825.0,5900.0,6400.0,1269743.0
31,2020-06-17,6375.0,6075.0,6200.0,6250.0,586586.0
32,2020-06-18,6375.0,6000.0,6200.0,6000.0,538421.0
33,2020-06-19,7600.0,6000.0,6125.0,7000.0,14978035.0
34,2020-06-22,7150.0,6325.0,7075.0,6450.0,2309030.0
35,2020-06-23,6900.0,6250.0,6500.0,6375.0,2167877.0
36,2020-06-24,6725.0,6275.0,6375.0,6350.0,1242400.0
37,2020-06-25,6375.0,6075.0,6250.0,6225.0,436610.0
38,2020-06-26,6475.0,6100.0,6350.0,6200.0,764377.0
39,2020-06-29,6300.0,5875.0,6200.0,5925.0,751468.0
40,2020-06-30,6225.0,5925.0,6000.0,6225.0,521412.0
41,2020-07-01,6475.0,6025.0,6475.0,6025.0,567032.0
42,2020-07-02,6225.0,6050.0,6075.0,6100.0,327213.0
43,2020-07-03,6200.0,5975.0,6175.0,6000.0,480485.0
44,2020-07-06,5650.0,5150.0,5225.0,5425.0,1812685.0
45,2020-07-07,5425.0,5200.0,5425.0,5200.0,680880.0
46,2020-07-08,5350.0,5050.0,5200.0,5225.0,676677.0
47,2020-07-09,5325.0,5150.0,5225.0,5200.0,314119.0
48,2020-07-10,5200.0,5025.0,5150.0,5125.0,429279.0
49,2020-07-13,5175.0,5025.0,5150.0,5100.0,329353.0
50,2020-07-14,5250.0,5050.0,5075.0,5225.0,356277.0
51,2020-07-15,5250.0,5075.0,5250.0,5150.0,260330.0
52,2020-07-16,5150.0,5050.0,5125.0,5100.0,178942.0
53,2020-07-17,5200.0,5075.0,5100.0,5100.0,248527.0
54,2020-07-20,5275.0,5025.0,5125.0,5275.0,765697.0
55,2020-07-21,5425.0,5125.0,5300.0,5350.0,861197.0
56,2020-07-22,5300.0,5125.0,5275.0,5175.0,457676.0
57,2020-07-23,5175.0,5050.0,5150.0,5100.0,311664.0
58,2020-07-24,5150.0,5000.0,5025.0,5025.0,544907.0
59,2020-07-27,6100.0,5125.0,5175.0,5625.0,9669515.0
